TICKER,SETOR,PRECO,DY,P/L,P/VP,P/ATIVOS,MARGEM BRUTA,MARGEM EBIT,MARG. LIQUIDA,P/EBIT,EV/EBIT,DIVIDA LIQUIDA / EBIT,DIV. LIQ. / PATRI.,PSR,P/CAP. GIRO,P. AT CIR. LIQ.,LIQ. CORRENTE,ROE,ROA,ROIC,PATRIMONIO / ATIVOS,PASSIVOS / ATIVOS,GIRO ATIVOS,CAGR RECEITAS 5 ANOS,CAGR LUCROS 5 ANOS,LIQUIDEZ MEDIA DIARIA,VPA,LPA,PEG RATIO,VALOR DE MERCADO,PESO_%
ALOS,Financeiro e Outros,21.6,4.62,13.6,0.87,0.44,74.1,59.06,31.4,7.23,5.33,-1.9,-0.23,4.27,4.56,-0.52,2.87,6.42,3.24,11.12,0.51,0.47,0.1,29.82,108.22,70577406.24,24.74,1.59,0.19,11727437234.4,0.0
ARML,Bens Industriais,3.92,3.65,10.43,1.08,0.3,38.06,26.49,7.16,2.82,6.45,3.63,1.38,0.75,1.66,-0.43,2.42,10.31,2.85,11.46,0.28,0.71,0.4,95.79,70.03,8093442.9,3.65,0.38,-0.33,1358256860.24,0.0
BALM,Saúde,18.615,5.709999999999999,5.88,1.0,0.6499999999999999,61.72,20.12,14.96,4.37,2.87,-1.5,-0.34,0.88,1.27,-2.41,3.3,16.99,11.02,12.65,0.65,0.36,0.74,5.42,37.76,14366.69,18.63,3.17,0.03,182427000.0,87.50112028474244
CAMB,Consumo Cíclico,7.9,8.81,4.46,1.125,0.88,48.85,20.11,17.59,3.905,4.19,-0.53,-0.15,0.7849999999999999,2.625,-1.745,3.09,25.25,19.72,19.63,0.78,0.22,1.12,14.78,29.95,217679.52,7.01,1.77,1.225,403727014.0,0.0
CATA,Consumo Cíclico,51.805,25.55,0.32,0.04,0.02,29.3,10.48,7.3,0.225,2.62,2.17,0.36,0.025,0.065,-0.05,1.87,11.69,5.7,2.23,0.49,0.51,0.78,12.29,26.21,,1374.59,160.66,0.01,14940354.78,0.000947517863915259
CEAB,Consumo Cíclico,16.54,4.11,13.22,1.56,0.55,54.88,10.61,4.95,6.16,6.07,-0.09,-0.02,0.65,5.07,-1.04,1.3,11.82,4.16,15.9,0.35,0.65,0.84,7.64,230.92,45910366.33,10.58,1.25,0.14,5098373424.72,0.50479837132517
CMIN,Materiais Básicos,5.03,16.5,7.64,2.7,0.78,50.45,31.11,21.38,5.25,4.4,-0.85,-0.44,1.63,2.99,-1.48,2.24,35.3,10.23,16.77,0.29,0.71,0.48,7.57,-0.28,18203930.62,1.87,0.66,167.86,27591254340.05,0.0
CSMG,Utilidade Pública,26.15,6.38,7.13,1.2,0.62,43.05,25.74,17.26,4.78,7.32,2.54,0.64,1.23,22.54,-0.74,1.22,16.8,8.75,9.46,0.52,0.48,0.51,8.84,13.06,57492026.57,21.82,3.67,144.25,9943617754.35,0.0
CURY,Consumo Cíclico,29.81,4.97,12.05,7.67,1.79,38.82,21.36,16.77,9.46,9.18,-0.28,-0.23,2.02,5.11,-4.77,2.26,63.68,14.82,30.98,0.23,0.72,0.88,30.96,35.15,43434960.57,3.89,2.47,0.34,8700796373.28,0.0
DESK,Comunicações,8.1,0.45,10.39,0.69,0.26,62.22,31.24,7.82,2.6,5.52,2.92,0.77,0.81,5.63,-0.32,1.37,6.59,2.52,11.0,0.38,0.61,0.32,,,802087.71,11.82,0.78,-0.83,938611881.0,0.05003422138223281
EALT,Bens Industriais,14.445,1.395,3.43,0.96,0.5,29.1,20.65,16.13,2.68,3.48,0.81,0.29,0.55,5.465,-0.88,1.27,28.11,14.7,21.15,0.52,0.48,0.91,13.53,41.25,57542.74,14.98,4.21,0.05,324097500.0,0.0
FIQE,Comunicações,3.64,2.72,7.57,1.08,0.57,50.81,25.62,16.64,4.92,5.5,0.58,0.13,1.26,5.73,-0.79,1.55,14.27,7.5,10.2,0.53,0.47,0.45,44.39,36.61,627304.43,3.37,0.48,-0.24,1317860576.76,0.009836580217532889
GEPA,Utilidade Pública,34.620000000000005,20.29,3.755,1.93,0.93,19.83,30.15,61.28,7.63,8.17,0.44,0.11,2.305,-8.774999999999999,-1.14,0.63,51.48,24.76,16.68,0.48,0.52,0.4,1.08,27.75,8564.135,17.91,9.22,0.025,3309571791.54,0.0
ISAE,Utilidade Pública,26.865,9.025,4.96,0.87,0.395,46.33,63.15,42.48,3.335,5.42,2.2,0.57,2.105,2.995,-0.48,3.77,17.48,7.98,10.82,0.46,0.53,0.19,19.24,15.15,11508776.265,30.98,5.42,0.165,17076670740.36,10.963043043783202
JHSF,Consumo Cíclico,5.04,7.38,3.22,0.6,0.24,58.77,90.78,62.12,2.2,4.29,2.09,0.57,2.0,1.36,-0.35,2.1,18.55,7.33,11.26,0.4,0.58,0.12,20.35,27.06,8948882.05,8.44,1.57,0.03,3433866690.24,0.0
