TICKER,SETOR,PRECO,DY,P/L,P/VP,P/ATIVOS,MARGEM BRUTA,MARGEM EBIT,MARG. LIQUIDA,P/EBIT,EV/EBIT,DIVIDA LIQUIDA / EBIT,DIV. LIQ. / PATRI.,PSR,P/CAP. GIRO,P. AT CIR. LIQ.,LIQ. CORRENTE,ROE,ROA,ROIC,PATRIMONIO / ATIVOS,PASSIVOS / ATIVOS,GIRO ATIVOS,CAGR RECEITAS 5 ANOS,CAGR LUCROS 5 ANOS,LIQUIDEZ MEDIA DIARIA,VPA,LPA,PEG RATIO,VALOR DE MERCADO,P/L_NORM,ROE_NORM,CAGR RECEITAS 5 ANOS_NORM,DY_NORM,DIVIDA LIQUIDA / EBIT_NORM,PESO_%
CMIN,Materiais Básicos,5.03,16.5,7.64,2.7,0.78,50.45,31.11,21.38,5.25,4.4,-0.85,-0.44,1.63,2.99,-1.48,2.24,35.3,10.23,16.77,0.29,0.71,0.48,7.57,-0.28,18203930.62,1.87,0.66,167.86,27591254340.05,0.06930383457764921,1.0,0.2497949138638228,0.9343148357870895,0.2600195503421309,0.0
CURY,Consumo Cíclico,29.81,4.97,12.05,7.67,1.79,38.82,21.36,16.77,9.46,9.18,-0.28,-0.23,2.02,5.11,-4.77,2.26,63.68,14.82,30.98,0.23,0.72,0.88,30.96,35.15,43434960.57,3.89,2.47,0.34,8700796373.28,0.16602972399150742,1.0,0.6120821586790174,0.19452054794520546,0.9180797707188918,0.0
FIQE,Comunicações,3.64,2.72,7.57,1.08,0.57,50.81,25.62,16.64,4.92,5.5,0.58,0.13,1.26,5.73,-0.79,1.55,14.27,7.5,10.2,0.53,0.47,0.45,44.39,36.61,627304.43,3.37,0.48,-0.24,1317860576.76,0.0,1.0,1.0,0.29712041884816753,0.2583333333333333,0.0
GEPA,Utilidade Pública,34.620000000000005,20.29,3.755,1.93,0.93,19.83,30.15,61.28,7.63,8.17,0.44,0.11,2.305,-8.774999999999999,-1.14,0.63,51.48,24.76,16.68,0.48,0.52,0.4,1.08,27.75,8564.135,17.91,9.22,0.025,3309571791.54,0.05343440014972862,1.0,0.5515986071541626,1.0,0.9585078534031414,0.0
JBSS,Consumo não Cíclico,73.4,8.17,5.85,1.47,0.27,15.03,5.75,2.46,2.51,5.84,3.33,1.96,0.14,1.66,-0.46,1.62,25.15,4.55,12.64,0.18,0.8,1.85,15.31,12.41,1765165649.69,49.88,12.55,0.01,63726190261.8,0.0,1.0,0.24788255223037833,1.0,0.7527027027027027,0.0
ODPV,Saúde,11.31,8.07,10.98,4.52,2.76,36.46,31.61,24.29,8.44,7.76,-0.68,-0.36,2.67,-55.21,-3.82,0.85,41.21,25.15,23.16,0.61,0.39,1.04,4.75,14.57,15426575.0,2.5,1.03,1.3,6173283984.66,0.1651554404145078,1.0,0.010399499914758198,1.0,0.09162011173184358,0.0
PRIO,"Petróleo, Gás e Biocombustíveis",43.47,0.0,3.44,1.46,0.71,43.99,40.3,72.61,6.2,9.04,2.85,0.67,2.5,6.84,-0.84,3.19,42.58,20.68,0.78,0.49,0.51,0.28,54.25,77.89,303277746.52,29.68,12.64,0.03,38964168140.31,0.0,1.0,0.2318694092080659,0.0,0.5242290748898678,6.612467952199033
SOND,Bens Industriais,41.97333333333333,14.653333333333334,4.329999999999999,1.4366666666666668,0.88,30.11,15.949999999999998,11.54,3.133333333333333,2.26,-0.9499999999999998,-0.44,0.5,3.036666666666666,-2.0,2.07,33.27,20.3,15.5,0.61,0.3899999999999999,1.76,25.49,40.27,2628.0,29.13,9.69,0.01,105765729.0,0.05048426150121064,1.0,0.2537947139369493,1.0,0.012465770221114156,1.3272075533131458
SYNE,Financeiro e Outros,6.45,51.8,1.76,0.9,0.31,41.41,62.11,42.0,1.19,1.68,0.48,0.37,0.74,1.01,-0.5,5.43,51.13,17.62,21.94,0.34,0.41,0.42,23.59,76.27,2404339.76,7.15,3.66,0.0,984556670.25,0.0,1.0,0.9163870621393103,1.0,0.25837988826815644,0.0
TOTS,Tecnologia da Informação,41.42,1.79,31.61,5.17,2.86,69.74,17.31,14.44,26.38,26.04,-0.33,-0.07,4.57,14.08,-4.31,2.52,16.37,9.04,12.2,0.55,0.41,0.63,18.01,30.22,92340928.95,8.01,1.31,13.35,24827213485.02,0.40793438232340135,1.0,0.1581752291622256,0.2887096774193548,0.25849433710859426,0.0
BRFS,Consumo não Cíclico,20.16,3.5,8.85,2.11,0.54,26.24,11.77,6.03,4.54,5.47,0.93,0.43,0.53,3.43,-1.08,1.46,23.89,6.09,14.44,0.26,0.72,1.01,12.91,66.71,194852772.38,9.54,2.28,-0.01,33918660639.36,0.03583801218492414,0.9579719813208807,0.18012422360248445,0.4283965728274174,0.4283783783783784,0.0
WEGE,Bens Industriais,42.39,1.92,28.42,8.36,4.52,33.62,20.06,15.64,22.16,21.85,-0.3,-0.11,4.44,17.1,-12.53,1.71,29.42,15.92,25.08,0.54,0.43,1.02,23.27,31.13,284611348.05,5.07,1.49,3.22,177924309935.22,0.3421307506053269,0.9487213638785295,0.2302303364823267,0.13102820746132846,0.015122409776433565,0.0
TGMA,Bens Industriais,33.82,7.63,8.08,2.31,1.65,21.57,17.64,12.9,5.91,5.54,-0.37,-0.15,1.04,4.58,-3.48,3.2,28.62,20.47,17.26,0.72,0.28,1.59,9.18,7.33,7679306.29,14.62,4.19,0.16,2232218585.3,0.09588377723970944,0.9380660628662759,0.080670841736546,0.5207006369426751,0.01483631013201455,0.3917143698553751
POMO,Bens Industriais,7.31,7.98,7.335000000000001,2.1,0.92,24.73,16.33,13.14,5.905,7.05,0.95,0.34,0.965,3.845,-2.22,1.7,28.59,12.61,13.02,0.44,0.55,0.96,14.78,41.24,24398161.02,3.49,1.0,0.265,8581385972.62,0.08686440677966102,0.9376664890783164,0.14011251459505358,0.5445859872611465,0.020231331998201662,0.11109593893897159
EALT,Bens Industriais,14.445,1.395,3.43,0.96,0.5,29.1,20.65,16.13,2.68,3.48,0.81,0.29,0.55,5.465,-0.88,1.27,28.11,14.7,21.15,0.52,0.48,0.91,13.53,41.25,57542.74,14.98,4.21,0.05,324097500.0,0.03958837772397094,0.9312733084709641,0.12684428404627957,0.09520018198362147,0.019659132709363637,0.0
