TICKER,SETOR,PRECO,DY,P/L,P/VP,P/ATIVOS,MARGEM BRUTA,MARGEM EBIT,MARG. LIQUIDA,P/EBIT,EV/EBIT,DIVIDA LIQUIDA / EBIT,DIV. LIQ. / PATRI.,PSR,P/CAP. GIRO,P. AT CIR. LIQ.,LIQ. CORRENTE,ROE,ROA,ROIC,PATRIMONIO / ATIVOS,PASSIVOS / ATIVOS,GIRO ATIVOS,CAGR RECEITAS 5 ANOS,CAGR LUCROS 5 ANOS,LIQUIDEZ MEDIA DIARIA,VPA,LPA,PEG RATIO,VALOR DE MERCADO,PESO_%
ALLD,Consumo Cíclico,6.91,18.77,5.91,0.41,0.19,12.0,3.42,2.08,3.6,4.36,0.75,0.09,0.12,0.58,-0.65,1.86,6.9,3.22,8.54,0.47,0.53,1.54,8.27,1.88,182737.0,16.95,1.17,-0.2,653045049.13,0.0011758390665967768
ANIM,Consumo Cíclico,3.65,14.38,12.67,0.62,0.15,61.77,22.82,3.02,1.68,6.21,4.53,1.68,0.38,1.23,-0.19,2.06,4.91,1.17,10.16,0.24,0.71,0.39,26.33,,17617474.48,5.87,0.29,-0.08,1474121138.25,2.0054961227099226
CAMB,Consumo Cíclico,7.9,8.81,4.46,1.125,0.88,48.85,20.11,17.59,3.905,4.19,-0.53,-0.15,0.7849999999999999,2.625,-1.745,3.09,25.25,19.72,19.63,0.78,0.22,1.12,14.78,29.95,217679.52,7.01,1.77,1.225,403727014.0,0.8882490933726835
CATA,Consumo Cíclico,51.805,25.55,0.32,0.04,0.02,29.3,10.48,7.3,0.225,2.62,2.17,0.36,0.025,0.065,-0.05,1.87,11.69,5.7,2.23,0.49,0.51,0.78,12.29,26.21,,1374.59,160.66,0.01,14940354.78,0.0
CEBR,Utilidade Pública,20.036666666666665,10.173333333333334,8.01,1.2966666666666666,0.9466666666666668,53.68,59.70000000000001,46.17,6.196666666666666,3.35,-2.92,-0.61,3.6966666666666663,1.846666666666667,-2.2066666666666666,9.39,16.18,11.79,12.96,0.73,0.1,0.26,-33.77,8.66,108677.53333333333,15.47,2.5,2.4433333333333334,1462748571.45,0.028287854533356437
CGRA,Consumo Cíclico,28.16,11.315,5.6,0.615,0.44,52.2,10.2,14.07,7.725,4.95,-2.74,-0.22,0.79,1.61,-0.79,2.52,10.93,7.79,5.27,0.71,0.29,0.55,8.68,-4.37,90999.69,46.02,5.03,0.39,577523450.88,0.0
CMIG,Utilidade Pública,12.685,15.46,5.1850000000000005,1.3,0.5700000000000001,19.63,23.79,17.25,3.76,4.63,1.09,0.38,0.895,41.81,-0.75,1.06,25.09,10.96,17.72,0.44,0.56,0.64,9.42,17.5,45413928.335,9.75,2.45,0.195,34162659783.46,0.025510437245833434
CMIN,Materiais Básicos,5.03,16.5,7.64,2.7,0.78,50.45,31.11,21.38,5.25,4.4,-0.85,-0.44,1.63,2.99,-1.48,2.24,35.3,10.23,16.77,0.29,0.71,0.48,7.57,-0.28,18203930.62,1.87,0.66,167.86,27591254340.05,0.1767923165329461
CSRN,Utilidade Pública,14.733333333333334,9.526666666666666,4.723333333333334,1.4633333333333336,0.3999999999999999,29.69,24.55,13.48,2.5966666666666667,5.05,2.65,1.5,0.6366666666666667,5.513333333333333,-0.5166666666666667,1.4799999999999998,31.03,8.5,18.9,0.27,0.73,0.63,7.94,13.79,0.0,10.04,3.12,-0.3633333333333333,2273440192.0,0.0
EKTR,Utilidade Pública,42.495000000000005,11.155,8.845,3.605,0.675,27.78,22.71,9.89,3.85,6.93,3.05,2.85,0.875,-40.760000000000005,-0.93,0.94,40.74,7.61,19.25,0.19,0.81,0.77,6.61,13.47,7711.69,11.79,4.8,-2.835,8288735245.07,0.0
EPAR,Financeiro e Outros,4.92,37.35,12.74,1.34,1.06,13.93,-53.45,81.38,-19.4,-15.59,3.81,-0.26,10.37,4.56,-1.41,13.71,10.5,8.31,-20.29,0.79,0.21,0.1,-44.69,-9.91,11158.95,3.68,0.39,-0.1,73113994.56,0.011790815696974617
EQPA,Utilidade Pública,6.8125,9.835,7.762499999999999,2.7925,0.87,31.06,22.79,17.37,5.9175,6.59,1.69,0.8,1.35,10.1875,-1.295,1.35,36.01,11.21,19.77,0.31,0.69,0.65,14.19,32.82,10274.12,2.44,0.88,-0.5925,12465679418.96,2.056596690736844
GEPA,Utilidade Pública,34.620000000000005,20.29,3.755,1.93,0.93,19.83,30.15,61.28,7.63,8.17,0.44,0.11,2.305,-8.774999999999999,-1.14,0.63,51.48,24.76,16.68,0.48,0.52,0.4,1.08,27.75,8564.135,17.91,9.22,0.025,3309571791.54,1.2380832425125416
GRND,Consumo Cíclico,5.1,9.47,6.49,1.17,0.98,47.65,19.36,26.72,8.96,6.2,-2.75,-0.36,1.73,1.84,-3.18,4.47,18.02,15.15,8.84,0.84,0.16,0.57,4.88,7.45,14168529.38,4.36,0.79,0.3,4601016000.0,0.0
