TICKER,SETOR,PRECO,DY,P/L,P/VP,P/ATIVOS,MARGEM BRUTA,MARGEM EBIT,MARG. LIQUIDA,P/EBIT,EV/EBIT,DIVIDA LIQUIDA / EBIT,DIV. LIQ. / PATRI.,PSR,P/CAP. GIRO,P. AT CIR. LIQ.,LIQ. CORRENTE,ROE,ROA,ROIC,PATRIMONIO / ATIVOS,PASSIVOS / ATIVOS,GIRO ATIVOS,CAGR RECEITAS 5 ANOS,CAGR LUCROS 5 ANOS,LIQUIDEZ MEDIA DIARIA,VPA,LPA,PEG RATIO,VALOR DE MERCADO,PESO_%
ALOS,Financeiro e Outros,21.6,4.62,13.6,0.87,0.44,74.1,59.06,31.4,7.23,5.33,-1.9,-0.23,4.27,4.56,-0.52,2.87,6.42,3.24,11.12,0.51,0.47,0.1,29.82,108.22,70577406.24,24.74,1.59,0.19,11727437234.4,8.222267498063172
ANIM,Consumo Cíclico,3.65,14.38,12.67,0.62,0.15,61.77,22.82,3.02,1.68,6.21,4.53,1.68,0.38,1.23,-0.19,2.06,4.91,1.17,10.16,0.24,0.71,0.39,26.33,,17617474.48,5.87,0.29,-0.08,1474121138.25,3.035652559855147
BALM,Saúde,18.615,5.709999999999999,5.88,1.0,0.6499999999999999,61.72,20.12,14.96,4.37,2.87,-1.5,-0.34,0.88,1.27,-2.41,3.3,16.99,11.02,12.65,0.65,0.36,0.74,5.42,37.76,14366.69,18.63,3.17,0.03,182427000.0,0.005893935607450555
CAMB,Consumo Cíclico,7.9,8.81,4.46,1.125,0.88,48.85,20.11,17.59,3.905,4.19,-0.53,-0.15,0.7849999999999999,2.625,-1.745,3.09,25.25,19.72,19.63,0.78,0.22,1.12,14.78,29.95,217679.52,7.01,1.77,1.225,403727014.0,0.4474194780326078
CATA,Consumo Cíclico,51.805,25.55,0.32,0.04,0.02,29.3,10.48,7.3,0.225,2.62,2.17,0.36,0.025,0.065,-0.05,1.87,11.69,5.7,2.23,0.49,0.51,0.78,12.29,26.21,,1374.59,160.66,0.01,14940354.78,0.0
CEAB,Consumo Cíclico,16.54,4.11,13.22,1.56,0.55,54.88,10.61,4.95,6.16,6.07,-0.09,-0.02,0.65,5.07,-1.04,1.3,11.82,4.16,15.9,0.35,0.65,0.84,7.64,230.92,45910366.33,10.58,1.25,0.14,5098373424.72,0.0
CEBR,Utilidade Pública,20.036666666666665,10.173333333333334,8.01,1.2966666666666666,0.9466666666666668,53.68,59.70000000000001,46.17,6.196666666666666,3.35,-2.92,-0.61,3.6966666666666663,1.846666666666667,-2.2066666666666666,9.39,16.18,11.79,12.96,0.73,0.1,0.26,-33.77,8.66,108677.53333333333,15.47,2.5,2.4433333333333334,1462748571.45,0.0
CMIG,Utilidade Pública,12.685,15.46,5.1850000000000005,1.3,0.5700000000000001,19.63,23.79,17.25,3.76,4.63,1.09,0.38,0.895,41.81,-0.75,1.06,25.09,10.96,17.72,0.44,0.56,0.64,9.42,17.5,45413928.335,9.75,2.45,0.195,34162659783.46,0.0
CMIN,Materiais Básicos,5.03,16.5,7.64,2.7,0.78,50.45,31.11,21.38,5.25,4.4,-0.85,-0.44,1.63,2.99,-1.48,2.24,35.3,10.23,16.77,0.29,0.71,0.48,7.57,-0.28,18203930.62,1.87,0.66,167.86,27591254340.05,1.840595307761483
CSMG,Utilidade Pública,26.15,6.38,7.13,1.2,0.62,43.05,25.74,17.26,4.78,7.32,2.54,0.64,1.23,22.54,-0.74,1.22,16.8,8.75,9.46,0.52,0.48,0.51,8.84,13.06,57492026.57,21.82,3.67,144.25,9943617754.35,1.4535384706331733
