date,value
2016-07-21,3.2582
2016-07-22,3.2851
2016-07-25,3.2816
2016-07-26,3.2787
2016-07-27,3.2817
2016-07-28,3.2737
2016-07-29,3.2387
2016-08-01,3.2659
2016-08-02,3.2487
2016-08-03,3.273
2016-08-04,3.218
2016-08-05,3.1856
2016-08-08,3.1768
2016-08-09,3.15
2016-08-10,3.1299
2016-08-11,3.1361
2016-08-12,3.1599
2016-08-15,3.1669
2016-08-16,3.1746
2016-08-17,3.2245
2016-08-18,3.2212
2016-08-19,3.2264
2016-08-22,3.216
2016-08-23,3.20505
2016-08-24,3.2369
2016-08-25,3.2316
2016-08-26,3.215
2016-08-29,3.261
2016-08-30,3.2522
2016-08-31,3.24
2016-09-01,3.2469
2016-09-02,3.2428
2016-09-05,3.2718
2016-09-06,3.2449
2016-09-08,3.1931
2016-09-09,3.2635
2016-09-12,3.2851
2016-09-13,3.2969
2016-09-14,3.3259
2016-09-15,3.3323
2016-09-16,3.3001
2016-09-19,3.2633
2016-09-20,3.2537
2016-09-21,3.2405
2016-09-22,3.2012
2016-09-23,3.2239
2016-09-26,3.2397
2016-09-27,3.2355
2016-09-28,3.2473
2016-09-29,3.2232
2016-09-30,3.2459
2016-10-03,3.2335
2016-10-04,3.22
2016-10-05,3.2356
2016-10-06,3.2307
2016-10-07,3.2131
2016-10-10,3.2122
2016-10-11,3.2133
2016-10-13,3.2084
2016-10-14,3.1861
2016-10-17,3.196
2016-10-18,3.1871
2016-10-19,3.1797
2016-10-20,3.1602
2016-10-21,3.159
2016-10-24,3.1308
2016-10-25,3.119
2016-10-26,3.1216
2016-10-27,3.1426
2016-10-28,3.1812
2016-10-31,3.1808
2016-11-01,3.205
2016-11-03,3.2307
2016-11-04,3.2446
2016-11-07,3.2021
2016-11-08,3.2021
2016-11-09,3.2255
2016-11-10,3.3101
2016-11-11,3.4374
2016-11-14,3.4443
2016-11-16,3.418
2016-11-17,3.4049
2016-11-18,3.3914
2016-11-21,3.3514
2016-11-22,3.3473
2016-11-23,3.3924
2016-11-24,3.3984
2016-11-25,3.4276
2016-11-28,3.3993
2016-11-29,3.4057
2016-11-30,3.3964
2016-12-01,3.4359
2016-12-02,3.4647
2016-12-05,3.4595
2016-12-06,3.4351
2016-12-07,3.3892
2016-12-08,3.4005
2016-12-09,3.3855
2016-12-12,3.3694
2016-12-13,3.3337
2016-12-14,3.31
2016-12-15,3.3827
2016-12-16,3.3709
2016-12-19,3.3775
2016-12-20,3.3583
2016-12-21,3.3294
2016-12-22,3.3299
2016-12-23,3.2693
2016-12-26,3.2698
2016-12-27,3.2773
2016-12-28,3.2771
2016-12-29,3.2588
2016-12-30,3.2588
2017-01-02,3.2726
2017-01-03,3.2629
2017-01-04,3.233
2017-01-05,3.2126
2017-01-06,3.2054
