date,value
2016-07-21,100
2016-07-22,100.052461
2016-07-25,100.104949522
2016-07-26,100.157465579
2016-07-27,100.210009187
2016-07-28,100.26258036
2016-07-29,100.315179112
2016-08-01,100.367805458
2016-08-02,100.420459413
2016-08-03,100.47314099
2016-08-04,100.525850205
2016-08-05,100.578587071
2016-08-08,100.631351603
2016-08-09,100.684143817
2016-08-10,100.736963725
2016-08-11,100.789811344
2016-08-12,100.842686687
2016-08-15,100.895589769
2016-08-16,100.948520604
2016-08-17,101.001479208
2016-08-18,101.054465594
2016-08-19,101.107479777
2016-08-22,101.160521772
2016-08-23,101.213591593
2016-08-24,101.266689255
2016-08-25,101.319814773
2016-08-26,101.372968161
2016-08-29,101.426149434
2016-08-30,101.479358606
2016-08-31,101.532595693
2016-09-01,101.585860708
2016-09-02,101.639153666
2016-09-05,101.692474582
2016-09-06,101.745823472
2016-09-08,101.799200348
2016-09-09,101.852605226
2016-09-12,101.906038122
2016-09-13,101.959499048
2016-09-14,102.012988021
2016-09-15,102.066505055
2016-09-16,102.120050164
2016-09-19,102.173623364
2016-09-20,102.227224668
2016-09-21,102.280854092
2016-09-22,102.334511651
2016-09-23,102.388197359
2016-09-26,102.441911232
2016-09-27,102.495653283
2016-09-28,102.549423527
2016-09-29,102.60322198
2016-09-30,102.657048657
2016-10-03,102.710903571
2016-10-04,102.764786738
2016-10-05,102.818698173
2016-10-06,102.87263789
2016-10-07,102.926605905
2016-10-10,102.980602231
2016-10-11,103.034626885
2016-10-13,103.088679881
2016-10-14,103.142761233
2016-10-17,103.196870957
2016-10-18,103.251009068
2016-10-19,103.305175579
2016-10-20,103.358471753
2016-10-21,103.411795422
2016-10-24,103.465146601
2016-10-25,103.518525305
2016-10-26,103.571931547
2016-10-27,103.625365343
2016-10-28,103.678826705
2016-10-31,103.732315648
2016-11-01,103.785832187
2016-11-03,103.839376336
2016-11-04,103.892948109
2016-11-07,103.946547519
2016-11-08,104.000174583
2016-11-09,104.053829313
2016-11-10,104.107511724
2016-11-11,104.16122183
2016-11-14,104.214959646
2016-11-16,104.268725186
2016-11-17,104.322518464
2016-11-18,104.376339495
2016-11-21,104.430188292
2016-11-22,104.48406487
2016-11-23,104.537969244
2016-11-24,104.591901428
2016-11-25,104.645861436
2016-11-28,104.699849282
2016-11-29,104.753864981
2016-11-30,104.807908548
2016-12-01,104.861065023
2016-12-02,104.914248458
2016-12-05,104.967458866
2016-12-06,105.020696262
2016-12-07,105.073960659
2016-12-08,105.12725207
2016-12-09,105.18057051
2016-12-12,105.233915992
2016-12-13,105.287288529
2016-12-14,105.340688136
2016-12-15,105.394114826
2016-12-16,105.447568614
2016-12-19,105.501049511
2016-12-20,105.554557534
2016-12-21,105.608092694
2016-12-22,105.661655007
2016-12-23,105.715244485
2016-12-26,105.768861143
2016-12-27,105.822504994
2016-12-28,105.876176052
2016-12-29,105.929874331
2016-12-30,105.983599844
2017-01-02,106.037352606
2017-01-03,106.091132631
2017-01-04,106.144939932
2017-01-05,106.198774522
2017-01-06,106.252636417
2017-01-09,106.306525629
2017-01-10,106.360442173
2017-01-11,106.414386062
2017-01-12,106.465559676
2017-01-13,106.516757899
2017-01-16,106.567980742
2017-01-17,106.619228219
2017-01-18,106.670500339
2017-01-19,106.721797116
2017-01-20,106.773118561
2017-01-23,106.824464686
2017-01-24,106.875835503
2017-01-25,106.927231024
2017-01-26,106.97865126
2017-01-27,107.030096223
2017-01-30,107.081565926
2017-01-31,107.133060381
2017-02-01,107.184579598
2017-02-02,107.23612359
2017-02-03,107.28769237
2017-02-06,107.339285948
2017-02-07,107.390904338
2017-02-08,107.442547549
2017-02-09,107.494215596
2017-02-10,107.54590849
2017-02-13,107.597626241
2017-02-14,107.649368864
2017-02-15,107.701136369
2017-02-16,107.752928768
2017-02-17,107.804746074
2017-02-20,107.856588299
2017-02-21,107.908455453
2017-02-22,107.960347551
2017-02-23,108.009406892
2017-02-24,108.058488526
2017-03-01,108.107592465
2017-03-02,108.156718717
2017-03-03,108.205867293
2017-03-06,108.255038203
2017-03-07,108.304231458
2017-03-08,108.353447067
2017-03-09,108.40268504
2017-03-10,108.451945388
2017-03-13,108.501228121
2017-03-14,108.550533249
2017-03-15,108.599860783
2017-03-16,108.649210731
2017-03-17,108.698583106
2017-03-20,108.747977916
2017-03-21,108.797395172
2017-03-22,108.846834884
2017-03-23,108.896297063
2017-03-24,108.945781718
2017-03-27,108.99528886
2017-03-28,109.044818499
2017-03-29,109.094370646
2017-03-30,109.14394531
2017-03-31,109.193542501
2017-04-03,109.243162231
2017-04-04,109.292804509
2017-04-05,109.342469345
2017-04-06,109.39215675
2017-04-07,109.441866734
2017-04-10,109.491599307
2017-04-11,109.541354479
2017-04-12,109.591132262
2017-04-13,109.637035603
2017-04-17,109.682958172
2017-04-18,109.728899976
2017-04-19,109.774861023
2017-04-20,109.820841321
2017-04-24,109.866840879
2017-04-25,109.912859704
2017-04-26,109.958897804
2017-04-27,110.004955188
2017-04-28,110.051031864
2017-05-02,110.097127839
2017-05-03,110.143243122
2017-05-04,110.189377721
2017-05-05,110.235531644
2017-05-08,110.281704898
2017-05-09,110.327897493
2017-05-10,110.374109436
2017-05-11,110.420340736
2017-05-12,110.4665914
2017-05-15,110.512861436
2017-05-16,110.559150853
2017-05-17,110.605459659
2017-05-18,110.651787862
2017-05-19,110.69813547
2017-05-22,110.744502491
2017-05-23,110.790888933
2017-05-24,110.837294805
2017-05-25,110.883720114
2017-05-26,110.930164869
2017-05-29,110.976629078
2017-05-30,111.023112749
2017-05-31,111.06961589
2017-06-01,111.112193317
2017-06-02,111.154787065
2017-06-05,111.197397141
2017-06-06,111.240023551
2017-06-07,111.282666302
2017-06-08,111.325325399
2017-06-09,111.368000849
2017-06-12,111.410692659
2017-06-13,111.453400834
2017-06-14,111.49612538
2017-06-16,111.538866305
2017-06-19,111.581623614
2017-06-20,111.624397314
2017-06-21,111.66718741
2017-06-22,111.70999391
2017-06-23,111.752816819
2017-06-26,111.795656144
2017-06-27,111.83851189
2017-06-28,111.881384066
2017-06-29,111.924272675
2017-06-30,111.967177726
2017-07-03,112.010099224
2017-07-04,112.053037175
2017-07-05,112.095991587
2017-07-06,112.138962464
2017-07-07,112.181949814
2017-07-10,112.224953643
2017-07-11,112.267973956
2017-07-12,112.311010761
2017-07-13,112.354064064
2017-07-14,112.397133871
