date,value
2016-07-21,56641
2016-07-22,57002
2016-07-25,56873
2016-07-26,56783
2016-07-27,56853
2016-07-28,56667
2016-07-29,57308
2016-08-01,56756
2016-08-02,56162
2016-08-03,57077
2016-08-04,57594
2016-08-05,57661
2016-08-08,57635
2016-08-09,57689
2016-08-10,56920
2016-08-11,58300
2016-08-12,58298
2016-08-15,59146
2016-08-16,58855
2016-08-17,59324
2016-08-18,59166
2016-08-19,59099
2016-08-22,57781
2016-08-23,58020
2016-08-24,57718
2016-08-25,57722
2016-08-26,57716
2016-08-29,58610
2016-08-30,58575
2016-08-31,57901
2016-09-01,58236
2016-09-02,59616
2016-09-05,59566
2016-09-06,60129
2016-09-08,60232
2016-09-09,58000
2016-09-12,58586
2016-09-13,56821
2016-09-14,57059
2016-09-15,57909
2016-09-16,57080
2016-09-19,57350
2016-09-20,57736
2016-09-21,58394
2016-09-22,58994
2016-09-23,58697
2016-09-26,58054
2016-09-27,58382
2016-09-28,59356
2016-09-29,58351
2016-09-30,58367
2016-10-03,59461
2016-10-04,59339
2016-10-05,60254
2016-10-06,60644
2016-10-07,61109
2016-10-10,61668
2016-10-11,61022
2016-10-13,61119
2016-10-14,61767
2016-10-17,62696
2016-10-18,63782
2016-10-19,63506
2016-10-20,63838
2016-10-21,64108
2016-10-24,64060
2016-10-25,63866
2016-10-26,63826
2016-10-27,64250
2016-10-28,64308
2016-10-31,64925
2016-11-01,63326
2016-11-03,61750
2016-11-04,61598
2016-11-07,64052
2016-11-08,64158
2016-11-09,63258
2016-11-10,61201
2016-11-11,59184
2016-11-14,59657
2016-11-16,60759
2016-11-17,59770
2016-11-18,59962
2016-11-21,61070
2016-11-22,61954
2016-11-23,61986
2016-11-24,61396
2016-11-25,61559
2016-11-28,62855
2016-11-29,60987
2016-11-30,61906
2016-12-01,59507
2016-12-02,60316
2016-12-05,59832
2016-12-06,61088
2016-12-07,61414
2016-12-08,60677
2016-12-09,60501
2016-12-12,59179
2016-12-13,59281
2016-12-14,58212
2016-12-15,58396
2016-12-16,58389
2016-12-19,57111
2016-12-20,57583
2016-12-21,57647
2016-12-22,57255
2016-12-23,57937
2016-12-26,58620
2016-12-27,58697
2016-12-28,59782
2016-12-29,60227
2017-01-02,59589
2017-01-03,61814
2017-01-04,61589
2017-01-05,62071
2017-01-06,61665
2017-01-09,61700
2017-01-10,62132
2017-01-11,62446
2017-01-12,63954
2017-01-13,63652
2017-01-16,63831
2017-01-17,64354
2017-01-18,64150
2017-01-19,63951
2017-01-20,64521
2017-01-23,65749
2017-01-24,65840
2017-01-26,66191
2017-01-27,66034
2017-01-30,64302
2017-01-31,64671
2017-02-01,64836
2017-02-02,64578
2017-02-03,64954
2017-02-06,63993
2017-02-07,64199
2017-02-08,64835
2017-02-09,64965
2017-02-10,66125
2017-02-13,66968
2017-02-14,66713
2017-02-15,67976
2017-02-16,67814
2017-02-17,67748
2017-02-20,68533
2017-02-21,69052
2017-02-22,68590
2017-02-23,67461
2017-02-24,66662
2017-03-01,66989
2017-03-02,65855
2017-03-03,66786
2017-03-06,66341
2017-03-07,65742
2017-03-08,64718
2017-03-09,64585
2017-03-10,64675
2017-03-13,65534
2017-03-14,64699
2017-03-15,66235
2017-03-16,65783
2017-03-17,64210
2017-03-20,64884
2017-03-21,62980
2017-03-22,63521
2017-03-23,63531
2017-03-24,63854
2017-03-27,64308
2017-03-28,64640
2017-03-29,65528
2017-03-30,65266
2017-03-31,64984
2017-04-03,65211
2017-04-04,65769
2017-04-05,64775
2017-04-06,64223
2017-04-07,64593
2017-04-10,64650
2017-04-11,64360
2017-04-12,63892
2017-04-13,62826
2017-04-17,64335
2017-04-18,64159
2017-04-19,63407
2017-04-20,63761
2017-04-24,64389
2017-04-25,65148
2017-04-26,64862
2017-04-27,64677
2017-04-28,65403
2017-05-02,66722
2017-05-03,66094
2017-05-04,64863
2017-05-05,65710
2017-05-08,65526
2017-05-09,66278
2017-05-10,67350
2017-05-11,67538
2017-05-12,68222
2017-05-15,68474
2017-05-16,68684
2017-05-17,67540
2017-05-18,61597
2017-05-19,62639
2017-05-22,61673
2017-05-23,62662
2017-05-24,63257
2017-05-25,63227
2017-05-26,64085
2017-05-29,63761
2017-05-30,63962
2017-05-31,62711
2017-06-01,62289
2017-06-02,62511
2017-06-05,62450
2017-06-06,62955
2017-06-07,63171
2017-06-08,62756
2017-06-09,62211
2017-06-12,61700
2017-06-13,61829
2017-06-14,61923
2017-06-16,61626
2017-06-19,62014
2017-06-20,60766
2017-06-21,60762
2017-06-22,61272
2017-06-23,61087
2017-06-26,62188
2017-06-27,61675
2017-06-28,62018
2017-06-29,62239
2017-06-30,62900
2017-07-03,63280
2017-07-04,63232
2017-07-05,63154
2017-07-06,62470
2017-07-07,62322
2017-07-10,63025
2017-07-11,63832
2017-07-12,64836
2017-07-13,65178
2017-07-14,65436
2017-07-17,65212
2017-07-18,65338
2017-07-19,65180
2017-07-20,64938
2017-07-21,64684
2017-07-24,65100
2017-07-25,65668
2017-07-26,65011
2017-07-27,65277
2017-07-28,65497
2017-07-31,65920
2017-08-01,66516
2017-08-02,67136
2017-08-03,66777
2017-08-04,66898
2017-08-07,67940
2017-08-08,67899
2017-08-09,67671
2017-08-10,66992
2017-08-11,67359
2017-08-14,68285
2017-08-15,68355
2017-08-16,68594
2017-08-17,67977
2017-08-18,68715
2017-08-21,68635
2017-08-22,70011
2017-08-23,70478
2017-08-24,71133
2017-08-25,71074
2017-08-28,71017
2017-08-29,71330
2017-08-30,70886
2017-08-31,70835
2017-09-01,71923
2017-09-04,72129
2017-09-05,72151
2017-09-06,73412
2017-09-08,73079
2017-09-11,74319
2017-09-12,74539
2017-09-13,74788
2017-09-14,74657
2017-09-15,75757
2017-09-18,75990
2017-09-19,75974
2017-09-20,76004
2017-09-21,75604
2017-09-22,75390
2017-09-25,74443
2017-09-26,74319
2017-09-27,73797
2017-09-28,73567
2017-09-29,74294
2017-10-02,74360
2017-10-03,76763
2017-10-04,76591
2017-10-05,76618
2017-10-06,76055
2017-10-09,75727
2017-10-10,76897
2017-10-11,76660
2017-10-13,76990
2017-10-16,76892
2017-10-17,76201
2017-10-18,76591
2017-10-19,76283
2017-10-20,76391
2017-10-23,75413
2017-10-24,76350
2017-10-25,76671
2017-10-26,75896
2017-10-27,75976
2017-10-30,74800
2017-10-31,74308
2017-11-01,73824
2017-11-03,73915
2017-11-06,74311
2017-11-07,72415
2017-11-08,74363
2017-11-09,72931
2017-11-10,72166
2017-11-13,72475
2017-11-14,70827
2017-11-16,72512
2017-11-17,73437
2017-11-21,74595
2017-11-22,74519
2017-11-23,74487
2017-11-24,74157
2017-11-27,74059
2017-11-28,74140
2017-11-29,72700
2017-11-30,71971
2017-12-01,72264
2017-12-04,73090
2017-12-05,72546
2017-12-06,73268
2017-12-07,72487
2017-12-08,72732
2017-12-11,72800
2017-12-12,73814
2017-12-13,72914
2017-12-14,72429
2017-12-15,72608
2017-12-18,73115
2017-12-19,72680
2017-12-20,73367
2017-12-21,75133
2017-12-22,75187
2017-12-26,75688
2017-12-27,76073
2017-12-28,76402
2017-12-29,76402
2018-01-02,77891
2018-01-03,77995
2018-01-04,78647
2018-01-05,79071
2018-01-08,79379
2018-01-09,78864
2018-01-10,78201
2018-01-11,79365
2018-01-12,79349
2018-01-15,79752
2018-01-16,79832
2018-01-17,81189
2018-01-18,80963
2018-01-19,81220
2018-01-22,81675
2018-01-23,80678
2018-01-24,83680
2018-01-26,85531
2018-01-29,84698
2018-01-30,84482
2018-01-31,84913
2018-02-01,85495
2018-02-02,84041
2018-02-05,81861
2018-02-06,83894
2018-02-07,82767
2018-02-08,81533
2018-02-09,80899
2018-02-14,83543
2018-02-15,84291
2018-02-16,84525
2018-02-19,84793
2018-02-20,85804
2018-02-21,86052
2018-02-22,86686
2018-02-23,87293
2018-02-26,87653
2018-02-27,86935
2018-02-28,85481
2018-03-01,85378
2018-03-02,85761
2018-03-05,86023
2018-03-06,85653
2018-03-07,85484
2018-03-08,84985
2018-03-09,86371
2018-03-12,86900
2018-03-13,86384
2018-03-14,86051
2018-03-15,84928
2018-03-16,84886
2018-03-19,83913
2018-03-20,84164
2018-03-21,84977
2018-03-22,84768
2018-03-23,84377
2018-03-26,85088
2018-03-27,83808
2018-03-28,83874
2018-03-29,85366
2018-04-02,84666
2018-04-03,84623
2018-04-04,84360
2018-04-05,85210
2018-04-06,84820
2018-04-09,83307
2018-04-10,84510
2018-04-11,85246
2018-04-12,85444
2018-04-13,84334
2018-04-16,82862
2018-04-17,84086
2018-04-18,85776
2018-04-19,85824
2018-04-20,85550
2018-04-23,85602
2018-04-24,85469
2018-04-25,85044
2018-04-26,86383
2018-04-27,86445
2018-04-30,86115
2018-05-02,84547
2018-05-03,83288
2018-05-04,83118
2018-05-07,82714
2018-05-08,82956
2018-05-09,84265
2018-05-10,85861
2018-05-11,85220
2018-05-14,85232
2018-05-15,85130
2018-05-16,86537
2018-05-17,83622
2018-05-18,83082
2018-05-21,81815
2018-05-22,82739
2018-05-23,80867
2018-05-24,80122
2018-05-25,78898
2018-05-28,75356
2018-05-29,76072
2018-05-30,76754
2018-06-01,77240
2018-06-04,78596
2018-06-05,76642
2018-06-06,76117
2018-06-07,73851
2018-06-08,72942
2018-06-11,72308
2018-06-12,72754
2018-06-13,72122
2018-06-14,71421
