date,value
2016-07-21,4097.81982422
2016-07-22,4116.5
2016-07-25,4104.12988281
2016-07-26,4105.56982422
2016-07-27,4100.81005859
2016-07-28,4107.75
2016-07-29,4114.50976562
2016-08-01,4109.27978516
2016-08-02,4083.25
2016-08-03,4097.29980469
2016-08-04,4099.20996094
2016-08-05,4134.56005859
2016-08-08,4131.18994141
2016-08-09,4132.95996094
2016-08-10,4122.64990234
2016-08-11,4142.72021484
2016-08-12,4139.62988281
2016-08-15,4151.68994141
2016-08-16,4129.68017578
2016-08-17,4138.41992188
2016-08-18,4147.64013672
2016-08-19,4142.22998047
2016-08-22,4139.97021484
2016-08-23,4148.16015625
2016-08-24,4126.64990234
2016-08-25,4121.08984375
2016-08-26,4114.68017578
2016-08-29,4136.75
2016-08-30,4129.33984375
2016-08-31,4120.29003906
2016-09-01,4120.16992188
2016-09-02,4137.70019531
2016-09-06,4150.10986328
2016-09-07,4150.50976562
2016-09-08,4141.45996094
2016-09-09,4039.94995117
2016-09-12,4099.47021484
2016-09-13,4039.91992188
2016-09-14,4037.83007812
2016-09-15,4079.32006836
2016-09-16,4063.9699707
2016-09-19,4063.93994141
2016-09-20,4065.19995117
2016-09-21,4109.62988281
2016-09-22,4136.41015625
2016-09-23,4112.68994141
2016-09-26,4077.70996094
2016-09-27,4104.18017578
2016-09-28,4126.83007812
2016-09-29,4088.4699707
2016-09-30,4121.06005859
2016-10-03,4108.12988281
2016-10-04,4088.16992188
2016-10-05,4107.39990234
2016-10-06,4109.49023438
2016-10-07,4096.25
2016-10-10,4115.12011719
2016-10-11,4063.91992188
2016-10-12,4068.91992188
2016-10-13,4056.44995117
2016-10-14,4057.2800293
2016-10-17,4045.07006836
2016-10-18,4069.98999023
2016-10-19,4079.5
2016-10-20,4074.17993164
2016-10-21,4073.85009766
2016-10-24,4093.2199707
2016-10-25,4077.80004883
2016-10-26,4070.76000977
2016-10-27,4058.75
2016-10-28,4046.36010742
2016-10-31,4045.88989258
2016-11-01,4018.4699707
2016-11-02,3992.76000977
2016-11-03,3976.56005859
2016-11-04,3970.02001953
2016-11-07,4058.30004883
2016-11-08,4075.61010742
2016-11-09,4121.02978516
2016-11-10,4129.45996094
2016-11-11,4123.68994141
2016-11-14,4123.81005859
2016-11-15,4155.62011719
2016-11-16,4150.20996094
2016-11-17,4169.87011719
2016-11-18,4160.58007812
2016-11-21,4191.68017578
2016-11-22,4200.95019531
2016-11-23,4204.49023438
2016-11-25,4221.02001953
2016-11-28,4199.39013672
2016-11-29,4205.99023438
2016-11-30,4195.72998047
2016-12-01,4181.14990234
2016-12-02,4182.81005859
2016-12-05,4207.56982422
2016-12-06,4222.04003906
2016-12-07,4278.43994141
2016-12-08,4288.10009766
2016-12-09,4313.60986328
2016-12-12,4308.93994141
2016-12-13,4337.85986328
2016-12-14,4302.93017578
2016-12-15,4319.83984375
2016-12-16,4312.39990234
2016-12-19,4321.02001953
2016-12-20,4337.35986328
2016-12-21,4326.85009766
2016-12-22,4319.33007812
2016-12-23,4325.16992188
2016-12-27,4334.93017578
2016-12-28,4299.45019531
2016-12-29,4298.39013672
2016-12-30,4278.66015625
2017-01-03,4315.08007812
2017-01-04,4340.75
2017-01-05,4337.45019531
2017-01-06,4354.04980469
2017-01-09,4338.62011719
2017-01-10,4338.64013672
2017-01-11,4351.31982422
2017-01-12,4342.08984375
2017-01-13,4350.10986328
2017-01-17,4337.20019531
2017-01-18,4345.56982422
2017-01-19,4329.95996094
2017-01-20,4344.66992188
2017-01-23,4333.10009766
2017-01-24,4361.56005859
2017-01-25,4396.56982422
2017-01-26,4393.43017578
2017-01-27,4389.85009766
2017-01-30,4363.66992188
2017-01-31,4359.81005859
2017-02-01,4362.10009766
2017-02-02,4364.85009766
2017-02-03,4396.95019531
2017-02-06,4387.66992188
2017-02-07,4388.87011719
2017-02-08,4393.31005859
2017-02-09,4419.39990234
2017-02-10,4435.41992188
2017-02-13,4459.83007812
2017-02-14,4478.97998047
2017-02-15,4501.99023438
2017-02-16,4498.56005859
2017-02-17,4506.20019531
2017-02-21,4533.45996094
2017-02-22,4528.97021484
2017-02-23,4531.39013672
2017-02-24,4539.25
2017-02-27,4544.50976562
2017-02-28,4532.93017578
2017-03-01,4595.72998047
2017-03-02,4569.16992188
2017-03-03,4571.60009766
2017-03-06,4556.72021484
2017-03-07,4543.75
2017-03-08,4534.68017578
2017-03-09,4538.35986328
2017-03-10,4553.27978516
2017-03-13,4556.43994141
2017-03-14,4541.25976562
2017-03-15,4579.43994141
2017-03-16,4572.16015625
2017-03-17,4566.16992188
2017-03-20,4557.12011719
2017-03-21,4500.97998047
2017-03-22,4509.64990234
2017-03-23,4504.91992188
2017-03-24,4501.10986328
2017-03-27,4496.52978516
2017-03-28,4529.16992188
2017-03-29,4535.00976562
2017-03-30,4548.45996094
2017-03-31,4538.20996094
2017-04-03,4530.97998047
2017-04-04,4534.25
2017-04-05,4520.85986328
2017-04-06,4530.93017578
2017-04-07,4527.20019531
2017-04-10,4530.56982422
2017-04-11,4524.70996094
2017-04-12,4507.75976562
2017-04-13,4477.06982422
2017-04-17,4515.64990234
2017-04-18,4502.66015625
2017-04-19,4495.56005859
2017-04-20,4529.64990234
2017-04-21,4515.89990234
2017-04-24,4564.93017578
2017-04-25,4592.74023438
2017-04-26,4590.56005859
2017-04-27,4593.56982422
2017-04-28,4584.81982422
2017-05-01,4592.77978516
2017-05-02,4598.24023438
2017-05-03,4593.31982422
2017-05-04,4596.24023438
2017-05-05,4615.08984375
2017-05-08,4615.72998047
2017-05-09,4611.20996094
2017-05-10,4618.18994141
2017-05-11,4609.68994141
2017-05-12,4602.95996094
2017-05-15,4625.50976562
2017-05-16,4623.25976562
2017-05-17,4540.58007812
2017-05-18,4557.41015625
2017-05-19,4588.35009766
2017-05-22,4612.12011719
2017-05-23,4620.70019531
2017-05-24,4632.37011719
2017-05-25,4653.58984375
