TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AERI3;3,20;;-0,16;-0,95;0,10;1,74;-117,42;-147,83;-0,20;-1,94;-1,74;;0,24;0,97;-0,16;1,39;-598,24;-63,76;-66,03;-0,11;1,11;0,43;12,70;;382.629,90;-3,35;-20,06;0,00;198.784.627,20
ALPK3;4,34;;674,55;2,67;0,37;32,33;13,88;0,08;3,80;8,49;4,69;3,29;0,53;-8,06;-0,47;0,82;0,40;0,05;12,74;0,14;0,86;0,70;7,96;;508.257,67;1,63;0,01;-6,33;951.786.881,22
ARML3;4,42;4,82;28,26;1,20;0,33;35,48;22,22;2,91;3,71;8,24;4,53;1,47;0,82;2,02;-0,47;2,21;4,26;1,17;10,45;0,27;0,72;0,40;95,79;42,68;4.806.860,14;3,67;0,16;-0,38;1.531.503.908,74
AZEV3;0,24;;-0,20;0,89;0,14;8,27;-181,96;-269,37;-0,29;-0,39;-0,12;0,36;0,53;-1,22;-0,17;0,65;-453,29;-69,02;-250,88;0,15;0,85;0,26;144,07;;267.074,24;0,27;-1,22;0,00;134.445.807,16
AZEV4;0,22;;-0,18;0,82;0,12;8,27;-181,96;-269,37;-0,27;-0,39;-0,12;0,36;0,49;-1,12;-0,16;0,65;-453,29;-69,02;-250,88;0,15;0,85;0,26;144,07;;3.405.021,10;0,27;-1,22;0,00;134.445.807,16
AZUL4;0,80;;0,15;-0,09;0,09;28,49;14,99;72,55;0,75;11,22;10,99;;0,11;-0,12;-0,12;0,27;-57,23;56,77;32,52;-0,99;1,99;0,78;11,28;;21.713.221,43;-9,06;5,18;0,00;739.540.763,69
BBML3;3.936,42;;-468,78;-445,19;154,82;-4,08;-17,29;-23,60;-639,68;-641,40;-1,72;;110,62;-159,22;-211,74;0,22;-94,97;-33,03;-512,10;-0,35;1,35;1,40;18,96;;;-8,84;-8,40;-0,87;160.451.699.191,56
BDLL3;9,90;;1,05;-0,07;0,04;17,16;19,16;25,56;1,40;16,46;15,39;;0,27;-0,10;-0,07;0,55;-6,83;3,46;23,30;-0,51;1,51;0,14;-2,75;;990,00;-137,84;9,42;-0,01;12.136.826,16
BDLL4;6,17;;0,66;-0,04;0,02;17,16;19,16;25,56;0,87;16,46;15,39;;0,17;-0,06;-0,04;0,55;-6,83;3,46;23,30;-0,51;1,51;0,14;-2,75;;2.285,90;-137,84;9,42;-0,01;12.136.826,16
CSUD3;18,83;5,99;8,35;1,54;1,05;41,64;20,82;15,58;6,25;5,84;-0,41;-0,10;1,30;17,20;-1,55;1,24;18,49;12,63;13,85;0,68;0,32;0,81;5,53;28,57;815.431,05;12,19;2,25;5,64;787.094.000,00
CTAX3;0,99;;-0,20;0,30;0,02;16,15;-1,89;-29,79;-3,22;-20,18;-16,96;1,56;0,06;-0,08;-0,03;0,38;-144,99;-11,36;-3,01;0,08;0,92;0,38;-15,50;;7.129,24;3,33;-4,83;0,00;26.443.252,44
DTCY3;2,75;;-186,65;24,75;4,19;29,74;1,50;-1,98;246,86;435,18;-29,19;-2,93;3,70;9,59;-135,45;1,82;-13,26;-2,24;10,02;0,17;0,83;1,13;-12,65;;698,88;0,11;-0,01;1,96;57.582.312,00
DTCY4;62,60;;-4.248,83;563,31;95,35;29,74;1,50;-1,98;5.619,43;435,18;-29,19;-2,93;84,25;218,37;-3.083,22;1,82;-13,26;-2,24;10,02;0,17;0,83;1,13;-12,65;;;0,11;-0,01;44,69;57.582.312,00
EALT3;14,40;1,33;3,06;0,91;0,51;22,97;14,12;18,28;3,96;4,72;1,01;0,23;0,56;5,52;-0,85;1,31;29,71;16,76;11,99;0,56;0,44;0,92;13,53;44,42;8.917,50;15,84;4,71;0,05;303.727.500,00
EALT4;12,81;1,64;2,72;0,81;0,46;22,97;14,12;18,28;3,52;4,72;1,01;0,23;0,50;4,91;-0,75;1,31;29,71;16,76;11,99;0,56;0,44;0,92;13,53;44,42;168.257,67;15,84;4,71;0,05;303.727.500,00
ECOR3;10,27;3,01;7,75;1,70;0,20;39,37;37,58;8,44;1,74;6,78;5,04;4,92;0,65;4,05;-0,24;1,51;21,93;2,63;11,35;0,12;0,87;0,31;20,09;;55.546.393,76;6,04;1,33;1,58;7.151.352.480,48
EMBJ3;87,98;0,33;36,82;3,42;0,97;18,20;9,00;4,29;17,54;18,27;0,74;0,14;1,58;5,90;-2,15;1,43;9,28;2,65;7,38;0,29;0,69;0,62;27,61;;376.146.859,57;25,75;2,39;-1,15;65.146.114.571,12
ETER3;4,04;0,91;5,30;0,30;0,18;20,36;2,36;4,02;9,03;14,25;5,22;0,17;0,21;1,01;-0,32;1,66;5,57;3,33;-0,28;0,60;0,40;0,83;18,91;;384.573,43;13,69;0,76;-0,09;249.577.363,00
FLEX3;0,00;;0,00;0,00;0,00;19,49;-100,31;-141,80;0,00;-0,43;-0,43;;0,00;0,00;0,00;0,11;-81,00;-290,31;83,68;-3,58;4,58;2,05;-5,08;;;-132,45;-107,28;0,00;0,00
FRAS3;23,38;4,20;18,41;2,72;0,95;33,80;14,35;6,83;8,76;10,96;2,20;0,68;1,26;3,47;-1,86;2,27;14,78;5,17;14,14;0,35;0,65;0,76;23,77;57,37;7.898.036,81;8,60;1,27;1,72;6.554.234.427,58
FRIO3;209,99;;55,49;3,68;0,70;16,72;7,79;0,98;7,00;10,70;3,70;1,95;0,54;5,06;-2,17;1,26;6,63;1,27;13,09;0,19;0,77;1,29;8,13;2,08;0,00;57,06;3,78;2,15;1.340.235.346,23
GGPS3;18,86;3,44;21,49;3,63;0,98;14,43;8,30;3,88;10,04;11,52;1,48;0,53;0,83;3,52;-2,08;2,13;16,89;4,58;13,75;0,27;0,73;1,18;27,93;25,40;70.930.273,48;5,20;0,88;-9,92;14.145.188.203,94
GOLL54;6,00;;-10.947,29;-3.521,13;2.058,27;25,21;0,19;-23,34;1.348.660,36;177.365,83;306,49;;2.555,41;-11.163,27;-2.997,38;0,63;-32,16;-18,80;1.551,17;-0,58;1,58;0,81;6,65;;462.678,89;0,00;0,00;-75,39;7.220.125.544.758,63
HAGA3;1,76;;20,55;-0,42;0,30;20,71;-6,74;3,65;-11,13;6,89;15,62;;0,75;0,57;-2,86;2,46;-2,03;1,46;7,29;-0,72;1,72;0,40;4,63;-16,45;4.795,60;-4,22;0,09;-0,27;16.422.000,19
HAGA4;1,19;;13,89;-0,28;0,20;20,71;-6,74;3,65;-7,53;6,89;15,62;;0,51;0,38;-1,93;2,46;-2,03;1,46;7,29;-0,72;1,72;0,40;4,63;-16,45;8.238,32;-4,22;0,09;-0,18;16.422.000,19
HBSA3;3,79;;-22,86;2,27;0,75;27,17;9,61;-12,42;29,55;44,28;14,73;1,13;2,84;3,65;-1,13;2,53;-9,92;-3,27;2,57;0,33;0,67;0,26;7,59;;13.027.389,71;1,67;-0,17;0,59;5.155.850.216,97
INEP3;1,04;;-0,12;-0,03;0,12;-33,65;-6.650,99;-10.578,39;-0,19;-3,59;-3,40;;12,61;-0,05;-0,18;0,13;-23,84;-96,97;31,53;-4,07;5,07;0,01;-19,65;;44.186,05;-36,59;-8,72;0,00;50.657.051,76
