TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
BRST3;3,24;1,20;12,24;0,91;0,35;42,40;14,96;8,46;6,92;11,95;5,03;0,66;1,04;3,50;-0,49;1,54;7,44;2,86;5,71;0,38;0,62;0,34;41,71;35,66;793.226,48;3,56;0,26;-1,03;1.419.144.419,88
DESK3;16,69;0,22;26,45;1,38;0,52;61,10;30,18;6,12;5,37;8,49;3,13;0,80;1,62;14,36;-0,63;1,26;5,22;1,96;11,49;0,38;0,62;0,32;;;14.685.298,81;12,09;0,63;-1,22;1.935.468.667,92
ELMD3;31,00;0,64;39,74;4,53;1,39;49,42;24,62;8,95;14,44;17,04;2,60;0,82;3,55;10,24;-2,04;1,76;11,40;3,51;9,18;0,31;0,63;0,39;32,00;51,88;704.100,00;6,85;0,78;8,29;4.455.057.771,00
FIQE3;5,68;5,41;10,47;1,62;0,87;51,52;26,58;17,41;6,86;7,64;0,78;0,18;1,82;9,85;-1,15;1,57;15,46;8,31;9,98;0,54;0,46;0,48;44,39;39,94;2.738.518,05;3,51;0,54;-0,38;2.056.441.779,12
OIBR3;0,19;;-0,03;0,00;0,00;-830,11;-402,10;-808,94;-0,07;-11,03;-10,96;;0,28;-0,02;0,00;0,59;-11,89;-9,84;21,85;-0,83;1,83;0,01;-30,86;;4.573.308,71;-46,94;-5,58;0,00;66.003.855,98
OIBR4;2,27;;-0,41;-0,05;0,04;-830,11;-402,10;-808,94;-0,82;-11,03;-10,96;;3,29;-0,24;-0,05;0,59;-11,89;-9,84;21,85;-0,83;1,83;0,01;-30,86;;264.957,62;-46,94;-5,58;0,00;66.003.855,98
TELB3;10,80;;19,61;0,72;0,26;-38,99;26,31;12,16;9,06;-2,72;-11,39;-0,91;2,38;0,62;-0,53;5,55;3,68;1,33;7,92;0,36;0,64;0,11;15,19;;11.488,67;14,98;0,55;-0,16;1.053.377.200,89
TELB4;8,19;;14,87;0,55;0,20;-38,99;26,31;12,16;6,87;-2,72;-11,39;-0,91;1,81;0,47;-0,40;5,55;3,68;1,33;7,92;0,36;0,64;0,11;15,19;;23.998,71;14,98;0,55;-0,12;1.053.377.200,89
TIMS3;22,76;8,16;31,42;4,31;0,96;53,44;23,13;6,66;9,05;7,96;-1,09;-0,52;2,09;202,56;-1,27;1,02;13,71;3,04;27,45;0,22;0,63;0,46;7,93;-13,50;143.076.150,19;5,28;0,72;-2,84;55.097.508.098,48
VIVT3;32,66;4,78;17,41;1,54;0,85;44,27;16,10;10,34;11,18;12,37;1,20;0,16;1,80;285,29;-1,06;1,02;8,85;4,89;8,76;0,55;0,45;0,47;4,76;3,90;109.222.423,95;21,21;1,88;1,40;105.379.012.674,52
VIVT4;45,34;;24,16;2,14;1,18;44,27;16,10;10,34;15,52;12,37;1,20;0,16;2,50;396,06;-1,47;1,02;8,85;4,89;8,76;0,55;0,45;0,47;4,76;3,90;;21,21;1,88;1,95;105.379.012.674,52
