TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AHEB3;35,80;;2,66;1,26;0,55;17,28;12,60;16,64;3,51;2,95;-0,59;-0,21;0,44;1,74;-1,02;3,30;47,45;20,82;23,17;0,44;0,56;1,25;44,62;;10.740,00;28,40;13,48;0,32;308.482.931,60
AHEB5;58,00;;4,30;2,04;0,90;17,28;12,60;16,64;5,68;2,95;-0,59;-0,21;0,72;2,82;-1,65;3,30;47,45;20,82;23,17;0,44;0,56;1,25;44,62;;2.900,00;28,40;13,48;0,51;308.482.931,60
AHEB6;55,00;;4,08;1,94;0,85;17,28;12,60;16,64;5,39;2,95;-0,59;-0,21;0,68;2,68;-1,56;3,30;47,45;20,82;23,17;0,44;0,56;1,25;44,62;;5.500,00;28,40;13,48;0,49;308.482.931,60
ALLD3;6,91;18,77;5,91;0,41;0,19;12,00;3,42;2,08;3,60;4,36;0,75;0,09;0,12;0,58;-0,65;1,86;6,90;3,22;8,54;0,47;0,53;1,54;8,27;1,88;182.737,00;16,95;1,17;-0,20;653.045.049,13
ALPA3;7,50;1,29;26,20;1,26;0,80;44,69;3,36;4,58;35,71;36,71;-1,44;-0,05;1,20;3,04;-1,57;2,17;4,83;3,06;1,60;0,63;0,36;0,67;2,05;-6,53;35.055,19;5,93;0,29;-0,23;5.473.389.228,66
ALPA4;8,52;1,25;29,76;1,44;0,91;44,69;3,36;4,58;40,56;36,71;-1,44;-0,05;1,36;3,46;-1,79;2,17;4,83;3,06;1,60;0,63;0,36;0,67;2,05;-6,53;7.935.349,81;5,93;0,29;-0,27;5.473.389.228,66
AMAR3;1,25;;-3,89;2,23;0,31;50,10;4,91;-11,49;9,09;18,09;9,00;2,21;0,45;-1,72;-0,44;0,60;-57,47;-8,08;6,21;0,14;0,86;0,70;-13,55;;138.998,81;0,56;-0,32;0,06;641.820.053,75
AMER3;5,10;;0,14;0,23;0,06;31,11;-5,71;53,64;-1,31;-2,55;-1,24;0,22;0,07;0,43;-0,10;1,49;163,84;42,19;-144,30;0,26;0,74;0,79;16,22;;10.873.560,38;22,35;36,62;0,00;1.021.246.037,10
ANIM3;3,65;14,38;12,67;0,62;0,15;61,77;22,82;3,02;1,68;6,21;4,53;1,68;0,38;1,23;-0,19;2,06;4,91;1,17;10,16;0,24;0,71;0,39;26,33;;17.617.474,48;5,87;0,29;-0,08;1.474.121.138,25
AVLL3;1,71;;-28,51;-3,84;0,24;38,44;22,28;-1,69;2,16;4,97;2,81;;0,48;-3,77;-0,39;0,86;-13,47;-0,84;25,06;-0,06;1,04;0,50;32,82;;5.428,62;-0,45;-0,06;0,29;334.014.404,31
AZZA3;35,67;1,61;19,06;0,94;0,48;53,73;5,52;3,86;13,33;17,20;3,87;0,27;0,74;2,96;-0,89;1,55;4,95;2,52;2,39;0,51;0,49;0,65;37,92;18,97;74.734.585,29;37,80;1,87;-3,41;7.365.491.629,71
BAHI3;4,51;;-1,64;1,58;0,24;55,39;-7,97;-20,31;-4,17;-5,50;-1,33;0,51;0,33;-1,12;-0,26;0,32;-96,77;-14,54;-17,71;0,15;0,79;0,72;46,22;;16.499,00;2,85;-2,76;0,00;119.021.524,82
BHIA3;3,03;;-0,18;0,09;0,01;30,06;-1,82;-5,98;-0,60;-14,97;-14,38;2,15;0,01;-0,07;-0,02;0,76;-49,14;-5,11;-11,40;0,10;0,90;0,85;1,39;;9.671.176,00;34,10;-16,75;0,02;288.113.600,91
BMKS3;399,00;8,30;12,05;0,88;0,76;30,53;13,56;96,22;85,47;8,31;-77,16;-0,79;11,59;1,05;-3,28;20,54;7,29;6,35;-0,81;0,87;0,13;0,07;-0,59;41,18;17.345,33;454,30;33,13;-0,81;181.445.250,00
CALI3;25,00;1,08;10,41;1,03;0,29;24,50;27,21;17,48;6,69;8,97;2,28;0,35;1,82;0,67;-0,70;4,15;9,93;2,83;6,61;0,29;0,58;0,16;79,12;;0,00;24,18;2,40;-0,01;174.720.000,00
CALI4;50,00;;20,83;2,07;0,59;24,50;27,21;17,48;13,38;8,97;2,28;0,35;3,64;1,35;-1,39;4,15;9,93;2,83;6,61;0,29;0,58;0,16;79,12;;;24,18;2,40;-0,01;174.720.000,00
CAMB3;9,55;8,81;5,39;1,36;1,06;48,85;20,11;17,59;4,72;4,19;-0,53;-0,15;0,95;3,17;-2,11;3,09;25,25;19,72;19,63;0,78;0,22;1,12;14,78;29,95;217.679,52;7,01;1,77;1,48;403.727.014,00
CAMB4;6,25;;3,53;0,89;0,70;48,85;20,11;17,59;3,09;4,19;-0,53;-0,15;0,62;2,08;-1,38;3,09;25,25;19,72;19,63;0,78;0,22;1,12;14,78;29,95;;7,01;1,77;0,97;403.727.014,00
CATA3;103,61;25,55;0,64;0,08;0,04;29,30;10,48;7,30;0,45;2,62;2,17;0,36;0,05;0,13;-0,10;1,87;11,69;5,70;2,23;0,49;0,51;0,78;12,29;26,21;;1.374,59;160,66;0,02;14.940.354,78
CATA4;0,00;;0,00;0,00;0,00;29,30;10,48;7,30;0,00;2,62;2,17;0,36;0,00;0,00;0,00;1,87;11,69;5,70;2,23;0,49;0,51;0,78;12,29;26,21;;1.374,59;160,66;0,00;14.940.354,78
CEAB3;16,54;4,11;13,22;1,56;0,55;54,88;10,61;4,95;6,16;6,07;-0,09;-0,02;0,65;5,07;-1,04;1,30;11,82;4,16;15,90;0,35;0,65;0,84;7,64;230,92;45.910.366,33;10,58;1,25;0,14;5.098.373.424,72
CEDO3;25,25;;2,53;0,81;0,26;28,99;15,04;9,64;1,62;3,85;2,47;1,23;0,24;3,81;-0,45;1,19;31,82;10,28;20,05;0,32;0,68;1,07;8,89;;3.335,40;31,37;9,98;0,10;214.851.302,08
CEDO4;16,48;;1,65;0,53;0,17;28,99;15,04;9,64;1,06;3,85;2,47;1,23;0,16;2,49;-0,30;1,19;31,82;10,28;20,05;0,32;0,68;1,07;8,89;;27.193,13;31,37;9,98;0,07;214.851.302,08
CGRA3;28,80;11,06;5,73;0,63;0,45;52,20;10,20;14,07;7,90;4,95;-2,74;-0,22;0,81;1,65;-0,81;2,52;10,93;7,79;5,27;0,71;0,29;0,55;8,68;-4,37;47.429,24;46,02;5,03;0,40;577.523.450,88
CGRA4;27,52;11,57;5,47;0,60;0,43;52,20;10,20;14,07;7,55;4,95;-2,74;-0,22;0,77;1,57;-0,77;2,52;10,93;7,79;5,27;0,71;0,29;0,55;8,68;-4,37;134.570,14;46,02;5,03;0,38;577.523.450,88
CNSY3;30,22;;-86,19;-23,75;5,37;18,72;7,08;-7,71;93,87;109,95;16,08;;6,65;-28,61;-6,18;0,41;-27,56;-6,23;4,37;-0,23;1,23;0,81;2,97;;;-1,27;-0,35;0,14;935.885.083,86
COGN3;2,56;2,61;4,88;0,39;0,20;67,94;21,89;15,13;3,38;7,21;3,83;0,44;0,74;3,68;-0,25;1,38;7,90;4,06;5,34;0,51;0,44;0,27;-1,88;33,12;58.018.576,71;6,63;0,52;-0,02;4.804.111.897,60
CSED3;4,85;7,75;9,20;1,14;0,37;49,42;20,05;7,30;3,35;4,32;0,97;0,33;0,67;6,25;-0,48;1,35;12,34;4,00;18,13;0,32;0,68;0,55;11,74;9,71;1.602.651,38;4,27;0,53;0,18;1.768.031.377,20
CTKA3;34,18;;1,77;11,43;0,30;46,54;13,80;16,86;2,16;5,97;3,78;20,04;0,30;0,98;-0,87;1,87;647,44;16,97;15,63;0,03;0,97;1,01;15,69;;6.578,00;2,99;19,36;0,01;214.827.833,72
CTKA4;35,00;;1,81;11,71;0,31;46,54;13,80;16,86;2,21;5,97;3,78;20,04;0,30;1,01;-0,89;1,87;647,44;16,97;15,63;0,03;0,97;1,01;15,69;;9.818,75;2,99;19,36;0,01;214.827.833,72
CTNM3;7,13;;-0,46;-0,58;0,07;-7,79;-78,50;-74,73;-0,44;-2,70;-2,48;;0,34;-0,12;-0,09;0,24;-126,34;-15,80;-81,07;-0,13;1,22;0,21;-15,32;;0,00;-12,27;-15,50;0,02;113.580.609,02
CTNM4;0,86;;-0,06;-0,07;0,01;-7,79;-78,50;-74,73;-0,05;-2,70;-2,48;;0,04;-0,01;-0,01;0,24;-126,34;-15,80;-81,07;-0,13;1,22;0,21;-15,32;;0,00;-12,27;-15,50;0,00;113.580.609,02
CTSA3;2,62;;-0,15;0,14;0,03;-38,14;-82,33;-124,60;-0,23;-2,82;-2,60;1,61;0,19;-0,09;-0,04;0,30;-93,74;-20,85;-23,27;0,22;0,78;0,17;-25,55;;4.592,60;18,79;-17,62;0,00;18.225.230,90
CTSA4;2,60;;-0,15;0,14;0,03;-38,14;-82,33;-124,60;-0,22;-2,82;-2,60;1,61;0,18;-0,09;-0,04;0,30;-93,74;-20,85;-23,27;0,22;0,78;0,17;-25,55;;6.431,38;18,79;-17,62;0,00;18.225.230,90
CTSA8;0,00;;0,00;0,00;0,00;-38,14;-82,33;-124,60;0,00;-2,82;-2,60;1,61;0,00;0,00;0,00;0,30;-93,74;-20,85;-23,27;0,22;0,78;0,17;-25,55;;;18,79;-17,62;0,00;18.225.230,90
CURY3;29,81;4,97;12,05;7,67;1,79;38,82;21,36;16,77;9,46;9,18;-0,28;-0,23;2,02;5,11;-4,77;2,26;63,68;14,82;30,98;0,23;0,72;0,88;30,96;35,15;43.434.960,57;3,89;2,47;0,34;8.700.796.373,28
CVCB3;2,39;;-16,44;2,42;0,34;94,00;7,14;-5,29;12,20;13,79;1,59;0,31;0,87;-4,15;-0,80;0,88;-14,72;-2,05;6,61;0,14;0,86;0,39;-4,20;;16.487.951,81;0,99;-0,15;0,21;1.256.162.721,83
