TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
ABEV3;14,16;7,43;13,92;2,43;1,59;51,77;26,45;17,73;9,33;8,62;-0,71;-0,18;2,47;41,62;-2,26;1,15;17,43;11,39;20,93;0,65;0,34;0,64;11,20;6,36;511.325.591,33;5,84;1,02;0,93;223.184.804.784,96
AGRO3;20,14;3,74;-87,21;0,95;0,54;19,34;6,62;-2,32;30,55;47,56;17,01;0,53;2,02;3,98;-0,78;1,79;-1,09;-0,62;-0,36;0,57;0,43;0,27;10,70;;3.823.371,71;21,21;-0,23;0,81;2.068.044.562,16
AGXY3;4,50;;0,06;-0,41;0,03;-1,14;39,74;70,06;0,11;1,47;1,36;;0,04;0,15;-0,06;2,19;-661,54;55,38;83,66;-0,08;1,08;0,79;24,29;123,15;87.811,67;-10,93;72,30;0,00;76.363.069,50
APTI3;197,64;;0,12;0,01;0,01;100,11;45,32;81,09;0,22;0,80;-1,42;-0,09;0,10;0,02;-0,01;10,57;10,94;5,92;3,06;0,54;0,46;0,07;-2,98;;;14.822,32;1.621,94;0,00;37.417.457,40
APTI4;2.930,92;;1,81;0,20;0,11;100,11;45,32;81,09;3,23;0,80;-1,42;-0,09;1,47;0,25;-0,20;10,57;10,94;5,92;3,06;0,54;0,46;0,07;-2,98;;0,00;14.822,32;1.621,94;-0,04;37.417.457,40
ASAI3;7,68;1,40;11,32;1,82;0,23;16,75;5,39;1,20;2,51;5,38;2,86;2,07;0,14;6,31;-0,36;1,12;16,05;2,03;18,58;0,13;0,87;1,70;21,32;-2,60;153.637.134,67;4,23;0,68;0,26;10.394.856.576,00
BAUH3;0,00;;0,00;0,00;0,00;24,64;7,97;10,25;0,00;;-3,00;-0,46;0,00;0,00;0,00;1,93;19,75;13,66;13,47;0,69;0,31;1,33;6,53;0,81;;27,11;5,35;0,00;
BAUH4;93,49;1,32;17,46;3,45;2,39;24,64;7,97;10,25;22,45;;-3,00;-0,46;1,79;8,77;-5,48;1,93;19,75;13,66;13,47;0,69;0,31;1,33;6,53;0,81;61.225,40;27,11;5,35;1,47;
BEEF3;5,76;2,86;-7,07;4,46;0,13;17,94;7,08;-1,59;1,59;4,83;3,25;9,13;0,11;0,78;-0,34;1,35;-63,09;-1,80;12,71;0,03;0,96;1,13;14,75;;78.021.974,90;1,29;-0,82;0,00;5.760.693.204,48
BOBR3;1,00;;3,57;275,96;0,28;41,02;13,83;4,73;1,22;2,63;1,23;277,35;0,17;-15,43;-0,61;0,97;7.721,50;7,91;41,92;0,00;1,00;1,67;6,30;0,76;0,00;0,00;0,28;-0,11;298.607.062,22
BOBR4;1,31;;4,68;361,51;0,37;41,02;13,83;4,73;1,60;2,63;1,23;277,35;0,22;-20,21;-0,80;0,97;7.721,50;7,91;41,92;0,00;1,00;1,67;6,30;0,76;23.185,19;0,00;0,28;-0,15;298.607.062,22
BRFS3;17,95;11,62;8,49;2,03;0,44;25,68;10,73;5,19;4,11;5,32;1,21;0,60;0,44;3,60;-0,89;1,33;23,90;5,24;13,44;0,22;0,76;1,01;12,91;62,44;377.952.894,00;8,85;2,11;2,85;28.579.854.639,05
BSEV3;9,00;;10,22;-10,84;0,78;26,77;17,92;5,55;3,17;5,46;2,30;;0,57;-1,59;-1,13;0,39;-106,05;7,59;30,90;-0,07;1,07;1,37;10,88;;;-0,83;0,88;-0,06;9.183.864.834,00
CAML3;5,20;5,30;7,80;0,53;0,16;15,28;4,68;1,97;3,27;8,63;5,36;0,86;0,15;0,75;-0,37;1,64;6,75;2,10;3,74;0,31;0,69;1,07;17,84;-0,53;4.509.152,48;9,88;0,67;-0,13;1.820.000.000,00
CRFB3;8,48;1,13;9,84;0,83;0,19;18,14;3,75;1,52;3,99;8,47;4,49;0,94;0,15;5,86;-0,36;1,07;8,48;1,89;8,28;0,22;0,76;1,25;14,00;12,41;122.254.636,00;10,16;0,86;0,00;17.884.800.909,28
CTCA3;0,00;;0,00;0,00;0,00;66,76;35,31;45,88;0,00;-2,85;-2,85;-0,41;0,00;0,00;0,00;5,53;18,55;14,43;10,00;0,78;0,22;0,31;11,54;60,86;;3,51;0,65;0,00;0,00
ESPA3;1,00;0,17;31,97;0,42;0,16;33,70;14,52;1,05;2,32;6,22;3,90;0,70;0,34;0,99;-0,31;1,52;1,31;0,50;8,57;0,38;0,62;0,48;9,72;-26,03;777.510,00;2,39;0,03;-0,21;361.423.066,00
FRTA3;1,31;;-0,49;-0,04;0,09;16,57;-16,43;-72,29;-2,17;-56,86;-54,68;;0,36;-0,03;-0,10;0,03;-7,17;-17,77;17,57;-2,48;3,48;0,25;7,62;;;-36,95;-2,65;-0,11;2.690.223,86
GMAT3;4,65;5,29;5,56;1,03;0,44;22,50;6,68;5,14;4,27;4,86;0,59;0,14;0,29;1,75;-0,92;1,93;18,46;7,94;15,37;0,43;0,53;1,54;31,90;41,00;59.144.846,71;4,53;0,84;0,13;10.455.384.728,10
GRAO3;0,00;;0,00;0,00;0,00;4,40;3,89;1,28;0,00;1,51;1,51;1,18;0,00;0,00;0,00;0,92;25,93;4,44;21,91;0,17;0,76;3,46;41,49;84,79;;1,82;0,47;0,00;0,00
