TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
ABCB4;24,80;7,85;6,26;0,91;0,10;20,09;11,47;9,40;5,13;5,13;;;0,59;-2,40;-0,10;0,24;14,47;1,59;;0,11;0,89;0,17;35,11;14,28;11.246.444,10;27,39;3,96;0,19;6.067.490.053,60
ALOS3;28,32;4,99;19,03;1,06;0,54;75,35;56,25;26,60;8,99;7,16;-1,83;-0,22;5,06;5,60;-0,63;3,06;5,59;2,85;10,65;0,51;0,46;0,11;29,82;102,53;199.335.183,10;26,62;1,49;-9,87;14.278.687.619,04
APER3;46,75;;-32,82;2,02;1,01;100,00;6,60;-8,16;40,57;43,31;2,74;0,14;2,68;115,28;-1,38;1,03;-6,15;-3,09;2,91;0,50;0,50;0,38;29,52;;51.166,00;23,16;-1,42;0,16;953.269.946,75
B3SA3;13,72;2,03;14,88;3,65;1,53;90,57;59,00;44,81;11,30;11,12;-0,18;-0,06;6,67;6,79;-2,40;2,62;24,55;10,26;9,47;0,42;0,58;0,23;12,34;12,34;537.434.211,48;3,76;0,92;1,18;72.256.380.000,00
BAZA3;75,40;10,63;3,94;0,58;0,07;20,35;18,56;17,66;3,75;3,75;;;0,70;94,60;-0,07;;14,74;1,78;;0,12;0,88;0,10;26,63;31,27;413.593,57;129,92;19,15;-0,22;4.226.796.951,00
BBAS3;21,71;5,45;7,82;0,68;0,05;32,84;1,87;5,20;21,78;21,78;;;0,41;2,19;-0,05;7,39;8,73;0,63;;0,07;0,93;0,12;17,31;-0,60;484.603.096,19;31,78;2,78;-0,16;124.416.407.008,40
BBDC3;15,76;7,79;7,73;0,95;0,08;30,41;7,36;8,56;8,99;9,74;;;0,66;0,82;-0,08;10,67;12,29;0,98;;0,08;0,92;0,11;11,40;0,54;99.373.906,29;16,58;2,04;0,17;180.890.802.453,36
BBDC4;18,40;7,41;9,03;1,11;0,09;30,41;7,36;8,56;10,50;9,74;;;0,77;0,95;-0,10;10,67;12,29;0,98;;0,08;0,92;0,11;11,40;0,54;602.179.778,95;16,58;2,04;0,20;180.890.802.453,36
BBSE3;35,24;12,09;7,83;5,48;3,45;;;;7,12;7,12;;;;14,15;-5,99;2,35;69,93;44,03;;0,63;0,37;0,00;;6,21;157.750.530,10;6,43;4,50;1,38;70.480.000.000,00
BEES3;7,99;4,57;8,13;1,13;0,07;29,87;8,53;6,68;6,36;6,36;;;0,54;0,30;-0,09;;13,96;0,87;;0,06;0,94;0,13;17,11;9,69;103.226,43;7,04;0,98;-0,82;2.775.624.151,08
BEES4;7,98;4,74;8,12;1,13;0,07;29,87;8,53;6,68;6,36;6,36;;;0,54;0,30;-0,09;;13,96;0,87;;0,06;0,94;0,13;17,11;9,69;41.334,19;7,04;0,98;-0,81;2.775.624.151,08
BFRE11;0,00;;0,00;0,00;0,00;100,00;195,96;118,16;0,00;;;;0,00;0,00;0,00;;6,82;5,98;;0,88;0,10;0,05;;6,26;;309.815,90;21.126,92;0,00;
BFRE12;0,00;;0,00;0,00;0,00;100,00;195,96;118,16;0,00;;;;0,00;0,00;0,00;;6,82;5,98;;0,88;0,10;0,05;;6,26;;309.815,90;21.126,92;0,00;
BGIP3;35,82;11,91;5,83;0,89;0,06;30,71;11,76;7,75;3,84;3,71;;;0,45;9,42;-0,06;;15,25;1,01;;0,07;0,93;0,13;13,57;9,63;25.152,90;40,31;6,15;-0,57;744.275.795,12
