TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AURA33;86,28;3,14;-73,50;10,93;2,47;53,37;46,68;-5,82;9,17;9,37;0,20;0,24;4,28;18,19;-3,83;1,62;-14,87;-3,35;35,43;0,23;0,77;0,58;29,10;;40.583.003,57;7,90;-1,17;9,91;18.739.634.211,00
AZTE3;0,40;;;;;;;;;;;;;;;;;;;;;;;;1.076.390,05;;;;0,00
BRAP3;19,31;16,42;6,72;0,83;0,82;;;;7,23;7,24;-0,51;-0,06;;17,14;-0,87;5,95;12,38;12,25;11,41;0,99;0,01;0,00;;;1.263.729,48;23,21;2,87;-0,18;8.126.419.634,30
BRAP4;21,41;16,28;7,45;0,92;0,91;;;;8,02;7,24;-0,51;-0,06;;19,01;-0,97;5,95;12,38;12,25;11,41;0,99;0,01;0,00;;;103.163.033,86;23,21;2,87;-0,20;8.126.419.634,30
BRKM3;7,70;;-1,29;-1,74;0,07;4,41;-5,41;-6,44;-1,54;-10,88;-9,35;;0,08;1,57;-0,10;1,18;-134,56;-5,44;-21,87;-0,04;1,04;0,84;8,15;;183.104,19;-4,43;-5,96;0,03;6.086.669.444,50
BRKM5;7,55;;-1,27;-1,70;0,07;4,41;-5,41;-6,44;-1,51;-10,88;-9,35;;0,08;1,54;-0,10;1,18;-134,56;-5,44;-21,87;-0,04;1,04;0,84;8,15;;32.446.619,62;-4,43;-5,96;0,03;6.086.669.444,50
BRKM6;8,10;;-1,36;-1,83;0,07;4,41;-5,41;-6,44;-1,62;-10,88;-9,35;;0,09;1,65;-0,11;1,18;-134,56;-5,44;-21,87;-0,04;1,04;0,84;8,15;;4.097,22;-4,43;-5,96;0,04;6.086.669.444,50
CBAV3;6,52;;18,13;0,94;0,31;9,04;9,32;2,64;5,13;8,96;3,83;0,70;0,48;1,83;-0,46;2,01;5,18;1,69;6,92;0,33;0,66;0,64;9,20;;31.586.528,33;6,95;0,36;-0,14;4.244.993.984,44
CMIN3;5,61;7,92;12,45;3,05;0,85;47,64;29,29;13,79;5,86;5,03;-0,83;-0,43;1,72;3,63;-1,57;2,02;24,47;6,80;19,37;0,28;0,72;0,49;7,57;-7,58;46.987.006,62;1,84;0,45;-0,34;30.772.750.864,35
CRPG3;17,04;;-20,56;0,88;0,54;2,16;-4,84;-3,16;-13,42;-12,58;2,20;-0,14;0,65;1,50;-1,47;2,30;-4,29;-2,61;-6,82;0,61;0,39;0,83;2,32;;1.872,33;19,31;-0,83;0,26;544.647.977,22
CRPG5;19,70;;-23,77;1,02;0,62;2,16;-4,84;-3,16;-15,52;-12,58;2,20;-0,14;0,75;1,73;-1,70;2,30;-4,29;-2,61;-6,82;0,61;0,39;0,83;2,32;;69.392,43;19,31;-0,83;0,30;544.647.977,22
CRPG6;19,00;;-22,92;0,98;0,60;2,16;-4,84;-3,16;-14,97;-12,58;2,20;-0,14;0,72;1,67;-1,64;2,30;-4,29;-2,61;-6,82;0,61;0,39;0,83;2,32;;9.268,00;19,31;-0,83;0,29;544.647.977,22
CSNA3;9,68;;-8,25;0,91;0,13;27,54;12,21;-3,42;2,31;8,57;6,26;2,45;0,28;1,60;-0,19;1,32;-11,00;-1,54;6,52;0,14;0,83;0,45;11,42;;73.990.162,29;10,66;-1,17;-0,65;12.836.589.406,96
DEXP3;9,00;10,47;6,30;0,95;0,61;15,81;10,66;7,08;4,18;3,83;-0,35;-0,08;0,45;1,33;-1,73;3,48;15,00;9,70;12,78;0,65;0,35;1,37;17,81;44,31;1.843.732,57;9,52;1,43;-1,40;984.661.512,75
DEXP4;9,15;7,60;6,41;0,96;0,62;15,81;10,66;7,08;4,25;3,83;-0,35;-0,08;0,45;1,35;-1,76;3,48;15,00;9,70;12,78;0,65;0,35;1,37;17,81;44,31;40.999,86;9,52;1,43;-1,42;984.661.512,75
DXCO3;5,33;1,01;39,35;0,65;0,24;23,52;9,40;1,35;5,66;12,27;6,60;0,76;0,53;3,33;-0,34;1,33;1,65;0,62;3,71;0,37;0,61;0,46;10,44;-22,81;8.843.697,10;8,22;0,14;-0,59;4.373.618.091,18
ELEK3;19,11;;24,46;2,66;1,07;11,39;2,82;2,53;21,94;38,76;5,75;0,70;0,62;3,75;-2,60;1,94;10,87;4,36;4,38;0,40;0,60;1,72;1,48;;;7,19;0,78;-0,35;905.051.916,30
ELEK4;36,99;;47,34;5,15;2,07;11,39;2,82;2,53;42,48;38,76;5,75;0,70;1,20;7,26;-5,02;1,94;10,87;4,36;4,38;0,40;0,60;1,72;1,48;;;7,19;0,78;-0,68;905.051.916,30
EUCA3;20,50;3,26;6,42;0,68;0,40;36,34;16,43;9,59;3,75;4,37;0,99;0,18;0,62;2,00;-0,63;2,16;10,54;6,22;11,09;0,59;0,41;0,65;13,37;35,10;5.196,83;30,27;3,19;-0,26;1.708.473.924,40
EUCA4;17,40;4,23;5,45;0,57;0,34;36,34;16,43;9,59;3,18;4,37;0,99;0,18;0,52;1,70;-0,54;2,16;10,54;6,22;11,09;0,59;0,41;0,65;13,37;35,10;581.718,71;30,27;3,19;-0,22;1.708.473.924,40
FBMC3;0,00;;0,00;0,00;0,00;-60,76;-92,67;-101,97;0,00;-0,74;-0,67;;0,00;0,00;0,00;0,31;-24,19;-36,57;25,82;-1,51;2,51;0,36;-18,14;;;-87,48;-21,16;0,00;904.253,84
FBMC4;1,96;;-0,09;-0,02;0,03;-60,76;-92,67;-101,97;-0,10;-0,74;-0,67;;0,09;-0,04;-0,05;0,31;-24,19;-36,57;25,82;-1,51;2,51;0,36;-18,14;;;-87,48;-21,16;0,00;904.253,84
FESA3;11,23;8,85;18,46;1,17;0,94;17,26;2,88;9,19;58,91;33,66;-10,57;-0,21;1,70;3,20;-1,56;3,76;6,34;5,08;0,46;0,80;0,20;0,55;11,82;-0,58;6.153,00;9,59;0,61;-1,14;2.977.265.250,00
FESA4;7,03;15,56;11,55;0,73;0,59;17,26;2,88;9,19;36,88;33,66;-10,57;-0,21;1,06;2,00;-0,98;3,76;6,34;5,08;0,46;0,80;0,20;0,55;11,82;-0,58;4.609.401,52;9,59;0,61;-0,72;2.977.265.250,00
FHER3;4,34;;-0,36;-0,21;0,08;2,02;-5,37;-14,19;-0,96;-0,62;0,34;;0,05;-0,66;-0,28;0,85;-56,73;-22,30;48,85;-0,39;1,39;1,57;31,29;;66.357,10;-20,97;-11,90;-0,02;233.740.612,56
GGBR3;17,60;3,52;11,73;0,65;0,40;11,68;7,92;4,31;6,38;8,67;1,59;0,16;0,51;1,67;-0,65;2,70;5,50;3,44;5,81;0,63;0,37;0,80;11,07;20,05;678.405,52;27,26;1,50;-0,31;39.128.933.958,90
GGBR4;20,65;3,00;13,77;0,76;0,47;11,68;7,92;4,31;7,48;8,67;1,59;0,16;0,59;1,96;-0,77;2,70;5,50;3,44;5,81;0,63;0,37;0,80;11,07;20,05;193.105.190,33;27,26;1,50;-0,36;39.128.933.958,90
GOAU3;11,10;3,60;10,51;0,57;0,13;11,68;7,91;1,51;2,00;3,68;1,59;0,45;0,16;0,52;-0,20;2,71;5,42;1,20;6,15;0,22;0,37;0,80;11,07;19,81;680.707,67;19,49;1,06;-0,29;11.545.581.998,86
