TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AERI3;2,05;;-0,13;-0,15;0,08;-6,13;-83,80;-147,32;-0,24;-3,70;-3,47;;0,20;-0,70;-0,12;0,69;-112,94;-62,35;-66,14;-0,55;1,55;0,42;-19,51;;78.952,87;-13,47;-15,21;0,03;127.346.401,80
ALPK3;4,17;0,18;67,58;2,53;0,35;30,29;13,90;0,70;3,39;8,05;4,66;3,48;0,47;-11,09;-0,44;0,86;3,74;0,52;13,52;0,14;0,86;0,75;23,59;;763.709,74;1,65;0,06;-0,17;914.504.906,61
ARML3;3,19;19,41;21,85;0,87;0,20;32,22;23,57;2,66;2,47;7,30;4,83;1,69;0,58;1,02;-0,31;2,16;3,96;0,90;8,42;0,23;0,76;0,34;76,15;23,61;2.631.896,04;3,69;0,15;-0,36;1.105.316.169,43
AZEV3;1,85;;-0,34;1,83;0,15;15,41;-83,75;-135,40;-0,55;-0,97;-0,55;1,81;0,46;-0,66;-0,22;0,55;-535,98;-45,37;-128,70;0,08;0,92;0,34;68,75;;682.791,78;1,01;-5,43;0,00;157.775.291,70
AZEV4;1,18;;-0,22;1,17;0,10;15,41;-83,75;-135,40;-0,35;-0,97;-0,55;1,81;0,29;-0,42;-0,14;0,55;-535,98;-45,37;-128,70;0,08;0,92;0,34;68,75;;2.024.414,43;1,01;-5,43;0,00;157.775.291,70
AZUL53;215,00;;17,64;-20,99;2,54;23,31;22,09;20,68;16,51;3,94;3,87;;3,65;-10,93;-3,31;0,50;-119,00;14,41;-16,10;-0,12;1,12;0,70;30,38;;55.411,00;-10,24;12,19;-0,28;356.272.659,87
AZUL54;72,50;;5,95;-7,08;0,86;23,31;22,09;20,68;5,57;3,94;3,87;;1,23;-3,68;-1,12;0,50;-119,00;14,41;-16,10;-0,12;1,12;0,70;30,38;;20.945.788,00;-10,24;12,19;-0,10;356.272.659,87
BBML3;3.936,42;;-634,49;-248,41;162,14;3,31;-1,54;-18,79;-7.761,41;-7.785,80;-24,38;;119,25;-145,27;-226,58;0,20;-39,15;-25,55;79,45;-0,65;1,65;1,36;6,07;;;-15,85;-6,20;24,29;160.451.699.191,56
BDLL3;4,70;;-0,39;-0,03;0,02;7,06;-66,46;-46,91;-0,28;-6,71;-6,46;;0,18;-0,04;-0,03;0,41;-7,55;-5,00;103,24;-0,66;1,66;0,11;18,73;;1.073,16;-157,91;-11,92;0,01;6.725.753,60
BDLL4;3,90;;-0,33;-0,02;0,02;7,06;-66,46;-46,91;-0,23;-6,71;-6,46;;0,15;-0,03;-0,03;0,41;-7,55;-5,00;103,24;-0,66;1,66;0,11;18,73;;782,77;-157,91;-11,92;0,01;6.725.753,60
CSUD3;14,36;16,39;5,90;1,26;0,72;41,38;16,62;15,90;5,64;6,14;0,50;0,11;0,94;12,18;-1,08;1,22;21,28;12,27;14,80;0,58;0,42;0,77;6,42;16,81;1.361.876,30;11,44;2,43;0,52;600.248.000,00
CTAX3;0,42;;-0,66;0,12;0,01;23,00;13,93;-3,70;0,18;2,76;2,59;1,83;0,02;-0,04;-0,01;0,37;-18,75;-1,50;21,25;0,08;0,92;0,41;-13,90;;3.966,09;3,38;-0,63;0,01;11.218.349,52
DTCY3;2,40;;-40,97;54,97;4,62;25,75;-6,82;-8,22;-49,38;-92,67;6,85;-7,63;3,37;21,67;-24,83;1,36;-134,16;-11,28;-111,32;0,08;0,92;1,37;-13,66;;124,67;0,04;-0,06;1,67;53.844.145,40
DTCY4;62,60;;-1.068,73;1.433,76;120,60;25,75;-6,82;-8,22;-1.288,00;-92,67;6,85;-7,63;87,86;565,13;-647,59;1,36;-134,16;-11,28;-111,32;0,08;0,92;1,37;-13,66;;;0,04;-0,06;43,56;53.844.145,40
EALT3;12,10;3,97;4,66;0,75;0,42;18,34;5,27;10,77;9,52;11,88;2,74;0,22;0,50;3,31;-0,68;1,50;16,02;9,03;-2,21;0,56;0,44;0,84;17,17;18,29;4.430,36;16,22;2,60;-0,12;261.412.500,00
EALT4;11,25;2,37;4,33;0,69;0,39;18,34;5,27;10,77;8,85;11,88;2,74;0,22;0,47;3,07;-0,63;1,50;16,02;9,03;-2,21;0,56;0,44;0,84;17,17;18,29;73.594,26;16,22;2,60;-0,11;261.412.500,00
ECOR3;7,06;4,37;6,74;1,20;0,13;37,18;35,92;6,26;1,17;6,54;5,37;5,49;0,42;2,09;-0,15;1,69;17,81;1,94;10,62;0,11;0,88;0,31;23,56;;29.997.698,74;5,88;1,05;-0,61;4.916.119.621,44
EMBJ3;83,79;0,85;36,63;3,61;0,92;17,69;8,07;3,93;17,85;18,71;0,86;0,17;1,44;5,09;-2,06;1,48;9,85;2,50;9,54;0,25;0,72;0,64;16,35;;329.717.458,48;23,21;2,29;-1,57;62.043.566.036,76
ETER3;3,74;2,28;4,87;0,28;0,17;20,27;4,88;4,21;4,19;6,45;2,26;0,15;0,20;1,40;-0,27;1,45;5,72;3,40;4,64;0,60;0,40;0,81;10,97;-21,45;197.268,74;13,45;0,77;0,07;231.044.390,50
FLEX3;0,00;;0,00;0,00;0,00;19,49;-100,31;-141,80;0,00;-0,43;-0,43;;0,00;0,00;0,00;0,11;-81,00;-290,31;83,68;-3,58;4,58;2,05;-5,08;;;-132,45;-107,28;0,00;0,00
FRAS3;21,08;2,95;23,33;2,46;0,85;32,43;12,54;4,68;8,71;10,84;2,13;0,60;1,09;3,12;-1,63;2,29;10,53;3,63;12,35;0,35;0,65;0,78;26,87;6,10;6.123.548,87;8,58;0,90;-1,03;5.909.463.718,28
FRIO3;205,00;;22,15;3,35;0,66;18,19;8,98;2,39;5,91;9,16;3,25;1,84;0,53;13,68;-2,08;1,08;15,11;2,96;17,22;0,20;0,77;1,24;10,70;;0,00;61,26;9,25;-0,06;1.308.387.285,00
GGPS3;11,99;2,71;13,65;2,19;0,58;14,66;8,23;3,74;6,21;7,85;1,64;0,58;0,51;1,48;-1,32;3,24;16,03;4,23;11,42;0,26;0,73;1,13;28,45;18,51;37.057.079,57;5,48;0,88;-16,42;9.020.682.339,13
