TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
BRST3;2,79;1,47;10,54;0,78;0,30;42,40;14,96;8,46;5,96;10,99;5,03;0,66;0,89;3,02;-0,42;1,54;7,44;2,86;5,71;0,38;0,62;0,34;41,71;35,66;687.111,65;3,56;0,26;-0,89;1.222.041.028,23
DESK3;18,09;0,81;34,13;1,48;0,54;60,98;31,58;4,95;5,34;8,40;3,06;0,85;1,69;9,81;-0,67;1,41;4,34;1,59;10,32;0,37;0,62;0,32;48,79;18,09;6.265.636,74;12,23;0,53;-1,07;2.102.369.925,87
ELMD3;31,00;;39,74;4,53;1,39;49,42;24,62;8,95;14,44;17,04;2,60;0,82;3,55;10,24;-2,04;1,76;11,40;3,51;9,18;0,31;0,63;0,39;32,00;51,88;704.100,00;6,85;0,78;8,29;4.455.057.771,00
FIQE3;5,65;11,83;10,11;1,93;0,74;51,33;28,14;17,91;6,44;7,35;0,91;0,27;1,81;4,91;-1,09;1,91;19,07;7,35;8,22;0,39;0,61;0,41;32,89;34,61;4.604.061,87;2,93;0,56;0,36;2.254.839.549,90
OIBR3;0,13;;-0,02;0,00;0,00;-830,11;-402,10;-808,94;-0,05;-11,01;-10,96;;0,19;-0,01;0,00;0,59;-11,89;-9,84;21,85;-0,83;1,83;0,01;-30,86;;74.922,65;-46,94;-5,58;0,00;43.341.689,38
OIBR4;0,40;;-0,07;-0,01;0,01;-830,11;-402,10;-808,94;-0,14;-11,01;-10,96;;0,58;-0,04;-0,01;0,59;-11,89;-9,84;21,85;-0,83;1,83;0,01;-30,86;;2.086,86;-46,94;-5,58;0,00;43.341.689,38
TELB3;10,19;;16,80;0,63;0,24;-35,04;30,26;12,09;6,71;-3,58;-9,95;-0,93;2,03;0,51;-0,52;6,38;3,72;1,41;6,96;0,38;0,62;0,12;12,97;;2.049,26;16,30;0,61;0,02;986.565.452,31
TELB4;7,33;;12,08;0,45;0,17;-35,04;30,26;12,09;4,83;-3,58;-9,95;-0,93;1,46;0,37;-0,38;6,38;3,72;1,41;6,96;0,38;0,62;0,12;12,97;;12.071,74;16,30;0,61;0,01;986.565.452,31
TIMS3;22,12;7,18;26,34;4,39;0,89;54,05;24,28;7,43;8,06;6,94;-1,12;-0,61;1,96;-70,24;-1,21;0,95;16,69;3,38;30,15;0,20;0,66;0,45;9,05;1,73;123.109.331,39;5,03;0,84;0,78;52.913.824.664,68
VIVT3;35,38;3,01;17,92;1,64;0,87;44,93;16,81;10,50;11,19;12,25;1,05;0,15;1,88;44,28;-1,12;1,10;9,17;4,88;9,00;0,53;0,47;0,46;6,68;5,96;163.074.982,96;21,54;1,97;1,55;114.155.219.486,36
VIVT4;45,34;;22,96;2,10;1,12;44,93;16,81;10,50;14,35;12,25;1,05;0,15;2,41;56,75;-1,44;1,10;9,17;4,88;9,00;0,53;0,47;0,46;6,68;5,96;;21,54;1,97;1,99;114.155.219.486,36
