TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AHEB3;23,90;;4,12;0,70;0,34;18,50;10,33;8,96;3,57;2,20;-1,44;-0,28;0,37;1,34;-0,60;2,45;16,94;8,27;15,74;0,49;0,51;0,92;21,70;;2.208,32;34,23;5,80;-0,07;208.429.195,30
AHEB5;58,00;;10,00;1,69;0,83;18,50;10,33;8,96;8,67;2,20;-1,44;-0,28;0,90;3,25;-1,45;2,45;16,94;8,27;15,74;0,49;0,51;0,92;21,70;;;34,23;5,80;-0,18;208.429.195,30
AHEB6;55,00;;9,49;1,61;0,78;18,50;10,33;8,96;8,23;2,20;-1,44;-0,28;0,85;3,08;-1,38;2,45;16,94;8,27;15,74;0,49;0,51;0,92;21,70;;;34,23;5,80;-0,17;208.429.195,30
ALLD3;4,55;25,46;1,28;0,28;0,13;11,75;9,41;6,26;0,85;1,11;0,26;0,09;0,08;0,42;-0,46;1,74;22,27;10,10;18,12;0,45;0,55;1,61;3,11;15,35;1.820.245,26;16,02;3,57;0,01;436.624.988,80
ALPA3;8,90;5,53;9,82;1,76;0,97;52,49;14,46;13,17;8,94;11,08;0,71;0,14;1,29;4,78;-1,86;1,73;17,90;9,85;13,55;0,55;0,45;0,75;6,29;34,59;102.069,48;5,06;0,91;0,05;7.058.294.827,97
ALPA4;11,79;4,59;13,00;2,33;1,28;52,49;14,46;13,17;11,84;11,08;0,71;0,14;1,71;6,33;-2,47;1,73;17,90;9,85;13,55;0,55;0,45;0,75;6,29;34,59;14.019.810,57;5,06;0,91;0,06;7.058.294.827,97
AMAR3;0,53;;-1,72;2,11;0,13;52,58;10,01;-10,75;1,85;7,33;5,48;6,27;0,18;-0,62;-0,19;0,56;-122,78;-7,76;15,07;0,06;0,94;0,72;-7,06;;125.869,13;0,25;-0,31;0,41;272.163.640,06
AMER3;4,02;;1,45;0,18;0,05;26,50;3,34;4,49;1,95;5,64;3,69;0,34;0,07;0,29;-0,10;1,56;12,51;3,43;4,51;0,27;0,73;0,76;3,98;;7.815.261,83;22,12;2,77;-0,02;804.986.017,56
ANIM3;2,16;3,76;6,50;0,37;0,08;63,13;24,93;3,27;0,85;4,90;4,05;1,73;0,21;0,68;-0,11;1,90;5,62;1,27;11,57;0,23;0,72;0,39;23,12;;28.637.012,87;5,92;0,33;0,42;872.356.618,80
AUAU3;3,23;0,94;;;;;;;;;;;;;;;;;;;;;;;6.846.459,78;;;;0,00
AVLL3;10,89;;-0,63;-0,38;0,07;34,70;21,53;-23,55;0,69;5,35;4,66;;0,15;-0,77;-0,11;0,82;-60,73;-10,31;18,26;-0,17;1,16;0,44;26,55;;4.310,13;-28,36;-17,22;0,00;85.085.769,78
AZZA3;17,81;13,90;4,42;0,46;0,24;54,89;8,66;7,17;3,66;5,83;2,17;0,27;0,32;1,01;-0,43;2,20;10,39;5,48;1,51;0,53;0,47;0,76;49,34;76,49;44.645.312,48;38,77;4,03;0,04;3.677.583.569,53
BAHI3;4,51;;-2,32;7,22;0,30;46,30;-3,46;-15,38;-10,31;-13,03;-2,72;1,91;0,36;-0,73;-0,34;0,24;-311,28;-12,87;-11,93;0,04;0,86;0,84;11,13;;16.499,00;0,62;-1,95;0,08;119.021.524,82
BHIA3;0,83;;-0,53;0,26;0,03;30,06;-1,82;-5,98;-1,74;-16,12;-14,38;2,15;0,03;-0,21;-0,05;0,76;-49,14;-5,11;-11,40;0,10;0,90;0,85;1,39;;4.853.638,17;3,20;-1,57;0,05;841.421.128,68
BMKS3;379,00;34,32;2,89;0,83;0,69;28,02;-188,07;445,49;-6,85;-0,39;6,46;-0,79;12,89;1,06;-2,46;9,61;28,82;23,68;-29,61;0,82;0,18;0,05;-7,83;76,45;9.689,39;454,44;130,97;0,01;172.350.250,00
CALI3;25,75;3,51;4,40;0,89;0,17;28,23;16,39;9,51;2,55;4,69;2,13;0,75;0,42;0,29;-0,70;4,51;20,34;3,87;8,51;0,19;0,63;0,41;64,84;83,96;3.505,77;28,79;5,86;0,03;179.961.600,00
CALI4;50,00;;8,54;1,74;0,33;28,23;16,39;9,51;4,95;4,69;2,13;0,75;0,81;0,56;-1,36;4,51;20,34;3,87;8,51;0,19;0,63;0,41;64,84;83,96;;28,79;5,86;0,06;179.961.600,00
CAMB3;9,16;13,35;5,62;1,21;0,99;49,37;17,14;17,94;5,88;5,02;-0,86;-0,18;1,01;2,65;-2,05;3,67;21,59;17,67;18,88;0,82;0,18;0,99;19,61;25,66;112.471,35;7,56;1,63;-0,71;387.239.732,80
CAMB4;6,25;;3,83;0,83;0,68;49,37;17,14;17,94;4,01;5,02;-0,86;-0,18;0,69;1,81;-1,40;3,67;21,59;17,67;18,88;0,82;0,18;0,99;19,61;25,66;;7,56;1,63;-0,48;387.239.732,80
CATA3;103,61;6,63;1,27;0,07;0,04;24,36;4,09;4,24;1,32;9,16;7,85;0,44;0,05;0,13;-0,09;1,80;5,79;2,75;1,40;0,48;0,52;0,65;16,54;;;1.405,93;81,36;-0,03;14.940.354,78
CATA4;0,00;;0,00;0,00;0,00;24,36;4,09;4,24;0,00;9,16;7,85;0,44;0,00;0,00;0,00;1,80;5,79;2,75;1,40;0,48;0,52;0,65;16,54;;;1.405,93;81,36;0,00;14.940.354,78
CEAB3;9,64;5,41;5,08;0,80;0,34;55,84;12,79;7,32;2,91;3,04;0,13;0,04;0,37;1,85;-0,64;1,67;15,79;6,78;16,90;0,43;0,57;0,93;14,34;;64.873.486,74;12,01;1,90;0,10;2.971.482.455,52
CEDO3;9,00;;-1,62;0,35;0,10;21,93;1,79;-7,04;6,36;31,48;26,34;1,44;0,11;-5,33;-0,16;0,96;-21,39;-5,97;-1,48;0,28;0,72;0,85;6,02;;0,00;25,95;-5,55;0,01;72.742.558,08
CEDO4;4,98;;-0,90;0,19;0,05;21,93;1,79;-7,04;3,52;31,48;26,34;1,44;0,06;-2,95;-0,09;0,96;-21,39;-5,97;-1,48;0,28;0,72;0,85;6,02;;8.928,68;25,95;-5,55;0,01;72.742.558,08
CGRA3;24,50;20,78;7,37;0,71;0,50;54,57;8,39;11,42;10,02;7,44;-2,51;-0,18;0,84;2,06;-0,86;2,36;9,58;6,74;6,45;0,70;0,30;0,59;10,60;3,58;22.630,77;34,71;3,33;-0,40;619.413.430,30
CGRA4;24,22;21,02;7,28;0,70;0,49;54,57;8,39;11,42;9,91;7,44;-2,51;-0,18;0,83;2,03;-0,85;2,36;9,58;6,74;6,45;0,70;0,30;0,59;10,60;3,58;96.936,17;34,71;3,33;-0,40;619.413.430,30
CNSY3;30,22;;-86,19;-23,75;5,37;18,72;7,08;-7,71;93,87;109,95;16,08;;6,65;-28,61;-6,18;0,41;-27,56;-6,23;4,37;-0,23;1,23;0,81;2,97;;;-1,27;-0,35;0,14;935.885.083,86
COGN3;2,17;5,95;6,67;0,33;0,18;66,92;18,80;8,92;3,16;6,93;3,76;0,39;0,59;2,28;-0,23;1,65;4,94;2,77;6,92;0,56;0,44;0,31;5,90;;51.916.091,96;6,59;0,33;-0,21;4.479.459.023,27
CSED3;3,82;12,71;5,12;0,84;0,29;51,06;19,82;9,49;2,45;3,26;0,81;0,28;0,49;3,16;-0,39;1,55;16,46;5,59;18,30;0,34;0,66;0,59;9,51;;924.894,96;4,53;0,75;0,12;1.392.552.548,64
CTKA3;44,00;;4,44;3,41;0,37;45,30;10,85;8,06;3,30;6,95;4,13;4,27;0,36;1,14;-1,10;1,96;76,83;8,35;13,16;0,11;0,89;1,04;14,83;-5,24;2.246,33;12,91;9,92;-0,09;233.112.848,00
CTKA4;32,00;;3,23;2,48;0,27;45,30;10,85;8,06;2,40;6,95;4,13;4,27;0,26;0,83;-0,80;1,96;76,83;8,35;13,16;0,11;0,89;1,04;14,83;-5,24;38.427,52;12,91;9,92;-0,07;233.112.848,00
CTNM3;7,13;;-0,52;-0,24;0,07;-6,90;-109,23;-89,63;-0,43;-2,70;-2,48;;0,46;-0,13;-0,09;0,27;-47,26;-13,83;-120,86;-0,29;1,29;0,15;-24,09;;;-29,11;-13,76;0,01;113.580.609,02
CTNM4;0,86;;-0,06;-0,03;0,01;-6,90;-109,23;-89,63;-0,05;-2,70;-2,48;;0,06;-0,02;-0,01;0,27;-47,26;-13,83;-120,86;-0,29;1,29;0,15;-24,09;;;-29,11;-13,76;0,00;113.580.609,02
CTSA3;2,00;;-0,09;0,14;0,02;-143,89;-304,16;-453,89;-0,13;-2,31;-2,18;2,38;0,39;-0,05;-0,02;0,28;-162,82;-23,97;-34,34;0,15;0,85;0,05;-40,11;;0,00;14,25;-23,20;0,00;13.912.390,00
CTSA4;1,29;;-0,06;0,09;0,01;-143,89;-304,16;-453,89;-0,08;-2,31;-2,18;2,38;0,25;-0,03;-0,02;0,28;-162,82;-23,97;-34,34;0,15;0,85;0,05;-40,11;;0,00;14,25;-23,20;0,00;13.912.390,00
CTSA8;0,00;;0,00;0,00;0,00;-143,89;-304,16;-453,89;0,00;-2,31;-2,18;2,38;0,00;0,00;0,00;0,28;-162,82;-23,97;-34,34;0,15;0,85;0,05;-40,11;;;14,25;-23,20;0,00;13.912.390,00
CURY3;30,20;13,95;8,74;6,02;1,50;39,71;24,02;18,37;6,68;6,39;-0,29;-0,26;1,61;5,20;-3,72;1,94;68,95;17,19;38,33;0,25;0,69;0,94;36,37;45,95;124.892.152,91;5,01;3,46;0,18;9.303.037.338,80
CVCB3;1,27;;-6,31;1,66;0,18;97,66;17,49;-7,10;2,56;3,43;0,89;0,58;0,45;-0,87;-0,40;0,73;-26,34;-2,84;20,54;0,11;0,89;0,40;18,96;;14.231.230,70;0,76;-0,20;-0,16;662.244.782,22
CYRE3;21,28;12,83;4,88;0,91;0,36;32,66;24,12;20,81;4,21;6,36;2,15;0,46;1,02;0,87;-0,83;3,78;18,60;7,40;10,64;0,40;0,55;0,36;19,77;2,34;138.984.630,30;23,42;4,36;0,31;9.649.340.456,00
CYRE4;20,10;;4,61;0,86;0,34;32,66;24,12;20,81;3,98;6,36;2,15;0,46;0,96;0,82;-0,79;3,78;18,60;7,40;10,64;0,40;0,55;0,36;19,77;2,34;8.879.559,00;23,42;4,36;0,30;9.649.340.456,00
DIRR3;11,70;13,25;7,27;2,86;0,44;40,11;23,83;18,16;5,54;6,22;0,68;0,35;1,32;1,19;-0,84;4,26;39,35;6,02;17,45;0,15;0,82;0,33;23,68;49,27;101.606.747,65;4,09;1,61;0,26;6.089.850.000,00
DOHL3;6,48;0,51;1.707,95;0,71;0,48;19,49;-0,99;0,05;-81,41;-79,40;-7,56;0,07;0,81;1,01;-1,14;5,05;0,04;0,03;-1,01;0,67;0,33;0,59;3,61;-67,89;651,00;9,12;0,00;-15,98;432.578.742,00
DOHL4;3,76;0,97;991,03;0,41;0,28;19,49;-0,99;0,05;-47,24;-79,40;-7,56;0,07;0,47;0,59;-0,66;5,05;0,04;0,03;-1,01;0,67;0,33;0,59;3,61;-67,89;8.441,95;9,12;0,00;-9,27;432.578.742,00
ECPR3;90,25;;-9,87;1,21;0,62;;;;-17,12;-17,09;0,08;-0,01;;174,62;-0,62;2,97;-12,28;-6,29;-7,36;0,51;0,49;0,00;;;;74,46;-9,14;0,14;171.908.947,31
ECPR4;90,74;;-9,92;1,22;0,62;;;;-17,21;-17,09;0,08;-0,01;;175,57;-0,63;2,97;-12,28;-6,29;-7,36;0,51;0,49;0,00;;;;74,46;-9,14;0,14;171.908.947,31
ESTR3;3,01;;0,17;-0,11;0,07;37,72;164,75;94,25;0,10;0,59;0,51;;0,16;-0,07;-0,11;0,25;-62,71;40,26;-247,54;-0,64;1,64;0,43;1,71;;0,00;-28,04;17,58;0,00;19.804.575,00
ESTR4;2,17;;0,12;-0,08;0,05;37,72;164,75;94,25;0,07;0,59;0,51;;0,12;-0,05;-0,08;0,25;-62,71;40,26;-247,54;-0,64;1,64;0,43;1,71;;935,00;-28,04;17,58;0,00;19.804.575,00
EVEN3;5,11;17,93;4,73;0,53;0,19;27,52;11,99;11,31;4,45;6,90;2,49;0,30;0,53;0,34;-0,73;4,53;11,22;4,09;4,64;0,36;0,56;0,36;2,82;71,25;4.755.216,35;9,64;1,08;0,01;1.012.000.000,00
EZTC3;11,70;12,10;5,79;0,63;0,44;41,51;30,21;37,12;7,11;7,10;-0,02;0,00;2,15;1,10;-0,81;8,52;10,89;7,64;5,59;0,70;0,29;0,21;9,86;6,71;19.446.555,13;18,57;2,02;0,22;3.245.100.615,90
FIEI3;9,39;;-2,75;0,32;0,21;313,79;19.058,62;28.510,34;-4,12;-7,50;-3,38;0,26;;-2,37;-0,22;0,40;-11,62;-7,50;-5,93;0,65;0,35;0,00;;;5.226,47;29,37;-3,41;0,00;22.744.016,67
GFSA3;0,38;;-0,10;0,04;0,01;-37,28;-81,85;-124,05;-0,15;-3,73;-3,58;0,94;0,12;0,10;-0,03;1,31;-39,87;-12,93;-13,56;0,32;0,68;0,10;-6,86;;2.969.109,52;9,74;-3,88;0,00;59.800.199,86
GRND3;3,79;34,72;5,40;1,08;0,83;44,46;12,47;24,80;10,73;8,81;-2,04;-0,20;1,34;2,44;-1,90;2,55;19,96;15,43;8,21;0,77;0,23;0,62;6,38;9,35;8.735.813,87;3,52;0,70;-0,51;3.455.272.800,00
HBOR3;2,00;1,01;47,64;0,18;0,04;30,22;10,57;0,48;2,15;15,58;13,42;1,15;0,23;0,15;-0,07;2,34;0,39;0,08;2,12;0,22;0,58;0,18;2,99;-26,68;3.399.390,65;10,82;0,04;-0,53;267.702.144,00
HETA3;96,00;;63,42;-0,14;4,71;100,00;87,46;17,01;12,33;86,30;81,76;;10,79;-10,69;-5,25;0,19;-0,22;7,43;-14,56;-33,69;34,69;0,44;24,64;;;-686,23;1,51;-5,09;18.061.252,80
HETA4;4,80;;3,17;-0,01;0,24;100,00;87,46;17,01;0,62;86,30;81,76;;0,54;-0,53;-0,26;0,19;-0,22;7,43;-14,56;-33,69;34,69;0,44;24,64;;289,56;-686,23;1,51;-0,25;18.061.252,80
HGTX3;37,50;;101,99;3,57;2,48;40,58;-0,59;4,10;-707,65;-713,65;-5,99;0,03;4,18;7,50;-5,59;2,47;3,51;2,43;-13,60;0,69;0,31;0,59;-7,54;-26,63;;10,49;0,37;-1,23;6.095.022.637,50
HOOT3;0,00;;0,00;0,00;0,00;64,96;40,17;17,19;0,00;0,01;-0,66;;0,00;0,00;0,00;0,89;-266,14;6,32;-93,20;-0,02;1,08;0,37;39,80;;;-0,71;1,89;0,00;54.472.008,60
HOOT4;6,90;;3,64;-9,69;0,23;64,96;40,17;17,19;1,56;0,01;-0,66;;0,63;-7,33;-0,30;0,89;-266,14;6,32;-93,20;-0,02;1,08;0,37;39,80;;26.349,41;-0,71;1,89;-0,06;54.472.008,60
INNT3;0,00;;0,00;0,00;0,00;32,43;12,21;13,07;0,00;5,27;5,27;1,47;0,00;0,00;0,00;1,78;29,88;4,74;-0,92;0,16;0,84;0,36;20,14;;;3,00;0,90;0,00;0,00
JFEN3;0,56;;-0,04;-0,03;0,01;-39,87;-143,86;-152,80;-0,04;-2,00;-1,96;;0,06;0,21;-0,07;1,06;-64,98;-26,00;-356,46;-0,40;1,39;0,17;43,27;;15.659,87;-22,41;-14,56;0,00;7.169.537,20
JHSF3;11,41;5,59;4,07;1,10;0,43;63,21;65,84;53,01;3,28;3,77;0,49;0,16;2,16;2,27;-0,71;1,92;27,12;10,55;17,45;0,39;0,59;0,20;24,34;24,37;34.915.293,17;10,33;2,80;0,05;7.815.332.314,44
LAME3;6,60;;21,15;1,91;0,28;32,90;4,35;2,27;11,03;16,86;5,87;1,01;0,48;1,20;-0,66;1,72;9,02;1,34;3,37;0,15;0,63;0,59;3,50;18,61;;3,46;0,31;-46,97;12.391.135.396,59
LAME4;6,57;;21,06;1,90;0,28;32,90;4,35;2,27;10,98;16,86;5,87;1,01;0,48;1,19;-0,65;1,72;9,02;1,34;3,37;0,15;0,63;0,59;3,50;18,61;;3,46;0,31;-46,75;12.391.135.396,59
LAVV3;10,33;24,91;5,08;1,48;0,44;33,83;25,07;22,06;4,48;5,53;1,06;0,35;1,12;0,66;-3,33;4,22;29,03;8,56;13,59;0,29;0,65;0,39;37,41;33,53;5.588.309,30;7,00;2,03;0,49;2.018.836.856,16
LCAM3;24,15;;8,39;1,13;0,79;21,34;14,36;18,40;10,75;8,49;-2,27;-0,24;1,54;2,97;-1,15;6,45;13,49;9,38;-11,87;0,70;0,18;0,51;12,12;34,05;;21,32;2,88;0,11;12.285.815.275,65
LEVE3;31,62;9,01;6,45;4,00;1,12;27,06;17,26;12,31;4,60;5,67;1,07;0,93;0,79;6,72;-2,90;1,37;62,01;17,34;21,45;0,28;0,72;1,41;17,61;39,77;5.896.895,30;7,90;4,90;0,20;4.285.743.180,00
LJQQ3;1,14;;-1,23;0,69;0,06;31,77;-0,14;-6,84;-58,37;-7,73;50,64;-0,60;0,08;0,17;-0,24;1,86;-56,07;-4,93;-1,68;0,09;0,91;0,72;11,46;;2.605.483,78;1,66;-0,93;-0,01;235.885.679,82
