TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
ABEV3;16,13;8,11;16,32;2,82;1,78;51,48;26,87;17,66;10,73;10,03;-0,70;-0,18;2,88;217,49;-2,54;1,03;17,28;10,91;21,10;0,63;0,36;0,62;8,61;6,48;373.061.651,61;5,72;0,99;2,05;254.267.914.659,57
AGRO3;19,30;3,90;-134,03;0,97;0,52;12,72;-1,76;-1,54;-117,48;-197,50;-80,02;0,66;2,07;5,13;-0,76;1,47;-0,72;-0,39;-3,64;0,53;0,47;0,25;10,70;;1.983.464,61;19,88;-0,14;1,28;1.981.790.469,20
AGXY3;1,73;;0,03;-0,18;0,01;-1,14;39,74;70,06;0,05;1,41;1,36;;0,02;0,07;-0,03;2,19;-661,54;55,38;83,66;-0,08;1,08;0,79;24,29;123,15;37.097,30;-9,78;64,68;0,00;32.817.357,83
APTI3;197,64;;0,36;0,02;0,01;100,00;37,36;22,45;0,22;0,42;-1,77;-0,12;0,08;0,02;-0,01;3,99;4,24;2,03;1,80;0,48;0,52;0,09;20,51;-30,97;;13.019,79;551,44;-0,01;37.417.457,40
APTI4;2.930,92;;5,32;0,23;0,11;100,00;37,36;22,45;3,19;0,42;-1,77;-0,12;1,19;0,31;-0,20;3,99;4,24;2,03;1,80;0,48;0,52;0,09;20,51;-30,97;;13.019,79;551,44;-0,09;37.417.457,40
ASAI3;8,40;1,24;16,24;1,93;0,24;17,44;5,16;0,90;2,84;5,85;3,00;2,04;0,15;7,02;-0,38;1,10;11,89;1,48;17,18;0,12;0,88;1,64;16,49;-12,92;76.381.010,30;4,35;0,52;-1,06;11.369.662.600,80
BAUH3;0,00;;0,00;0,00;0,00;24,68;8,15;7,93;0,00;;-3,27;-0,52;0,00;0,00;0,00;1,89;15,58;10,51;11,65;0,67;0,33;1,33;8,24;-0,29;;28,37;4,42;0,00;
BAUH4;93,90;;21,24;3,31;2,23;24,68;8,15;7,93;20,67;;-3,27;-0,52;1,68;8,32;-5,19;1,89;15,58;10,51;11,65;0,67;0,33;1,33;8,24;-0,29;0,00;28,37;4,42;-1,56;
BEEF3;3,61;5,42;5,07;2,87;0,09;17,06;6,99;1,25;0,91;4,34;3,43;10,86;0,06;0,62;-0,21;1,32;56,47;1,71;14,22;0,03;0,96;1,37;23,09;0,42;32.511.394,00;1,26;0,71;-0,03;3.611.952.728,42
BOBR3;1,00;;3,83;-0,17;0,29;40,32;11,06;3,93;1,36;2,19;0,68;;0,15;-1,73;-0,54;0,74;-4,42;7,48;-11,64;-1,69;2,69;1,90;8,44;11,22;;-5,91;0,26;-0,04;287.546.560,64
BOBR4;1,22;;4,67;-0,21;0,35;40,32;11,06;3,93;1,66;2,19;0,68;;0,18;-2,11;-0,66;0,74;-4,42;7,48;-11,64;-1,69;2,69;1,90;8,44;11,22;3.366,39;-5,91;0,26;-0,04;287.546.560,64
BRFS3;17,95;11,62;10,21;2,01;0,43;24,77;9,54;4,32;4,62;6,96;2,35;1,02;0,44;3,24;-0,84;1,38;19,69;4,23;10,48;0,21;0,77;0,98;10,51;15,13;377.952.894,00;8,93;1,76;-0,38;28.579.854.639,05
BSEV3;9,00;;10,22;-10,84;0,78;26,77;17,92;5,55;3,17;5,46;2,30;;0,57;-1,59;-1,13;0,39;-106,05;7,59;30,90;-0,07;1,07;1,37;10,88;;;-0,83;0,88;-0,06;9.183.864.834,00
CAML3;4,55;6,44;8,18;0,53;0,15;23,09;5,61;1,69;2,46;7,48;5,02;1,08;0,14;0,59;-0,30;1,95;6,46;1,81;4,80;0,28;0,72;1,07;8,28;-15,89;6.222.313,09;8,62;0,56;-0,28;1.592.500.000,00
CRFB3;8,48;0,01;9,84;0,83;0,19;18,14;3,75;1,52;3,99;8,47;4,49;0,94;0,15;5,86;-0,36;1,07;8,48;1,89;8,28;0,22;0,76;1,25;14,00;12,41;122.254.636,00;10,16;0,86;0,00;17.884.800.909,28
CTCA3;0,00;;0,00;0,00;0,00;66,80;36,23;46,00;0,00;-2,73;-2,73;-0,36;0,00;0,00;0,00;4,33;16,82;12,59;6,69;0,75;0,25;0,27;6,85;14,84;;4,01;0,67;0,00;0,00
ESPA3;8,10;4,72;18,38;0,34;0,13;34,30;15,80;1,45;1,68;5,28;3,60;0,72;0,27;0,66;-0,25;1,73;1,83;0,71;9,29;0,39;0,61;0,49;15,93;-23,82;447.233,70;24,05;0,44;0,22;292.752.678,60
FRTA3;1,31;;-0,49;-0,04;0,09;16,57;-16,43;-72,29;-2,17;-56,86;-54,68;;0,36;-0,03;-0,10;0,03;-7,17;-17,77;17,57;-2,48;3,48;0,25;7,62;;;-36,95;-2,65;-0,11;2.690.223,86
GMAT3;3,91;3,04;5,20;0,82;0,36;22,39;5,32;4,38;4,29;4,64;0,35;0,07;0,23;1,67;-0,76;1,71;15,83;7,00;10,52;0,44;0,52;1,60;25,39;18,99;19.317.081,87;4,75;0,75;0,22;9.007.437.940,88
GRAO3;0,00;;0,00;0,00;0,00;4,40;3,89;1,28;0,00;1,51;1,51;1,18;0,00;0,00;0,00;0,92;25,93;4,44;21,91;0,17;0,76;3,46;41,49;84,79;;1,82;0,47;0,00;0,00
JALL3;2,06;;65,85;0,31;0,08;1,93;-5,99;0,44;-4,86;-28,92;-24,06;1,54;0,29;0,30;-0,13;4,85;0,47;0,13;-3,46;0,27;0,73;0,29;14,64;-43,87;2.733.083,74;6,62;0,03;-0,56;625.296.239,84
JBSS3;71,85;;6,80;1,56;0,27;12,49;4,32;1,91;3,01;7,52;4,51;2,33;0,13;1,72;-0,44;1,65;22,87;3,91;13,18;0,17;0,81;2,05;12,21;14,81;80.878.878,00;46,20;10,57;-0,43;62.380.473.709,95
JOPA3;18,50;1,73;15,07;0,32;0,09;25,28;5,08;0,74;2,21;7,04;4,83;0,70;0,11;0,20;-0,33;2,47;2,12;0,57;3,03;0,27;0,66;0,77;2,87;-16,40;11.819,79;57,96;1,23;-0,43;195.707.994,50
JOPA4;18,00;1,95;14,66;0,31;0,08;25,28;5,08;0,74;2,15;7,04;4,83;0,70;0,11;0,19;-0,32;2,47;2,12;0,57;3,03;0,27;0,66;0,77;2,87;-16,40;529,47;57,96;1,23;-0,42;195.707.994,50
LAND3;7,74;;226,24;1,12;0,77;95,65;-1,71;3,39;-449,21;-491,38;-42,17;0,10;7,67;13,30;-0,89;1,76;0,49;0,34;-7,04;0,69;0,31;0,10;13,15;-38,27;988.713,00;6,93;0,03;-3,28;744.796.685,88
MBRF3;16,03;17,53;57,99;1,94;0,16;12,38;3,47;0,23;3,89;12,61;8,73;4,35;0,13;6,08;-0,26;1,08;3,34;0,28;4,71;0,08;0,90;1,19;19,43;-35,05;106.180.478,09;8,28;0,28;-0,67;22.128.445.874,29
MDIA3;17,64;6,16;8,58;0,72;0,47;32,46;6,93;6,67;8,26;7,54;-0,72;-0,06;0,57;1,66;-0,87;2,65;8,33;5,50;6,31;0,66;0,34;0,83;7,55;-1,82;8.355.254,87;24,66;2,06;0,35;5.979.960.000,00
