TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
ABCB4;24,09;11,21;6,24;0,88;0,09;15,81;14,70;12,20;5,18;5,17;;;0,76;-2,04;-0,10;0,26;14,08;1,50;;0,11;0,89;0,12;28,96;24,19;14.470.568,65;27,43;3,86;1,85;6.267.455.998,05
ALOS3;27,47;10,70;16,73;1,07;0,56;73,41;52,49;28,81;9,18;7,75;-1,43;-0,17;4,82;7,32;-0,63;2,81;6,39;3,33;11,37;0,52;0,48;0,12;29,09;37,40;111.886.872,22;25,71;1,64;-4,20;13.850.125.314,09
APER3;46,75;;-32,82;2,02;1,01;100,00;6,60;-8,16;40,57;43,31;2,74;0,14;2,68;115,28;-1,38;1,03;-6,15;-3,09;2,91;0,50;0,50;0,38;29,52;;51.166,00;23,16;-1,42;0,16;953.269.946,75
B3SA3;15,90;3,83;16,19;4,40;1,65;90,46;60,27;42,49;11,41;11,32;-0,09;-0,03;6,88;8,56;-2,62;2,09;27,15;10,20;6,45;0,38;0,62;0,24;3,58;3,60;559.256.509,74;3,62;0,98;3,43;80.239.350.000,00
BAZA3;61,00;19,58;4,04;0,48;0,05;1,10;6,05;12,73;8,52;8,52;;;0,51;59,06;-0,05;;11,77;1,31;;0,11;0,89;0,10;46,47;26,06;391.467,74;128,13;15,08;-0,13;3.419.557.215,00
BBAS3;21,09;2,61;7,69;0,63;0,05;30,81;1,95;4,82;19,02;19,00;;;0,37;2,19;-0,05;9,47;8,20;0,60;;0,07;0,92;0,12;26,49;3,40;383.684.628,87;33,45;2,74;-0,21;120.748.673.222,80
BBDC3;16,52;7,00;7,45;0,97;0,07;27,28;7,91;8,15;7,68;8,25;;;0,61;0,68;-0,08;10,43;13,06;0,96;;0,07;0,93;0,12;22,38;7,93;138.358.981,09;16,97;2,22;0,32;188.041.747.582,65
BBDC4;18,97;6,63;8,56;1,12;0,08;27,28;7,91;8,15;8,82;8,25;;;0,70;0,78;-0,09;10,43;13,06;0,96;;0,07;0,93;0,12;22,38;7,93;604.645.901,57;16,97;2,22;0,36;188.041.747.582,65
BBSE3;42,58;10,68;8,99;6,54;4,21;;;;8,26;8,26;;;;17,99;-6,97;2,45;72,72;46,86;;0,64;0,36;0,00;;19,01;225.682.615,48;6,51;4,74;1,42;82.664.812.000,00
BEES3;8,78;7,68;9,36;1,24;0,08;28,49;5,93;5,76;9,09;9,16;;;0,54;0,61;-0,09;;13,26;0,82;;0,06;0,94;0,14;28,74;8,03;83.772,52;7,08;0,94;-0,30;3.073.501.812,92
