TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AZTE3;1,30;;;;;;;;;;;;;;;;;;;;;;;;563.567,83;;;;0,00
BRAP3;18,47;11,60;9,28;0,93;0,92;;;;10,24;11,06;-0,36;-0,03;;33,98;-0,95;5,99;10,00;9,94;9,06;0,99;0,01;0,00;;-11,82;623.246,65;19,90;1,99;-0,28;8.092.640.946,40
BRAP4;21,64;10,89;10,88;1,09;1,08;;;;12,00;11,06;-0,36;-0,03;;39,81;-1,12;5,99;10,00;9,94;9,06;0,99;0,01;0,00;;-11,82;38.015.145,70;19,90;1,99;-0,33;8.092.640.946,40
BRKM3;5,12;;-0,45;-0,26;0,05;2,02;-3,44;-13,68;-1,78;-20,67;-18,74;;0,06;-0,38;-0,08;0,71;-58,03;-12,04;-56,79;-0,21;1,21;0,88;3,85;;304.245,78;-19,74;-11,46;0,29;4.409.966.332,98
BRKM5;6,07;;-0,53;-0,31;0,06;2,02;-3,44;-13,68;-2,11;-20,67;-18,74;;0,07;-0,45;-0,10;0,71;-58,03;-12,04;-56,79;-0,21;1,21;0,88;3,85;;52.553.389,13;-19,74;-11,46;0,34;4.409.966.332,98
BRKM6;6,30;;-0,55;-0,32;0,07;2,02;-3,44;-13,68;-2,19;-20,67;-18,74;;0,08;-0,47;-0,10;0,71;-58,03;-12,04;-56,79;-0,21;1,21;0,88;3,85;;687,69;-19,74;-11,46;0,35;4.409.966.332,98
CBAV3;10,86;0,40;57,72;1,53;0,50;8,35;4,96;1,40;16,29;23,50;7,22;0,68;0,81;2,82;-0,76;2,11;2,65;0,87;2,32;0,33;0,66;0,62;10,19;;21.002.503,09;7,11;0,19;-1,79;7.070.649.489,42
CMIN3;5,84;6,61;14,23;4,48;0,93;45,85;27,00;12,51;6,59;6,65;0,06;0,04;1,78;9,19;-1,48;1,37;31,49;6,52;21,50;0,21;0,79;0,52;5,50;-11,17;50.832.897,39;1,30;0,41;-0,37;31.723.140.101,92
CRPG3;18,00;;-6,49;0,95;0,55;-4,05;-11,55;-9,62;-5,41;-3,89;0,37;-0,06;0,62;1,81;-1,56;1,90;-14,62;-8,52;-17,77;0,58;0,42;0,89;1,63;;0,00;18,96;-2,77;0,21;411.627.197,37
CRPG5;12,13;;-4,38;0,64;0,37;-4,05;-11,55;-9,62;-3,64;-3,89;0,37;-0,06;0,42;1,22;-1,05;1,90;-14,62;-8,52;-17,77;0,58;0,42;0,89;1,63;;44.525,00;18,96;-2,77;0,14;411.627.197,37
CRPG6;13,10;;-4,73;0,69;0,40;-4,05;-11,55;-9,62;-3,94;-3,89;0,37;-0,06;0,45;1,32;-1,13;1,90;-14,62;-8,52;-17,77;0,58;0,42;0,89;1,63;;1.258,65;18,96;-2,77;0,15;411.627.197,37
CSNA3;5,38;;-3,57;0,56;0,07;27,83;9,49;-4,49;1,69;10,46;8,76;2,88;0,16;2,45;-0,10;1,11;-15,55;-2,02;3,56;0,13;0,84;0,45;8,30;;61.554.182,13;9,69;-1,51;0,15;7.160.907.313,80
DEXP3;7,18;7,78;6,20;0,84;0,55;16,52;10,04;7,41;4,58;4,08;-0,50;-0,09;0,46;1,17;-1,50;3,80;13,54;8,81;9,93;0,65;0,35;1,19;16,52;3,62;460.719,87;8,55;1,16;-0,69;883.021.605,86
DEXP4;7,19;7,97;6,21;0,84;0,55;16,52;10,04;7,41;4,58;4,08;-0,50;-0,09;0,46;1,17;-1,50;3,80;13,54;8,81;9,93;0,65;0,35;1,19;16,52;3,62;40.427,87;8,55;1,16;-0,69;883.021.605,86
DXCO3;5,02;;537,33;0,67;0,23;25,32;9,67;0,10;5,70;11,68;5,97;0,70;0,55;1,34;-0,36;2,05;0,12;0,04;3,51;0,35;0,63;0,43;7,01;-54,77;8.165.230,26;7,52;0,01;-5,56;4.613.551.663,92
ELEK3;19,11;;24,46;2,66;1,07;11,39;2,82;2,53;21,94;38,76;5,75;0,70;0,62;3,75;-2,60;1,94;10,87;4,36;4,38;0,40;0,60;1,72;1,48;;;7,19;0,78;-0,35;905.051.916,30
ELEK4;36,99;;47,34;5,15;2,07;11,39;2,82;2,53;42,48;38,76;5,75;0,70;1,20;7,26;-5,02;1,94;10,87;4,36;4,38;0,40;0,60;1,72;1,48;;;7,19;0,78;-0,68;905.051.916,30
EUCA3;22,16;4,61;5,01;0,70;0,40;36,99;19,52;13,03;3,35;4,15;0,86;0,18;0,65;1,74;-0,66;2,38;13,91;7,99;12,97;0,57;0,43;0,61;11,55;23,22;5.912,14;31,79;4,42;0,07;2.019.921.088,28
EUCA4;21,63;5,20;4,89;0,68;0,39;36,99;19,52;13,03;3,27;4,15;0,86;0,18;0,64;1,70;-0,65;2,38;13,91;7,99;12,97;0,57;0,43;0,61;11,55;23,22;1.710.842,52;31,79;4,42;0,07;2.019.921.088,28
FBMC3;0,00;;0,00;0,00;0,00;-60,76;-92,67;-101,97;0,00;-0,74;-0,67;;0,00;0,00;0,00;0,31;-24,19;-36,57;25,82;-1,51;2,51;0,36;-18,14;;;-87,48;-21,16;0,00;904.253,84
FBMC4;1,96;;-0,09;-0,02;0,03;-60,76;-92,67;-101,97;-0,10;-0,74;-0,67;;0,09;-0,04;-0,05;0,31;-24,19;-36,57;25,82;-1,51;2,51;0,36;-18,14;;;-87,48;-21,16;0,00;904.253,84
