TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AMOB3;12,72;;;;;3,60;-46,82;-57,58;;;-0,01;;;;;0,19;-2.595,29;-6.030,26;2.660,36;-2,32;3,32;104,73;;;220.573,35;;;;0,00
BRAV3;20,37;0,61;40,72;0,83;0,22;27,81;21,05;1,96;3,78;8,03;4,25;0,93;0,80;10,56;-0,28;1,12;2,04;0,55;3,26;0,27;0,73;0,28;124,40;;95.234.913,30;24,56;0,50;0,82;9.463.031.549,16
CSAN3;3,92;;-1,63;4,45;0,12;33,63;2,47;-23,92;15,84;64,13;48,30;13,57;0,39;1,05;-0,16;1,87;-272,42;-7,49;-2,25;0,03;0,77;0,31;24,51;;82.416.436,65;0,88;-2,40;0,12;15.548.958.053,44
DMMO3;1,76;;3,09;0,41;0,02;45,67;4,75;3,87;2,52;2,52;;;0,12;4,72;-0,02;;13,29;0,62;;0,05;0,95;0,16;51,46;;;4,29;0,57;0,01;949.254.731,04
ENAT3;21,80;;10,29;1,29;0,46;24,54;56,10;25,34;4,65;5,12;0,47;0,13;2,61;1,31;-0,85;3,90;12,53;4,43;8,60;0,35;0,65;0,17;11,74;5,75;201.679.399,00;16,91;2,12;0,01;5.785.005.265,20
LUPA3;0,66;;-0,29;2,32;0,07;15,69;-255,48;-281,99;-0,32;-2,24;-1,92;13,83;0,82;5,17;-0,13;1,03;-795,76;-23,60;-50,75;0,03;0,97;0,08;-0,95;;35.234,78;0,28;-2,26;0,00;30.756.766,95
OGXP3;1,63;;-2,15;-0,98;0,92;;;;-9,26;-9,26;0,00;;;-0,98;;0,51;-45,53;-43,02;10,57;-0,94;1,94;0,00;;;;-1,67;-0,76;0,02;52.747.073,84
OSXB3;0,88;;0,00;0,00;0,00;99,98;-284,49;-1.329,34;-0,01;-33,54;-33,53;;0,03;0,00;0,00;0,05;-10,84;-158,46;16,23;-14,62;15,64;0,12;52,47;;1.729,41;-3.234,82;-350,68;0,00;2.770.273,44
PETR3;47,90;4,84;5,74;1,39;0,50;47,36;28,88;21,60;4,29;6,35;2,25;0,73;1,24;-12,69;-0,56;0,74;24,17;8,63;8,31;0,36;0,64;0,40;12,83;72,19;398.034.165,39;34,54;8,35;0,05;589.406.053.236,47
PETR4;42,58;6,20;5,10;1,23;0,44;47,36;28,88;21,60;3,81;6,35;2,25;0,73;1,10;-11,28;-0,50;0,74;24,17;8,63;8,31;0,36;0,64;0,40;12,83;72,19;1.184.142.058,96;34,54;8,35;0,04;589.406.053.236,47
PRIO3;59,77;;20,14;1,96;0,82;25,55;18,08;14,65;16,32;23,90;7,54;0,91;2,95;10,22;-0,99;1,92;9,72;4,08;2,82;0,42;0,58;0,28;52,26;41,73;420.293.389,35;30,52;2,97;-0,26;52.271.191.206,33
RAIZ4;0,27;;-0,10;-0,34;0,03;4,79;-3,80;-11,98;-0,33;-7,60;-7,27;;0,01;-0,05;-0,04;0,43;-326,87;-25,66;-25,72;-0,08;1,08;2,14;20,36;;4.901.159,30;-0,80;-2,61;0,00;2.795.177.560,68
RECV3;10,80;6,32;5,93;0,76;0,35;30,80;20,52;17,93;5,18;7,66;2,48;0,36;1,06;2,61;-0,46;2,18;12,74;5,90;6,27;0,46;0,54;0,33;32,00;;21.991.043,70;14,30;1,82;-1,61;3.169.606.960,80
RPMG3;1,19;;-0,05;-0,01;0,01;-14,43;-20,96;-19,19;-0,04;-0,02;0,03;;0,01;-0,03;-0,17;0,76;-22,32;-16,12;24,36;-0,72;1,72;0,84;42,58;;4.102,30;-109,81;-24,51;0,00;80.553.038,51
UGPA3;32,83;3,96;12,23;2,22;0,73;7,13;4,11;2,06;6,11;8,44;2,33;0,85;0,25;4,41;-1,25;1,67;18,19;5,97;11,71;0,33;0,63;2,90;11,87;27,38;284.882.315,30;14,76;2,69;0,38;36.677.985.325,51
VBBR3;34,98;4,46;13,95;1,93;0,65;5,18;3,09;1,56;7,07;10,13;3,06;0,84;0,22;3,73;-1,09;1,77;13,83;4,68;10,21;0,34;0,66;2,99;18,33;-5,10;263.557.668,13;18,13;2,51;-0,27;41.925.752.314,38
