TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;3,45;;-6,53;0,49;0,17;26,83;9,47;-6,49;4,48;7,58;3,10;0,34;0,42;120,20;-0,24;1,01;-7,54;-2,66;5,63;0,35;0,64;0,41;2,55;;152.709,78;7,00;-0,53;0,13;525.640.212,90
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;;-1,21;-0,38;-0,58;25.439.770,20
BALM3;26,00;15,38;13,23;1,60;0,90;63,15;16,37;9,07;7,33;4,55;-1,38;-0,30;1,20;2,12;-3,40;2,37;12,07;6,83;13,94;0,57;0,46;0,75;5,57;2,49;1.300,00;16,29;1,97;-0,35;205.996.000,00
BALM4;16,04;24,93;8,16;0,98;0,56;63,15;16,37;9,07;4,52;4,55;-1,38;-0,30;0,74;1,31;-2,10;2,37;12,07;6,83;13,94;0,57;0,46;0,75;5,57;2,49;13.432,26;16,29;1,97;-0,22;205.996.000,00
BIOM3;6,19;;35,21;2,62;1,48;36,48;7,59;7,47;34,65;37,07;2,42;0,18;2,63;6,06;-3,36;1,77;7,44;4,20;5,48;0,56;0,44;0,56;35,63;;486.043,17;2,36;0,18;-0,26;847.116.875,96
BLAU3;9,05;10,21;8,66;0,92;0,59;40,44;18,65;13,82;6,41;6,47;0,06;0,01;1,20;1,85;-1,21;2,66;10,63;6,82;6,67;0,64;0,36;0,49;7,57;-0,84;1.759.719,13;9,84;1,05;-0,96;2.110.569.695,05
BPHA3;0,62;;0,06;-0,24;0,99;98,02;1.029,99;13.896,67;0,80;1,66;0,85;;8,28;-0,38;-1,18;0,06;-402,50;1.669,02;-36,75;-4,15;5,15;0,12;-68,85;;;-2,58;10,40;0,00;70.110.298,74
CREM3;14,50;;32,70;2,45;0,67;30,30;7,39;2,10;9,28;13,11;3,84;1,01;0,69;4,89;-1,69;1,29;7,50;2,05;9,29;0,27;0,73;0,98;1,09;;;5,91;0,44;22,14;465.122.474,00
DASA3;2,85;;-3,44;0,52;0,20;31,40;8,92;-10,87;4,19;10,33;6,14;0,76;0,37;3,06;-0,28;1,30;-15,14;-5,84;0,03;0,39;0,61;0,54;9,67;;1.592.214,57;5,47;-0,83;0,40;3.576.770.086,80
DMVF3;6,35;;13,42;0,35;0,16;28,80;3,20;0,87;3,64;4,23;0,59;0,06;0,12;9,65;-0,24;1,06;2,60;1,21;8,50;0,47;0,53;1,39;21,57;187,00;218.775,35;18,20;0,47;-3,33;321.328.046,70
