TICKER,PRECO,ULTIMO DIVIDENDO,DY,VALOR PATRIMONIAL COTA,P/VP,LIQUIDEZ MEDIA DIARIA,PERCENTUAL EM CAIXA,CAGR DIVIDENDOS 3 ANOS,CAGR VALOR COTA 3 ANOS,PATRIMONIO,N COTISTAS,GESTAO,N COTAS,SETOR
BTYU11,6.98,0.074753,16.18,10.12,0.69,4822.67,3.84,,,303669557.54,907.00,,30000000.00,Incorporações
SMRE11,57.41,1.001002,21.38,104.32,0.55,158941.14,1.37,,,104092586.47,1233.00,,997857.00,Incorporações
SPGM11,13.36,,0.00,16.30,0.82,0.00,0.01,,,73661026.38,118.00,,4518848.00,Incorporações
VCTH11,101.00,,0.00,94.92,1.06,320439.33,4.59,,,67960358.54,176.00,,715952.00,Incorporações
AZPL11,7.40,0.075000,12.30,8.58,0.86,905908.43,2.03,,,359628623.57,5880.00,,41922689.00,Serviços Financeiros Diversos
BBIG11,4.93,0.030000,16.67,9.79,0.50,1267562.43,3.33,,,970733277.39,38013.00,,99120994.00,Serviços Financeiros Diversos
RDLS11,0.00,,0.00,1920.58,,,3.80,,,393719661.70,32.00,,205000.00,Serviços Financeiros Diversos
RENV11,5.68,0.080000,16.11,14.15,0.40,23718.57,3.05,,,14532452.74,898.00,,1026794.00,Serviços Financeiros Diversos
ZAGH11,8.34,0.060000,8.75,9.11,0.91,17665.00,0.14,,,213590597.44,570.00,,23458324.00,Serviços Financeiros Diversos
BRIM11,95.00,48.330000,0.00,0.00,8.34,0.00,128.69,,,0.00,714.00,,0.00,Fundo de Desenvolvimento
BRIP11,371.35,11.770000,0.00,425.97,0.87,1014.05,3.69,,6.94,91785339.82,388.00,,215475.00,Fundo de Desenvolvimento
BTWR11,89.40,0.600000,10.63,126.59,0.71,30.00,0.55,6.08,,102447709.44,139.00,,809269.00,Fundo de Desenvolvimento
CFHI11,20.10,10.620000,98.11,26.58,0.76,40.00,154.38,,22.55,2514034.94,96.00,,94600.00,Fundo de Desenvolvimento
DMAC11,13.00,4.894618,0.00,4.99,2.61,,105.14,,,778257.90,2352.00,,156108.00,Fundo de Desenvolvimento
DVLT11,103.41,,0.00,104.05,0.99,0.00,8.46,,,42427334.11,211.00,,407744.00,Fundo de Desenvolvimento
EGYR11,2.98,,0.00,132.25,0.02,519.00,0.00,,-32.31,100818968.57,89.00,,762353.00,Fundo de Desenvolvimento
FLFL11,0.00,0.180000,0.00,123.39,,,1.05,,-100.00,426226803.08,1.00,,3454262.00,Fundo de Desenvolvimento
HCST11,35.10,,0.00,57.64,0.61,17.56,3.34,,-12.83,50201682.36,67.00,,870918.00,Fundo de Desenvolvimento
HDOF11,90.00,,0.00,92.97,0.97,251437.50,4.66,,-7.85,313322775.36,121.00,,3370000.00,Fundo de Desenvolvimento
HOMS11,133.12,,0.00,88.61,1.50,34537.33,0.47,,,46957938.68,2579.00,,529951.00,Fundo de Desenvolvimento
HRDF11,5.00,6.800000,0.00,7.99,0.63,342.83,9.03,,5.07,12116714.29,834.00,,1517425.00,Fundo de Desenvolvimento
INRD11,71.50,0.720000,11.44,119.22,0.60,39794.24,1.36,7.36,3.96,134581865.93,5773.00,,1128870.00,Fundo de Desenvolvimento
JPPC11,12262.77,0.350000,0.24,61.16,200.50,10205711351.16,101.26,,857.03,3363854.71,492.00,,55000.00,Fundo de Desenvolvimento
JTPR11,2517.00,1.630372,0.00,31.20,80.67,,19.42,,,6698037.61,7.00,,214674.00,Fundo de Desenvolvimento
KEVE11,504.68,20.311305,29.38,376.11,1.34,25670.12,37.40,,9.12,55551114.14,433.00,,147700.00,Fundo de Desenvolvimento
KINP11,10.00,3.053493,0.00,0.00,0.16,0.00,3.50,,,0.00,0.00,,0.00,Fundo de Desenvolvimento
KNRE11,0.33,0.001240,0.38,0.64,0.52,1630.24,32.40,,36.41,11905990.23,5362.00,,18547161.00,Fundo de Desenvolvimento
LATR11B,774.06,9.998500,0.00,0.00,12.13,0.00,3.50,,,0.00,0.00,,0.00,Fundo de Desenvolvimento
LOFT11B,29.90,0.201705,0.00,0.00,,,7677.06,,,1037.85,8.00,,1958596.00,Fundo de Desenvolvimento
LRED11,12.00,,0.00,10.85,1.11,0.00,6.56,,,15281664.36,112.00,,1408780.00,Fundo de Desenvolvimento
MADS11,0.00,,0.00,63.81,,,3.50,,,118155565.38,8102.00,,0.00,Fundo de Desenvolvimento
MFII11,28.60,0.300000,40.26,97.85,0.29,1187587.33,0.01,-5.79,-22.78,665382540.38,32141.00,,6800000.00,Fundo de Desenvolvimento
