TICKER,PRECO,DY,P/L,P/VP,P/ATIVOS,MARGEM BRUTA,MARGEM EBIT,MARG. LIQUIDA,P/EBIT,EV/EBIT,DIVIDA LIQUIDA / EBIT,DIV. LIQ. / PATRI.,PSR,P/CAP. GIRO,P. AT CIR. LIQ.,LIQ. CORRENTE,ROE,ROA,ROIC,PATRIMONIO / ATIVOS,PASSIVOS / ATIVOS,GIRO ATIVOS,CAGR RECEITAS 5 ANOS,CAGR LUCROS 5 ANOS,LIQUIDEZ MEDIA DIARIA,VPA,LPA,PEG RATIO,VALOR DE MERCADO,SETOR
AHEB3,23.89,,4.12,0.70,0.34,18.50,10.33,8.96,3.57,2.20,-1.44,-0.28,0.37,1.34,-0.60,2.45,16.94,8.27,15.74,0.49,0.51,0.92,21.70,,3093.95,34.23,5.80,-0.07,208345116.53,Consumo Cíclico
AHEB5,58.00,,10.00,1.69,0.83,18.50,10.33,8.96,8.67,2.20,-1.44,-0.28,0.90,3.25,-1.45,2.45,16.94,8.27,15.74,0.49,0.51,0.92,21.70,,,34.23,5.80,-0.18,208345116.53,Consumo Cíclico
AHEB6,55.00,,9.49,1.61,0.78,18.50,10.33,8.96,8.23,2.20,-1.44,-0.28,0.85,3.08,-1.38,2.45,16.94,8.27,15.74,0.49,0.51,0.92,21.70,,,34.23,5.80,-0.17,208345116.53,Consumo Cíclico
ALLD3,4.60,25.18,1.29,0.29,0.13,11.75,9.41,6.26,0.86,1.12,0.26,0.09,0.08,0.42,-0.47,1.74,22.27,10.10,18.12,0.45,0.55,1.61,3.11,15.35,1219922.71,16.02,3.57,0.01,441423065.60,Consumo Cíclico
ALPA3,9.87,4.98,9.62,1.86,1.07,52.96,16.02,14.52,8.72,11.05,0.71,0.15,1.40,4.66,-2.07,1.91,19.37,11.15,15.17,0.58,0.42,0.77,6.29,37.98,95663.29,5.30,1.03,0.06,7999222741.92,Consumo Cíclico
ALPA4,13.53,4.00,13.18,2.55,1.47,52.96,16.02,14.52,11.95,11.05,0.71,0.15,1.91,6.39,-2.84,1.91,19.37,11.15,15.17,0.58,0.42,0.77,6.29,37.98,17289095.43,5.30,1.03,0.08,7999222741.92,Consumo Cíclico
AMAR3,0.56,,-1.82,2.23,0.14,52.58,10.01,-10.75,1.95,7.43,5.48,6.27,0.20,-0.65,-0.20,0.56,-122.78,-7.76,15.07,0.06,0.94,0.72,-7.06,,129624.57,0.25,-0.31,0.43,287569129.12,Consumo Cíclico
AMER3,4.15,,1.50,0.19,0.05,26.50,3.34,4.49,2.02,5.70,3.69,0.34,0.07,0.30,-0.10,1.56,12.51,3.43,4.51,0.27,0.73,0.76,3.98,,6284669.19,22.12,2.77,-0.02,831017903.70,Consumo Cíclico
ANIM3,2.19,3.71,6.59,0.37,0.08,63.13,24.93,3.27,0.86,4.91,4.05,1.73,0.22,0.69,-0.11,1.90,5.62,1.27,11.57,0.23,0.72,0.39,23.12,,33663943.14,5.92,0.33,0.43,884472682.95,Consumo Cíclico
AUAU3,3.52,0.86,,,,,,,,,,,,,,,,,,,,,,,9599882.86,,,,0.00,Consumo Cíclico
AVLL3,10.50,,-0.61,-0.37,0.06,34.70,21.53,-23.55,0.67,5.33,4.66,,0.14,-0.74,-0.10,0.82,-60.73,-10.31,18.26,-0.17,1.16,0.44,26.55,,3996.48,-28.36,-17.22,0.00,82038621.00,Consumo Cíclico
AZZA3,17.01,14.56,4.22,0.44,0.23,54.89,8.66,7.17,3.50,5.67,2.17,0.27,0.30,0.96,-0.41,2.20,10.39,5.48,1.51,0.53,0.47,0.76,49.34,76.49,35760711.48,38.77,4.03,0.04,3512391719.13,Consumo Cíclico
BAHI3,4.51,,-2.32,7.22,0.30,46.30,-3.46,-15.38,-10.31,-13.03,-2.72,1.91,0.36,-0.73,-0.34,0.24,-311.28,-12.87,-11.93,0.04,0.86,0.84,11.13,,16499.00,0.62,-1.95,0.08,119021524.82,Consumo Cíclico
BHIA3,0.72,,-0.46,0.23,0.02,30.06,-1.82,-5.98,-1.51,-15.89,-14.38,2.15,0.03,-0.18,-0.04,0.76,-49.14,-5.11,-11.40,0.10,0.90,0.85,1.39,,6574283.14,3.20,-1.57,0.04,729907485.12,Consumo Cíclico
