TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
ARND3;0,50;;-0,16;0,56;0,40;91,01;-748,20;-764,90;-0,17;0,18;0,35;-1,18;1,23;0,51;-53,24;5,15;-346,26;-250,83;-313,74;0,72;0,20;0,33;11,16;;2.562,63;0,89;-3,10;0,00;70.495.903,00
BMOB3;23,56;9,06;12,63;2,07;1,00;26,29;8,83;8,91;12,75;10,80;-1,95;-0,32;1,13;3,19;-3,46;1,78;16,39;7,88;12,15;0,48;0,51;0,88;58,14;34,91;6.182.571,39;11,38;1,87;0,53;2.016.933.715,52
BRQB3;0,00;;0,00;0,00;0,00;36,72;12,86;11,15;0,00;-0,68;-0,68;-0,50;0,00;0,00;0,00;1,45;64,30;16,56;22,40;0,26;0,74;1,49;2,94;10,19;;0,77;0,50;0,00;0,00
CASH3;4,41;;-7,05;1,11;0,91;-8,90;-8,90;-14,83;-11,74;-9,60;2,15;-0,20;1,05;4,02;-1,42;2,68;-15,69;-12,89;-23,72;0,82;0,17;0,87;29,70;;8.377.329,74;3,99;-0,63;-0,02;499.657.974,48
CLSA3;10,49;;-24,41;3,06;2,30;33,36;-32,02;-16,96;-12,93;-10,71;2,22;-0,52;4,14;7,90;-4,94;2,19;-12,52;-9,40;-34,71;0,75;0,25;0,55;17,88;;57.778.110,00;3,43;-0,43;-0,08;1.971.344.369,40
DOTZ3;4,24;;7,69;-0,24;0,17;71,15;19,99;2,66;1,02;2,13;1,11;;0,20;-1,27;-0,53;0,84;-3,06;2,19;-29,41;-0,72;1,72;0,83;15,76;;256.651,35;-18,02;0,55;-0,04;56.485.186,72
ENJU3;0,84;24,01;-9,79;0,58;0,38;54,94;-12,72;-6,61;-5,09;1,07;6,16;-0,70;0,65;0,88;-1,48;2,42;-5,92;-3,90;-11,52;0,66;0,34;0,59;27,09;;1.026.309,17;1,45;-0,09;0,63;172.215.111,60
IFCM3;1,52;;-0,12;0,28;0,03;20,39;-18,36;-53,78;-0,34;-3,48;-3,14;2,51;0,06;0,17;-0,06;1,67;-234,17;-28,01;-19,56;0,12;0,88;0,52;24,65;;123.873,96;5,53;-12,94;0,00;41.889.298,48
INTB3;13,90;8,12;7,92;1,45;0,84;30,38;10,76;12,36;9,10;8,42;-0,68;-0,11;0,98;1,85;-3,15;2,65;18,29;10,64;11,86;0,58;0,41;0,86;15,88;11,88;19.913.453,35;9,60;1,75;0,25;4.553.794.429,00
ITEC3;40,10;;-35,12;22,04;9,22;-121,18;-18.852,94;-7.435,88;-13,85;-13,21;0,64;-1,02;2.611,73;25,42;-16,70;5,23;-62,76;-26,24;-174,07;0,42;0,58;0,00;-75,29;;;1,82;-1,14;1,36;443.994.658,60
LINX3;37,40;;-90,95;4,38;2,74;68,70;-4,79;-8,67;-164,48;-159,30;5,18;-0,14;7,88;11,96;-4,82;2,14;-4,81;-3,02;-2,23;0,63;0,37;0,35;14,30;;;8,55;-0,41;0,13;7.083.895.104,00
LWSA3;3,80;1,37;-9,88;0,92;0,61;48,73;-17,23;-14,56;-8,34;-7,18;1,17;-0,13;1,44;14,58;-0,95;1,14;-9,34;-6,21;-17,35;0,67;0,33;0,43;24,98;;10.858.885,74;4,12;-0,38;0,01;2.160.533.130,00
MLAS3;1,80;2,80;8,17;0,48;0,28;26,14;4,91;4,48;7,45;6,49;-0,96;-0,06;0,37;0,77;-0,94;2,08;5,85;3,44;5,07;0,59;0,41;0,77;6,65;-16,47;1.941.469,91;3,76;0,22;-0,04;1.476.970.605,00
MOSI3;8,24;;2,17;0,14;0,02;0,00;0,00;3,42;;;;0,00;0,07;;-0,02;;6,38;0,74;;0,12;0,88;0,22;;;;59,43;3,79;0,17;1.043.149.227,20
NGRD3;34,28;;-31,89;0,72;0,57;58,79;-5,81;-3,67;-20,18;-12,77;7,41;-0,26;1,17;2,25;-0,89;3,21;-2,26;-1,77;-4,93;0,78;0,22;0,48;4,96;;935.672,26;47,54;-1,07;0,47;313.351.560,32
POSI3;3,70;4,85;53,37;0,34;0,12;24,87;7,33;0,29;2,12;4,62;2,50;0,40;0,16;0,46;-0,33;1,69;0,63;0,22;8,42;0,36;0,64;0,77;8,88;-44,75;2.339.518,35;10,98;0,07;0,23;524.660.000,00
QUSW3;0,00;;0,00;0,00;0,00;103,91;61,14;35,49;0,00;1,70;1,70;0,50;0,00;0,00;0,00;1,12;17,21;7,66;15,74;0,45;0,55;0,22;-12,65;15,99;;142,53;24,53;0,00;0,00
SQIA3;27,37;;-110,33;3,70;1,49;42,19;6,45;-3,26;55,72;60,18;4,46;0,30;3,59;25,87;-1,84;1,43;-3,35;-1,35;2,68;0,40;0,58;0,41;35,51;;;7,40;-0,25;0,62;2.406.971.773,64
TOTS3;28,89;2,35;18,70;3,49;1,33;70,63;19,91;15,41;14,48;17,35;2,87;0,69;2,88;11,95;-1,87;1,62;18,65;7,09;9,64;0,38;0,59;0,46;17,33;25,71;103.314.532,26;8,28;1,54;1,05;17.316.711.675,09
TRAD3;1,12;;0,51;0,44;0,39;18,75;-463,64;428,31;-0,47;-0,43;0,04;-0,04;2,20;3,94;-0,46;3,07;85,56;76,48;-90,32;0,89;0,10;0,18;-11,06;46,01;17.765,33;2,55;2,18;0,00;44.823.541,28
WDCN3;2,25;;-0,74;0,30;0,11;25,79;-16,97;-22,70;-0,99;0,89;1,88;-0,58;0,17;0,43;-0,26;1,87;-40,95;-15,28;-41,52;0,37;0,63;0,67;3,96;;42.803,17;7,42;-3,04;0,00;142.788.291,75
