TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AESB3;8,12;;-21,02;1,83;0,42;27,29;23,39;-9,44;8,48;18,40;9,93;2,15;1,98;-11,75;-0,49;0,79;-8,72;-2,02;4,23;0,23;0,71;0,21;;;13.684.494,00;4,43;-0,39;2,77;8.367.914.180,36
AFLT3;7,34;7,08;14,09;1,78;1,26;81,47;71,10;51,35;10,18;9,76;-0,41;-0,07;7,24;6,23;-1,94;2,39;12,62;8,97;11,60;0,71;0,29;0,17;6,47;11,92;3.309,57;4,13;0,52;1,94;463.041.698,00
ALUP11;33,71;3,20;9,97;1,20;0,32;66,96;67,25;25,17;3,73;6,86;3,13;1,00;2,51;1,92;-0,43;3,30;12,00;3,25;9,07;0,27;0,63;0,13;-6,46;3,42;22.898.166,09;28,17;3,38;-7,47;11.111.721.686,57
ALUP3;12,27;2,93;10,88;1,31;0,35;66,96;67,25;25,17;4,07;6,86;3,13;1,00;2,74;2,10;-0,47;3,30;12,00;3,25;9,07;0,27;0,63;0,13;-6,46;3,42;80.835,57;9,39;1,13;-8,16;11.111.721.686,57
ALUP4;10,84;3,32;9,62;1,15;0,31;66,96;67,25;25,17;3,60;6,86;3,13;1,00;2,42;1,85;-0,41;3,30;12,00;3,25;9,07;0,27;0,63;0,13;-6,46;3,42;111.983,48;9,39;1,13;-7,21;11.111.721.686,57
AMBP3;0,16;;-1,04;0,24;0,02;18,22;17,36;-3,54;0,21;5,27;5,06;5,81;0,04;0,06;-0,03;2,72;-23,47;-1,52;8,91;0,06;0,87;0,43;67,64;;869.401,22;0,65;-0,15;0,05;267.266.990,40
AURE3;11,55;;-9,38;1,02;0,26;13,55;9,24;-9,73;9,87;26,37;16,50;1,70;0,91;16,43;-0,30;1,11;-10,86;-2,73;3,22;0,25;0,72;0,28;41,69;;31.315.817,17;11,34;-1,23;0,00;12.131.865.599,70
AXIA3;51,68;7,06;15,94;1,26;0,54;47,02;15,92;21,89;21,93;29,22;6,61;0,38;3,49;5,24;-0,68;2,11;7,88;3,41;-10,23;0,43;0,57;0,16;7,26;8,52;535.666.825,61;41,16;3,24;-9,92;156.828.088.680,25
AXIA5;55,50;6,02;17,12;1,35;0,58;47,02;15,92;21,89;23,55;29,22;6,61;0,38;3,75;5,63;-0,73;2,11;7,88;3,41;-10,23;0,43;0,57;0,16;7,26;8,52;0,00;41,16;3,24;-10,65;156.828.088.680,25
AXIA6;59,20;6,78;18,26;1,44;0,62;47,02;15,92;21,89;25,12;29,22;6,61;0,38;4,00;6,00;-0,78;2,11;7,88;3,41;-10,23;0,43;0,57;0,16;7,26;8,52;48.101.504,00;41,16;3,24;-11,36;156.828.088.680,25
AXIA7;50,84;;15,68;1,24;0,53;47,02;15,92;21,89;21,57;29,22;6,61;0,38;3,43;5,15;-0,67;2,11;7,88;3,41;-10,23;0,43;0,57;0,16;7,26;8,52;67.920.439,04;41,16;3,24;-9,76;156.828.088.680,25
CASN3;8,77;0,49;27,35;3,84;1,70;50,63;29,44;17,74;16,49;17,62;3,69;0,86;4,85;226,63;-2,03;1,05;14,04;6,20;9,02;0,44;0,56;0,35;13,65;27,77;;2,28;0,32;1,78;8.853.637.450,79
CASN4;6,07;0,78;18,93;2,66;1,17;50,63;29,44;17,74;11,41;17,62;3,69;0,86;3,36;156,86;-1,40;1,05;14,04;6,20;9,02;0,44;0,56;0,35;13,65;27,77;;2,28;0,32;1,23;8.853.637.450,79
CBEE3;10,01;;89,32;0,46;0,20;17,53;8,99;0,50;4,99;10,24;5,25;0,48;0,45;-1,96;-0,26;0,68;0,51;0,23;5,72;0,45;0,55;0,45;9,42;0,75;8.564,62;22,00;0,11;-0,96;4.536.771.669,43
CEBR3;24,80;19,92;10,71;1,89;1,31;43,60;43,01;34,89;8,69;6,80;-1,85;-0,40;3,74;3,35;-2,47;5,89;17,65;12,21;11,92;0,69;0,14;0,35;14,87;-17,34;230.475,78;13,12;2,32;-1,44;1.779.676.066,50
CEBR5;24,58;20,10;10,61;1,87;1,30;43,60;43,01;34,89;8,61;6,80;-1,85;-0,40;3,70;3,32;-2,45;5,89;17,65;12,21;11,92;0,69;0,14;0,35;14,87;-17,34;284.718,09;13,12;2,32;-1,43;1.779.676.066,50
CEBR6;28,52;18,71;12,32;2,17;1,50;43,60;43,01;34,89;9,99;6,80;-1,85;-0,40;4,30;3,85;-2,84;5,89;17,65;12,21;11,92;0,69;0,14;0,35;14,87;-17,34;116.770,83;13,12;2,32;-1,65;1.779.676.066,50
CEEB3;46,75;12,48;6,55;1,51;0,32;28,41;22,19;9,79;2,89;7,64;4,39;2,30;0,64;5,12;-0,42;1,39;23,08;4,96;13,79;0,21;0,79;0,51;10,25;8,96;29.752,55;30,94;7,14;0,99;13.786.663.865,79
CEEB5;42,60;13,70;5,96;1,38;0,30;28,41;22,19;9,79;2,63;7,64;4,39;2,30;0,58;4,67;-0,38;1,39;23,08;4,96;13,79;0,21;0,79;0,51;10,25;8,96;710,00;30,94;7,14;0,90;13.786.663.865,79
CEEB6;60,68;10,58;8,50;1,96;0,42;28,41;22,19;9,79;3,75;7,64;4,39;2,30;0,83;6,65;-0,55;1,39;23,08;4,96;13,79;0,21;0,79;0,51;10,25;8,96;;30,94;7,14;1,29;13.786.663.865,79
CEED3;7,30;;-0,67;-0,12;0,05;16,84;5,82;-11,53;1,33;20,15;18,81;;0,08;1,55;-0,07;1,10;-17,21;-7,37;9,85;-0,43;1,43;0,64;12,16;;663,83;-63,17;-10,87;-0,01;500.343.966,80
CEED4;20,00;;-1,84;-0,32;0,14;16,84;5,82;-11,53;3,65;20,15;18,81;;0,21;4,26;-0,20;1,10;-17,21;-7,37;9,85;-0,43;1,43;0,64;12,16;;;-63,17;-10,87;-0,03;500.343.966,80
CEGR3;35,00;;13,56;4,17;1,91;35,52;24,21;14,33;8,03;8,31;0,28;0,14;1,94;-32,48;-2,53;0,81;30,72;14,05;27,96;0,46;0,54;0,98;8,58;13,74;583,33;8,40;2,58;0,59;9.087.320.620,00
CEPE3;125,26;;55,58;13,86;2,29;21,38;14,84;7,33;27,46;33,20;6,21;3,13;4,08;80,24;-3,13;1,12;24,94;4,13;7,64;0,17;0,83;0,56;4,82;25,18;;9,03;2,25;0,12;36.443.231.491,42
