TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;4,97;;-10,79;0,70;0,26;27,98;10,49;-5,65;5,81;9,97;4,17;0,51;0,61;-60,02;-0,36;0,98;-6,53;-2,46;6,81;0,38;0,61;0,43;2,55;;337.403,95;7,06;-0,46;0,15;757.226.625,54
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;;-1,21;-0,38;-0,58;25.439.770,20
BALM3;21,00;3,05;6,63;1,13;0,73;61,72;20,12;14,96;4,93;2,87;-1,50;-0,34;0,99;1,43;-2,72;3,30;16,99;11,02;12,65;0,65;0,36;0,74;5,42;37,76;17.663,20;18,63;3,17;0,03;182.427.000,00
BALM4;16,23;8,37;5,13;0,87;0,57;61,72;20,12;14,96;3,81;2,87;-1,50;-0,34;0,77;1,11;-2,10;3,30;16,99;11,02;12,65;0,65;0,36;0,74;5,42;37,76;11.070,18;18,63;3,17;0,03;182.427.000,00
BIOM3;7,63;;-13,48;3,86;2,16;11,61;-40,66;-49,90;-16,54;-16,58;-0,04;0,01;6,72;6,99;-4,29;2,64;-28,61;-16,03;-16,21;0,56;0,44;0,32;74,06;;229.974,86;1,98;-0,57;1,05;967.800.889,16
BLAU3;12,20;2,77;8,16;0,99;0,64;38,95;22,09;15,16;5,60;5,78;0,17;0,03;1,24;1,92;-1,23;3,23;12,18;7,81;8,87;0,64;0,36;0,52;12,41;6,01;3.555.935,52;12,27;1,49;0,65;2.188.606.055,80
BPHA3;0,62;;0,06;-0,24;0,99;98,02;1.029,99;13.896,67;0,80;1,66;0,85;;8,28;-0,38;-1,18;0,06;-402,50;1.669,02;-36,75;-4,15;5,15;0,12;-68,85;;;-2,58;10,40;0,00;70.110.298,74
CREM3;14,50;;32,70;2,45;0,67;30,30;7,39;2,10;9,28;13,11;3,84;1,01;0,69;4,89;-1,69;1,29;7,50;2,05;9,29;0,27;0,73;0,98;1,09;;;5,91;0,44;22,14;465.122.474,00
DASA3;1,24;;-1,37;0,20;0,06;27,64;7,53;-7,38;1,34;9,12;7,78;1,16;0,10;0,31;-0,09;1,92;-14,55;-4,02;5,28;0,28;0,72;0,55;28,55;;1.362.864,00;6,23;-0,91;0,42;1.556.208.739,52
DMVF3;4,69;;9,51;0,26;0,13;30,38;2,82;1,11;3,75;3,81;0,07;0,00;0,11;5,62;-0,19;1,08;2,78;1,36;6,47;0,49;0,51;1,23;353,03;;233.251,05;17,72;0,49;2,40;237.327.328,98
FLRY3;12,71;8,01;11,08;1,33;0,52;27,58;15,44;8,05;5,78;8,30;2,52;0,58;0,89;2,65;-0,81;2,29;12,01;4,73;9,05;0,39;0,60;0,59;21,48;14,98;24.900.949,38;9,55;1,15;0,43;6.954.797.940,46
GBIO33;10,40;;-14,97;1,32;0,79;43,48;3,79;-10,14;40,09;47,57;7,48;0,25;1,52;7,57;-1,43;1,31;-8,83;-5,29;-0,10;0,60;0,40;0,52;12,83;;;7,86;-0,69;0,06;1.108.871.982,40
GNDI3;66,95;;-3.584,81;5,84;2,38;18,55;3,28;-0,10;104,45;109,34;4,90;0,27;3,42;79,65;-3,01;1,17;-0,16;-0,07;2,22;0,41;0,59;0,69;29,03;;;11,47;-0,02;35,34;41.526.443.086,05
HAPV3;32,03;;-30,46;0,33;0,22;12,35;3,14;-1,82;17,63;21,65;4,02;0,08;0,55;2,53;-0,26;2,10;-1,08;-0,71;1,43;0,66;0,34;0,39;38,69;;145.887.040,00;97,22;-1,05;-2,52;16.099.267.214,52
HYPE3;26,34;4,44;20,63;1,42;0,69;56,39;15,15;12,08;16,45;23,89;7,45;0,64;2,49;13,63;-0,90;1,26;6,89;3,32;-0,09;0,48;0,52;0,28;17,70;-7,02;68.787.165,86;18,53;1,28;-0,39;16.684.304.477,82
