TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;4,07;;-7,70;0,58;0,20;26,83;9,47;-6,49;5,28;8,38;3,10;0,34;0,50;141,80;-0,28;1,01;-7,54;-2,66;5,63;0,35;0,64;0,41;2,55;;176.211,48;7,00;-0,53;0,15;620.103.091,74
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;;-1,21;-0,38;-0,58;25.439.770,20
BALM3;28,67;16,18;11,36;1,54;0,93;61,58;20,78;11,28;6,17;3,98;-1,56;-0,39;1,28;1,84;-3,68;3,12;13,52;8,23;19,28;0,61;0,39;0,73;5,42;31,66;14.722,00;18,67;2,52;0,46;252.399.000,00
BALM4;22,84;23,45;9,05;1,22;0,74;61,58;20,78;11,28;4,91;3,98;-1,56;-0,39;1,02;1,47;-2,93;3,12;13,52;8,23;19,28;0,61;0,39;0,73;5,42;31,66;116.798,94;18,67;2,52;0,37;252.399.000,00
BIOM3;7,51;;-16,66;3,62;2,12;15,98;-30,34;-43,27;-23,77;-24,39;-0,63;0,10;7,21;6,71;-4,54;2,45;-21,71;-12,72;-11,51;0,59;0,41;0,29;74,06;;952.933,10;2,08;-0,45;0,95;1.027.679.905,32
BLAU3;12,94;3,57;7,33;0,99;0,64;40,23;23,08;17,89;5,69;6,26;0,57;0,10;1,31;1,80;-1,41;2,90;13,47;8,74;7,66;0,65;0,36;0,49;12,41;9,59;4.214.843,95;13,10;1,76;0,11;2.321.357.570,66
BPHA3;0,62;;0,06;-0,24;0,99;98,02;1.029,99;13.896,67;0,80;1,66;0,85;;8,28;-0,38;-1,18;0,06;-402,50;1.669,02;-36,75;-4,15;5,15;0,12;-68,85;;;-2,58;10,40;0,00;70.110.298,74
CREM3;14,50;;32,70;2,45;0,67;30,30;7,39;2,10;9,28;13,11;3,84;1,01;0,69;4,89;-1,69;1,29;7,50;2,05;9,29;0,27;0,73;0,98;1,09;;;5,91;0,44;22,14;465.122.474,00
DASA3;3,62;;-4,42;0,58;0,22;28,60;10,06;-8,18;3,59;8,22;4,63;0,75;0,36;3,73;-0,31;1,23;-13,14;-4,87;4,58;0,37;0,63;0,60;28,55;;12.131.972,33;6,23;-0,82;-0,33;4.543.125.513,76
DMVF3;5,59;;16,98;0,31;0,15;28,13;2,63;0,64;4,14;4,41;0,27;0,02;0,11;7,45;-0,22;1,06;1,83;0,86;6,67;0,47;0,53;1,34;353,03;;448.634,43;17,98;0,33;-0,36;282.869.886,78
