TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;4,97;;-10,79;0,70;0,26;27,98;10,49;-5,65;5,81;9,97;4,17;0,51;0,61;-60,02;-0,36;0,98;-6,53;-2,46;6,81;0,38;0,61;0,43;2,55;;337.403,95;7,06;-0,46;0,15;757.226.625,54
ABCB4;20,80;9,36;5,23;0,79;0,08;19,82;11,61;9,52;4,28;4,28;;;0,50;-3,55;-0,08;0,34;15,05;1,59;;0,11;0,89;0,17;35,11;14,38;17.008.457,67;26,45;3,98;0,26;5.088.862.625,60
ABEV3;13,37;6,91;14,60;2,23;1,43;51,46;24,69;15,74;9,31;8,55;-0,76;-0,18;2,30;50,09;-2,03;1,11;15,27;9,80;17,40;0,64;0,35;0,62;11,20;4,14;303.809.204,24;6,00;0,92;-29,52;210.733.110.167,72
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;;-1,21;-0,38;-0,58;25.439.770,20
AERI3;4,17;;-0,26;2,33;0,12;10,79;-63,54;-81,51;-0,34;-2,29;-1,96;13,58;0,21;-29,42;-0,20;0,99;-889,48;-46,89;-47,60;0,05;0,95;0,58;12,70;;497.323,00;1,79;-15,89;0,00;259.041.217,32
AESB3;8,12;;-16,19;1,17;0,37;26,76;21,13;-10,72;8,21;18,23;10,02;1,42;1,74;-6,64;-0,42;0,67;-7,21;-2,28;4,73;0,32;0,63;0,21;;;13.684.494,00;6,96;-0,50;0,01;6.973.842.690,64
AFLT3;7,24;5,93;14,91;1,78;1,32;53,37;48,17;37,61;11,64;12,03;0,39;0,06;5,61;7,48;-1,70;4,76;11,91;8,86;11,93;0,74;0,26;0,24;17,36;3,94;1.347,54;4,08;0,49;0,76;456.733.228,00
AGRO3;20,40;7,63;6,77;0,97;0,53;39,38;29,46;22,84;5,25;8,40;3,15;0,58;1,55;4,53;-0,77;1,58;14,27;7,79;9,29;0,55;0,45;0,34;13,78;11,82;3.132.496,86;21,13;3,02;0,22;2.094.742.257,60
AGXY3;6,03;;-0,04;-0,05;0,03;-4,18;-59,21;-86,99;-0,05;-0,68;-0,63;;0,03;-0,03;-0,06;0,33;-145,31;-83,71;433,24;-0,58;1,58;0,96;24,29;;59.857,57;-118,43;-172,09;0,00;102.326.513,13
AHEB3;35,80;;2,66;1,26;0,55;17,28;12,60;16,64;3,51;2,95;-0,59;-0,21;0,44;1,74;-1,02;3,30;47,45;20,82;23,17;0,44;0,56;1,25;44,62;;10.740,00;28,40;13,48;0,32;308.482.931,60
AHEB5;58,00;;4,30;2,04;0,90;17,28;12,60;16,64;5,68;2,95;-0,59;-0,21;0,72;2,82;-1,65;3,30;47,45;20,82;23,17;0,44;0,56;1,25;44,62;;2.900,00;28,40;13,48;0,51;308.482.931,60
AHEB6;55,00;;4,08;1,94;0,85;17,28;12,60;16,64;5,39;2,95;-0,59;-0,21;0,68;2,68;-1,56;3,30;47,45;20,82;23,17;0,44;0,56;1,25;44,62;;5.500,00;28,40;13,48;0,49;308.482.931,60
ALLD3;6,91;18,77;5,91;0,41;0,19;12,00;3,42;2,08;3,60;4,36;0,75;0,09;0,12;0,58;-0,65;1,86;6,90;3,22;8,54;0,47;0,53;1,54;8,27;1,88;182.737,00;16,95;1,17;-0,20;653.045.049,13
ALOS3;21,60;4,62;13,60;0,87;0,44;74,10;59,06;31,40;7,23;5,33;-1,90;-0,23;4,27;4,56;-0,52;2,87;6,42;3,24;11,12;0,51;0,47;0,10;29,82;108,22;70.577.406,24;24,74;1,59;0,19;11.727.437.234,40
ALPA3;7,50;1,29;26,20;1,26;0,80;44,69;3,36;4,58;35,71;36,71;-1,44;-0,05;1,20;3,04;-1,57;2,17;4,83;3,06;1,60;0,63;0,36;0,67;2,05;-6,53;35.055,19;5,93;0,29;-0,23;5.473.389.228,66
ALPA4;8,52;1,25;29,76;1,44;0,91;44,69;3,36;4,58;40,56;36,71;-1,44;-0,05;1,36;3,46;-1,79;2,17;4,83;3,06;1,60;0,63;0,36;0,67;2,05;-6,53;7.935.349,81;5,93;0,29;-0,27;5.473.389.228,66
ALPK3;3,00;;-141,88;1,88;0,27;33,20;13,58;-0,28;2,92;8,60;5,67;3,65;0,40;-2,27;-0,32;0,58;-1,33;-0,19;12,18;0,14;0,85;0,67;7,96;;243.004,62;1,59;-0,02;1,54;651.072.075,00
ALUP11;29,45;2,95;8,59;1,14;0,31;71,15;71,29;26,72;3,22;6,19;2,97;1,05;2,30;2,83;-0,39;2,15;13,26;3,62;11,75;0,27;0,61;0,14;-2,71;4,88;34.553.230,00;25,84;3,43;0,15;9.707.511.233,15
ALUP3;10,56;2,75;9,24;1,23;0,34;71,15;71,29;26,72;3,46;6,19;2,97;1,05;2,47;3,05;-0,42;2,15;13,26;3,62;11,75;0,27;0,61;0,14;-2,71;4,88;48.266,19;8,61;1,14;0,16;9.707.511.233,15
ALUP4;9,46;3,07;8,28;1,10;0,30;71,15;71,29;26,72;3,10;6,19;2,97;1,05;2,21;2,73;-0,38;2,15;13,26;3,62;11,75;0,27;0,61;0,14;-2,71;4,88;76.185,33;8,61;1,14;0,14;9.707.511.233,15
AMAR3;1,25;;-3,89;2,23;0,31;50,10;4,91;-11,49;9,09;18,09;9,00;2,21;0,45;-1,72;-0,44;0,60;-57,47;-8,08;6,21;0,14;0,86;0,70;-13,55;;138.998,81;0,56;-0,32;0,06;641.820.053,75
AMBP3;141,80;;-105,36;18,01;1,38;19,32;17,75;-3,26;19,38;24,49;5,11;4,75;3,44;4,78;-2,47;2,88;-17,09;-1,31;8,47;0,08;0,86;0,40;67,64;;25.231.158,81;7,88;-1,35;-15,16;23.686.537.024,20
AMER3;5,10;;0,14;0,23;0,06;31,11;-5,71;53,64;-1,31;-2,55;-1,24;0,22;0,07;0,43;-0,10;1,49;163,84;42,19;-144,30;0,26;0,74;0,79;16,22;;10.873.560,38;22,35;36,62;0,00;1.021.246.037,10
AMOB3;10,66;;;;;;;;;;;;;;;;;;;;;;;;1.072.841,57;;;;0,00
ANIM3;3,65;14,38;12,67;0,62;0,15;61,77;22,82;3,02;1,68;6,21;4,53;1,68;0,38;1,23;-0,19;2,06;4,91;1,17;10,16;0,24;0,71;0,39;26,33;;17.617.474,48;5,87;0,29;-0,08;1.474.121.138,25
APER3;46,75;;-32,82;2,02;1,01;100,00;6,60;-8,16;40,57;43,31;2,74;0,14;2,68;115,28;-1,38;1,03;-6,15;-3,09;2,91;0,50;0,50;0,38;29,52;;51.166,00;23,16;-1,42;0,16;953.269.946,75
APTI3;197,64;;0,15;0,01;0,01;100,11;29,38;66,99;0,33;0,13;-3,23;-0,14;0,10;0,02;-0,01;5,86;9,84;4,97;2,72;0,51;0,49;0,07;-2,98;;;13.858,30;1.363,32;0,00;37.417.457,40
APTI4;2.930,92;;2,15;0,21;0,11;100,11;29,38;66,99;4,90;0,13;-3,23;-0,14;1,44;0,27;-0,20;5,86;9,84;4,97;2,72;0,51;0,49;0,07;-2,98;;0,00;13.858,30;1.363,32;-0,04;37.417.457,40
ARML3;3,92;3,65;10,43;1,08;0,30;38,06;26,49;7,16;2,82;6,45;3,63;1,38;0,75;1,66;-0,43;2,42;10,31;2,85;11,46;0,28;0,71;0,40;95,79;70,03;8.093.442,90;3,65;0,38;-0,33;1.358.256.860,24
ASAI3;9,66;1,11;15,81;2,43;0,29;16,61;5,28;1,10;3,29;6,29;3,00;2,21;0,17;16,13;-0,45;1,05;15,34;1,85;17,32;0,12;0,88;1,68;21,32;-4,63;91.025.739,57;3,98;0,61;0,86;13.062.688.487,10
AURA33;45,11;3,81;-18,41;12,20;1,50;45,53;38,00;-15,14;7,33;8,49;1,16;1,93;2,79;34,36;-2,12;1,17;-66,27;-8,14;23,69;0,12;0,88;0,54;29,10;;15.812.501,38;3,70;-2,45;0,01;9.797.692.388,25
AURE3;9,03;0,63;1.630,83;0,72;0,18;20,53;18,55;0,06;5,32;16,53;11,21;1,51;0,99;2,75;-0,23;1,45;0,04;0,01;3,69;0,25;0,72;0,18;;;28.879.125,48;12,62;0,01;-15,99;9.484.913.105,22
AVLL3;1,71;;-28,51;-3,84;0,24;38,44;22,28;-1,69;2,16;4,97;2,81;;0,48;-3,77;-0,39;0,86;-13,47;-0,84;25,06;-0,06;1,04;0,50;32,82;;5.428,62;-0,45;-0,06;0,29;334.014.404,31
AZEV3;0,56;;-1,26;0,46;0,25;2,51;-159,37;-171,21;-1,36;-1,91;-0,54;0,19;2,16;-1,62;-0,29;0,44;-36,63;-20,04;-38,72;0,55;0,45;0,12;144,07;;534.987,24;1,21;-0,44;0,00;335.849.845,32
AZEV4;0,57;;-1,28;0,47;0,26;2,51;-159,37;-171,21;-1,38;-1,91;-0,54;0,19;2,20;-1,65;-0,29;0,44;-36,63;-20,04;-38,72;0,55;0,45;0,12;144,07;;1.409.505,81;1,21;-0,44;0,00;335.849.845,32
