TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
ARND3;1,03;;10,91;0,49;0,46;83,42;-44,59;21,86;-5,35;5,45;10,80;-1,00;2,39;0,51;-19,00;16,47;4,53;4,25;-10,90;0,94;0,06;0,19;35,82;;4.222,74;2,08;0,09;0,03;145.221.560,18
BMOB3;23,83;13,78;13,89;1,80;1,18;25,01;8,65;8,98;14,43;11,21;-3,23;-0,40;1,25;2,97;-3,83;2,34;12,93;8,49;7,66;0,66;0,34;0,95;57,50;32,15;10.177.691,67;13,27;1,72;0,59;2.040.047.981,36
BRQB3;0,00;;0,00;0,00;0,00;36,45;14,51;11,33;0,00;-1,27;-1,27;-0,42;0,00;0,00;0,00;2,91;25,74;15,73;14,00;0,61;0,38;1,39;6,83;17,62;;1,83;0,47;0,00;0,00
CASH3;3,88;;8,05;0,81;0,66;18,02;18,02;12,80;5,71;4,84;-0,87;-0,12;1,03;6,32;-0,87;1,73;10,03;8,18;3,74;0,82;0,18;0,64;34,97;29,42;7.427.828,14;4,81;0,48;-0,03;439.303.509,52
CLSA3;10,49;;-24,41;3,06;2,30;33,36;-32,02;-16,96;-12,93;-10,71;2,22;-0,52;4,14;7,90;-4,94;2,19;-12,52;-9,40;-34,71;0,75;0,25;0,55;17,88;;57.778.110,00;3,43;-0,43;-0,08;1.971.344.369,40
DOTZ3;6,36;;-30,01;-0,34;0,38;83,00;12,29;-1,49;3,65;6,75;3,10;;0,45;-0,48;-0,66;0,35;-1,13;-1,26;-11,09;-1,11;2,11;0,84;3,90;;38.802,57;-18,67;-0,21;0,34;84.727.780,08
ENJU3;1,03;;-10,31;0,70;0,48;55,90;-10,71;-7,66;-7,37;-0,06;7,31;-0,69;0,79;1,31;-1,21;2,60;-6,74;-4,69;-10,00;0,70;0,30;0,61;37,65;;584.433,81;1,48;-0,10;0,23;211.168.529,70
IFCM3;1,25;;-0,68;0,45;0,11;30,25;-2,45;-26,31;-7,31;-23,73;-16,42;1,01;0,18;0,50;-0,21;1,91;-65,71;-16,63;-4,96;0,25;0,75;0,63;50,42;;626.895,90;2,79;-1,83;0,01;151.573.706,25
INTB3;12,02;11,67;8,33;1,25;0,70;29,64;9,41;10,32;9,14;8,66;-0,48;-0,07;0,86;1,58;-2,66;2,54;14,99;8,45;8,87;0,56;0,43;0,82;22,88;20,07;31.849.737,38;9,63;1,44;-0,43;3.937.885.542,20
ITEC3;40,10;;-35,12;22,04;9,22;-121,18;-18.852,94;-7.435,88;-13,85;-13,21;0,64;-1,02;2.611,73;25,42;-16,70;5,23;-62,76;-26,24;-174,07;0,42;0,58;0,00;-75,29;;;1,82;-1,14;1,36;443.994.658,60
LINX3;37,40;;-90,95;4,38;2,74;68,70;-4,79;-8,67;-164,48;-159,30;5,18;-0,14;7,88;11,96;-4,82;2,14;-4,81;-3,02;-2,23;0,63;0,37;0,35;14,30;;;8,55;-0,41;0,13;7.083.895.104,00
