TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AESB3;8,12;;-16,19;1,17;0,37;26,76;21,13;-10,72;8,21;18,23;10,02;1,42;1,74;-6,64;-0,42;0,67;-7,21;-2,28;4,73;0,32;0,63;0,21;;;13.684.494,00;6,96;-0,50;0,01;6.973.842.690,64
AFLT3;7,24;5,93;14,91;1,78;1,32;53,37;48,17;37,61;11,64;12,03;0,39;0,06;5,61;7,48;-1,70;4,76;11,91;8,86;11,93;0,74;0,26;0,24;17,36;3,94;1.347,54;4,08;0,49;0,76;456.733.228,00
ALUP11;29,45;2,95;8,59;1,14;0,31;71,15;71,29;26,72;3,22;6,19;2,97;1,05;2,30;2,83;-0,39;2,15;13,26;3,62;11,75;0,27;0,61;0,14;-2,71;4,88;34.553.230,00;25,84;3,43;0,15;9.707.511.233,15
ALUP3;10,56;2,75;9,24;1,23;0,34;71,15;71,29;26,72;3,46;6,19;2,97;1,05;2,47;3,05;-0,42;2,15;13,26;3,62;11,75;0,27;0,61;0,14;-2,71;4,88;48.266,19;8,61;1,14;0,16;9.707.511.233,15
ALUP4;9,46;3,07;8,28;1,10;0,30;71,15;71,29;26,72;3,10;6,19;2,97;1,05;2,21;2,73;-0,38;2,15;13,26;3,62;11,75;0,27;0,61;0,14;-2,71;4,88;76.185,33;8,61;1,14;0,14;9.707.511.233,15
AMBP3;141,80;;-105,36;18,01;1,38;19,32;17,75;-3,26;19,38;24,49;5,11;4,75;3,44;4,78;-2,47;2,88;-17,09;-1,31;8,47;0,08;0,86;0,40;67,64;;25.231.158,81;7,88;-1,35;-15,16;23.686.537.024,20
AURE3;9,03;0,63;1.630,83;0,72;0,18;20,53;18,55;0,06;5,32;16,53;11,21;1,51;0,99;2,75;-0,23;1,45;0,04;0,01;3,69;0,25;0,72;0,18;;;28.879.125,48;12,62;0,01;-15,99;9.484.913.105,22
CASN3;8,77;0,49;30,39;4,22;1,84;52,75;31,31;16,11;15,64;16,36;3,14;0,85;4,89;-1.468,03;-2,20;0,99;13,89;6,05;11,13;0,44;0,56;0,38;11,65;22,64;0,00;2,08;0,29;0,07;8.529.097.212,50
CASN4;6,07;0,78;21,03;2,92;1,27;52,75;31,31;16,11;10,82;16,36;3,14;0,85;3,39;-1.016,07;-1,53;0,99;13,89;6,05;11,13;0,44;0,56;0,38;11,65;22,64;0,00;2,08;0,29;0,05;8.529.097.212,50
CBEE3;12,00;;6,59;0,54;0,23;16,66;10,79;7,69;4,70;9,20;4,50;0,51;0,51;-1,74;-0,29;0,62;8,14;3,47;2,70;0,43;0,57;0,45;8,16;19,89;2.199,00;22,35;1,82;-0,01;4.560.474.576,00
CEBR3;19,43;10,16;7,77;1,26;0,92;53,68;59,70;46,17;6,01;3,35;-2,92;-0,61;3,59;1,79;-2,14;9,39;16,18;11,79;12,96;0,73;0,10;0,26;-33,77;8,66;135.195,48;15,47;2,50;2,37;1.462.748.571,45
CEBR5;19,53;10,10;7,81;1,26;0,92;53,68;59,70;46,17;6,04;3,35;-2,92;-0,61;3,60;1,80;-2,15;9,39;16,18;11,79;12,96;0,73;0,10;0,26;-33,77;8,66;90.581,79;15,47;2,50;2,38;1.462.748.571,45
CEBR6;21,15;10,26;8,45;1,37;1,00;53,68;59,70;46,17;6,54;3,35;-2,92;-0,61;3,90;1,95;-2,33;9,39;16,18;11,79;12,96;0,73;0,10;0,26;-33,77;8,66;100.255,33;15,47;2,50;2,58;1.462.748.571,45
CEEB3;37,48;2,98;5,59;1,25;0,31;30,25;24,16;10,51;2,43;6,70;3,63;1,87;0,59;-8,21;-0,38;0,83;22,35;5,62;16,04;0,25;0,75;0,53;10,09;11,71;20.510,31;29,98;6,70;-1,91;12.377.646.030,36
CEEB5;37,43;2,99;5,59;1,25;0,31;30,25;24,16;10,51;2,43;6,70;3,63;1,87;0,59;-8,20;-0,38;0,83;22,35;5,62;16,04;0,25;0,75;0,53;10,09;11,71;1.299,67;29,98;6,70;-1,91;12.377.646.030,36
CEEB6;60,68;2,03;9,06;2,02;0,51;30,25;24,16;10,51;3,94;6,70;3,63;1,87;0,95;-13,30;-0,62;0,83;22,35;5,62;16,04;0,25;0,75;0,53;10,09;11,71;;29,98;6,70;-3,09;12.377.646.030,36
CEED3;7,00;;-1,01;-0,13;0,06;19,29;6,76;-8,45;1,26;14,37;13,11;;0,09;1,57;-0,08;1,13;-13,14;-5,76;15,82;-0,44;1,44;0,68;9,53;;5.001,25;-53,00;-6,96;-0,29;479.916.692,00
CEED4;20,00;;-2,87;-0,38;0,17;19,29;6,76;-8,45;3,59;14,37;13,11;;0,24;4,49;-0,24;1,13;-13,14;-5,76;15,82;-0,44;1,44;0,68;9,53;;0,00;-53,00;-6,96;-0,84;479.916.692,00
CEGR3;96,72;;46,03;15,00;5,24;28,09;18,21;10,81;27,32;28,00;0,68;0,38;4,97;-152,55;-7,25;0,89;32,59;11,39;24,48;0,35;0,65;1,05;2,19;7,91;0,00;6,45;2,10;-6,80;25.112.161.439,04
CEPE3;125,26;;77,24;5,46;0,67;21,24;13,97;1,50;8,27;14,44;6,78;4,48;1,16;322,27;-0,87;1,01;7,07;0,87;11,20;0,12;0,88;0,58;6,27;-7,77;;22,93;1,62;0,12;8.662.392.210,18
CEPE5;40,12;;24,74;1,75;0,22;21,24;13,97;1,50;2,65;14,44;6,78;4,48;0,37;103,22;-0,28;1,01;7,07;0,87;11,20;0,12;0,88;0,58;6,27;-7,77;;22,93;1,62;0,04;8.662.392.210,18
CEPE6;43,00;;26,52;1,88;0,23;21,24;13,97;1,50;2,84;14,44;6,78;4,48;0,40;110,63;-0,30;1,01;7,07;0,87;11,20;0,12;0,88;0,58;6,27;-7,77;;22,93;1,62;0,04;8.662.392.210,18
CESP3;25,55;;7,50;1,05;0,57;31,72;132,40;72,05;4,08;5,04;0,98;0,25;5,41;4,82;-0,69;3,32;13,95;7,61;11,33;0,55;0,45;0,11;-1,33;-0,84;;24,40;3,40;-0,03;8.302.192.833,55
CESP5;25,00;;7,34;1,02;0,56;31,72;132,40;72,05;4,00;5,04;0,98;0,25;5,29;4,71;-0,67;3,32;13,95;7,61;11,33;0,55;0,45;0,11;-1,33;-0,84;;24,40;3,40;-0,03;8.302.192.833,55
CESP6;25,25;;7,42;1,03;0,56;31,72;132,40;72,05;4,04;5,04;0,98;0,25;5,34;4,76;-0,68;3,32;13,95;7,61;11,33;0,55;0,45;0,11;-1,33;-0,84;;24,40;3,40;-0,03;8.302.192.833,55
CGAS3;125,00;8,56;9,43;11,66;1,18;22,49;20,87;11,79;5,33;7,69;2,36;5,18;1,11;9,22;-1,60;1,95;123,69;12,52;24,30;0,10;0,90;1,06;10,17;5,14;16.886,73;10,72;13,26;-0,31;16.565.073.375,00
CGAS5;130,05;8,40;9,81;12,14;1,23;22,49;20,87;11,79;5,54;7,69;2,36;5,18;1,16;9,59;-1,67;1,95;123,69;12,52;24,30;0,10;0,90;1,06;10,17;5,14;85.121,11;10,72;13,26;-0,32;16.565.073.375,00
CLSC3;95,99;6,72;5,03;0,96;0,28;17,23;11,83;6,67;2,84;5,62;2,65;0,90;0,34;3,96;-0,40;1,28;19,06;5,48;13,06;0,29;0,71;0,82;5,86;21,03;7.474,00;100,17;19,09;0,17;3.874.168.202,39
CLSC4;103,44;7,41;5,42;1,03;0,30;17,23;11,83;6,67;3,06;5,62;2,65;0,90;0,36;4,27;-0,44;1,28;19,06;5,48;13,06;0,29;0,71;0,82;5,86;21,03;238.561,52;100,17;19,09;0,19;3.874.168.202,39
CMIG3;14,94;13,36;6,11;1,53;0,67;19,63;23,79;17,25;4,43;4,63;1,09;0,38;1,05;49,24;-0,88;1,06;25,09;10,96;17,72;0,44;0,56;0,64;9,42;17,50;2.225.245,05;9,75;2,45;0,23;34.162.659.783,46
CMIG4;10,43;17,56;4,26;1,07;0,47;19,63;23,79;17,25;3,09;4,63;1,09;0,38;0,74;34,38;-0,62;1,06;25,09;10,96;17,72;0,44;0,56;0,64;9,42;17,50;88.602.611,62;9,75;2,45;0,16;34.162.659.783,46
COCE3;26,00;;6,03;0,43;0,15;17,89;12,97;4,40;2,05;7,08;4,98;1,05;0,27;-0,65;-0,19;0,48;7,19;2,49;9,57;0,35;0,65;0,57;9,44;-1,69;4.708,00;59,96;4,31;2,60;2.301.756.485,20
COCE5;27,76;;6,44;0,46;0,16;17,89;12,97;4,40;2,19;7,08;4,98;1,05;0,28;-0,69;-0,20;0,48;7,19;2,49;9,57;0,35;0,65;0,57;9,44;-1,69;159.042,86;59,96;4,31;2,78;2.301.756.485,20
COCE6;12,83;;2,98;0,21;0,07;17,89;12,97;4,40;1,01;7,08;4,98;1,05;0,13;-0,32;-0,09;0,48;7,19;2,49;9,57;0,35;0,65;0,57;9,44;-1,69;0,00;59,96;4,31;1,28;2.301.756.485,20
CPFE3;38,10;7,33;8,23;1,97;0,56;31,69;25,03;12,37;4,07;6,32;2,25;1,09;1,02;-176,28;-0,72;0,99;23,97;6,78;16,11;0,28;0,70;0,55;7,33;14,56;38.151.102,29;19,31;4,63;-1,68;43.900.894.164,00
CPLE3;11,11;6,69;11,26;1,26;0,55;22,10;19,07;12,73;7,51;10,72;2,89;0,48;1,43;6,29;-0,75;1,48;11,20;4,89;8,44;0,44;0,56;0,38;6,88;8,15;44.520.488,48;8,81;0,99;0,31;34.535.470.197,54
CPLE5;12,85;6,35;13,02;1,46;0,64;22,10;19,07;12,73;8,69;10,72;2,89;0,48;1,66;7,28;-0,87;1,48;11,20;4,89;8,44;0,44;0,56;0,38;6,88;8,15;4.080,50;8,81;0,99;0,36;34.535.470.197,54
