TICKER,preco_inicial,preco_final,retorno_total_sem_div_pct,retorno_total_com_div_pct,retorno_anual_sem_div_pct,retorno_anual_com_div_pct,efeito_dividendos_total_pct,efeito_dividendos_anual_pct,dividendos_totais_pagos,dividend_yield_periodo_pct,volatilidade_anual_pct,n_dias_negociacao,contrib_dividendos
LAVV3,7.3,15.83,116.85,270.92,16.74,29.97,154.07,13.23,4.69,64.29,36.55,1267,56.86918647571238
UNIP3,31.65,58.06,83.43,238.05,12.9,27.58,154.62,14.68,41.07,129.75,30.52,1267,64.95274102079395
POMO3,2.62,5.64,115.13,237.57,16.56,27.55,122.44,10.99,2.31,88.26,36.09,1267,51.53849391758219
SYNE3,14.34,5.0,-65.13,85.79,-19.0,13.19,150.92,32.19,15.6,108.78,55.76,1267,100.0
BALM4,17.7,17.89,1.07,55.29,0.21,9.2,54.22,8.99,7.01,39.61,46.9,1267,98.06474950262253
JHSF3,7.64,7.95,4.06,47.68,0.8,8.11,43.62,7.31,1.77,23.13,38.83,1267,91.48489932885906
IGTI11,20.46,25.2,23.17,36.35,4.26,6.4,13.19,2.14,2.06,10.05,31.71,1024,36.28610729023383
BMOB3,22.16,22.9,3.34,31.05,0.66,5.56,27.71,4.9,4.24,19.14,38.28,1216,89.24315619967794
ENGI3,11.67,12.38,6.06,27.0,1.18,4.9,20.94,3.71,2.17,18.57,41.73,1267,77.55555555555556
GRND3,8.41,5.39,-35.91,6.1,-8.51,1.19,42.01,9.7,3.58,42.62,32.11,1267,100.0
TEND3,28.59,24.95,-12.73,-9.41,-2.69,-1.96,3.31,0.73,0.75,2.63,62.68,1267,0.0
BLAU3,41.1,13.02,-68.32,-62.56,-20.54,-17.84,5.76,2.7,2.91,7.08,42.61,1172,0.0
DASA3,59.7,4.36,-92.7,-92.61,-40.75,-40.6,0.09,0.15,0.59,0.98,70.73,1267,0.0
BHIA3,409.03,3.01,-99.26,-99.26,-62.56,-62.56,0.0,0.0,0.0,0.0,77.69,1267,-0.0
