TICKER,preco_inicial,preco_final,retorno_total_sem_div_pct,retorno_total_com_div_pct,retorno_anual_sem_div_pct,retorno_anual_com_div_pct,efeito_dividendos_total_pct,efeito_dividendos_anual_pct,dividendos_totais_pagos,dividend_yield_periodo_pct,volatilidade_anual_pct,n_dias_negociacao,contrib_dividendos
UNIP3,3.57,58.06,1525.68,4968.25,32.16,48.08,3442.57,15.92,46.95,1314.47,38.04,2510,69.29140039249233
DIRR3,1.18,14.01,1085.5,2315.55,28.05,37.5,1230.05,9.45,4.96,419.35,42.29,2510,53.121288678715636
VULC3,1.78,19.78,1013.73,1799.12,27.26,34.23,785.39,6.98,9.84,554.04,55.97,2510,43.65411979189827
CPLE3,1.93,12.93,569.25,1142.55,20.94,28.66,573.3,7.72,3.28,169.68,33.63,2510,50.177235131941714
ISAE4,10.84,27.77,156.24,1062.37,9.87,27.8,906.13,17.93,29.79,274.91,27.71,2499,85.29325941056318
ITSA3,4.68,11.8,152.16,418.14,9.69,17.88,265.99,8.19,6.43,137.46,25.65,2510,63.61266561438753
EZTC3,8.28,13.63,64.7,172.2,5.12,10.53,107.5,5.42,6.91,83.46,45.33,2510,62.427409988385605
TAEE4,12.0,13.62,13.5,165.98,1.27,10.28,152.48,9.0,9.39,78.28,23.47,2153,91.86648993854682
NEOE3,16.96,32.32,90.57,148.25,6.66,9.52,57.68,2.86,4.83,28.46,29.35,1617,38.90725126475548
BRKM5,25.64,7.53,-70.63,-55.77,-11.53,-7.83,14.86,3.7,17.62,68.71,51.38,2510,0.0
