TICKER,preco_inicial,preco_final,retorno_total_sem_div_pct,retorno_total_com_div_pct,retorno_anual_sem_div_pct,retorno_anual_com_div_pct,efeito_dividendos_total_pct,efeito_dividendos_anual_pct,dividendos_totais_pagos,dividend_yield_periodo_pct,volatilidade_anual_pct,n_dias_negociacao,contrib_dividendos
VULC3,1.78,19.78,1013.73,1799.12,27.26,34.23,785.39,6.98,9.84,554.04,55.97,2510,43.65411979189827
SAPR4,1.17,7.65,555.71,1204.87,20.69,29.29,649.15,8.6,2.68,229.61,33.22,2510,53.87718177064747
ISAE4,10.84,27.77,156.24,1062.37,9.87,27.8,906.13,17.93,29.79,274.91,27.71,2499,85.29325941056318
FESA4,1.77,6.98,293.79,736.55,14.69,23.67,442.76,8.98,4.97,280.56,39.12,2510,60.11268752969927
ITSA4,4.61,11.59,151.62,438.08,9.67,18.33,286.46,8.66,6.57,142.69,27.98,2510,65.38988312636961
POMO4,2.38,5.92,148.52,302.18,9.53,14.93,153.66,5.4,2.66,111.88,42.43,2510,50.85048646502085
RANI3,3.28,8.58,161.59,301.49,10.09,14.91,139.91,4.82,3.23,98.6,51.56,2510,46.40618262628943
SAPR11,19.58,39.86,103.54,227.12,7.37,12.58,123.58,5.22,11.17,57.05,30.0,1989,54.41176470588235
MRVE3,7.8,7.74,-0.77,37.87,-0.08,3.26,38.64,3.34,4.51,57.83,46.71,2510,100.0
BMOB3,22.16,22.9,3.34,31.05,0.33,2.74,27.71,2.41,4.24,19.14,38.28,1216,89.24315619967794
VLID3,38.88,21.07,-45.81,-10.69,-5.94,-1.12,35.13,4.82,9.2,23.66,46.25,2510,0.0
