point,brazilian_stocks,fiis,international_equity,fixed_income,crypto,total_return,annualized_return,annualized_volatility,max_drawdown,calmar,hhi,feasible
1,0.2,0.2,0.2,0.2,0.2,0.8430655811607919,0.22600828813490592,0.1382189917645577,-0.11256004986585422,2.0078907961062207,0.20000000000000004,True
2,0.2,0.19,0.2,0.2,0.21,0.8625544631011588,0.2303134999987564,0.14303944115384293,-0.11706492865153417,1.9673996529253261,0.20020000000000002,True
3,0.2,0.2,0.2,0.19,0.21,0.859682417133838,0.22968094068967337,0.14316335750646006,-0.11677979180737397,1.9667866942983396,0.20020000000000002,True
4,0.19,0.2,0.2,0.2,0.21,0.858617531577399,0.22944623739475967,0.14268341329868534,-0.11639680354018678,1.97124173874364,0.20020000000000002,True
5,0.2,0.2,0.19,0.2,0.21,0.8560323722133187,0.22887608888966482,0.14235975067830348,-0.11452339439364778,1.9985094757404414,0.20020000000000002,True
6,0.2,0.19,0.21,0.2,0.2,0.849589816598749,0.22745289644182498,0.13892653374588518,-0.11511917570938246,1.9758037272263675,0.20020000000000002,True
7,0.21,0.19,0.2,0.2,0.2,0.8469732660756311,0.22687394367368663,0.13860816767926112,-0.1132374500247958,2.0035239545221804,0.20020000000000002,True
8,0.2,0.19,0.2,0.21,0.2,0.8459220599803898,0.2266411938850761,0.13809439242685753,-0.11285337982683996,2.008280073072069,0.20020000000000002,True
9,0.19,0.2,0.2,0.21,0.2,0.842015615979032,0.22577548453953478,0.13772300308392274,-0.11217561719764013,2.012696610723747,0.20020000000000002,True
10,0.21,0.2,0.19,0.2,0.2,0.8404477203143781,0.22542767801096164,0.13791859993550828,-0.11066796482585062,2.036973196043672,0.20020000000000002,True
11,0.2,0.2,0.19,0.21,0.2,0.8394002840197385,0.22519521497515171,0.13740191840787433,-0.11028325356031832,2.0419710854103834,0.20020000000000002,True
12,0.2,0.21,0.19,0.2,0.2,0.8365506146284607,0.22456232585935787,0.1375283610095882,-0.1099850666206279,2.041752873905527,0.20020000000000002,True
13,0.2,0.2,0.21,0.2,0.19,0.8299695215729685,0.22309821073101865,0.13411205228078152,-0.11057872936201996,2.017550861889767,0.20020000000000002,True
14,0.21,0.2,0.2,0.2,0.19,0.827326334584128,0.2225091849949763,0.1337974608420929,-0.1086744383264231,2.047484104096588,0.20020000000000002,True
15,0.2,0.2,0.2,0.21,0.19,0.8262911058149214,0.22227833277181674,0.13326458835562402,-0.1082883894953166,2.0526515705677766,0.20020000000000002,True
16,0.2,0.21,0.2,0.2,0.19,0.8234529498469649,0.2216449865681458,0.13339248078594196,-0.1079857546911035,2.052539126129812,0.20020000000000002,True
17,0.2,0.19,0.21,0.19,0.21,0.8662069056167983,0.23111700053455797,0.14385769889594516,-0.11931049883582157,1.9371053074934244,0.2004,True
18,0.19,0.19,0.21,0.2,0.21,0.8651382288766423,0.23088201101632788,0.14338038192673083,-0.1189281495231197,1.9413571298479195,0.2004,True
19,0.21,0.19,0.2,0.19,0.21,0.8636206019154793,0.23054814828055292,0.14353667362247546,-0.11744755650577421,1.9629880360194485,0.2004,True
20,0.19,0.19,0.2,0.21,0.21,0.8614884422338385,0.2300787881208235,0.14256076858309724,-0.1166824621960636,1.9718369306795913,0.2004,True
21,0.21,0.19,0.19,0.2,0.21,0.8599637025341027,0.22974292169569477,0.14273499821120084,-0.11519515137571035,1.9943801362471023,0.2004,True
22,0.2,0.19,0.19,0.21,0.21,0.8589002193403916,0.22950855118572266,0.14223634983993852,-0.11481240718560437,1.9989873639240214,0.2004,True
23,0.19,0.2,0.19,0.21,0.21,0.8549701398160163,0.22864166350389703,0.1418784763559909,-0.11414028992391445,2.0031635074372844,0.2004,True
24,0.19,0.21,0.19,0.2,0.21,0.8521060210320399,0.22800913122715483,0.1420028764201936,-0.11384987120830081,2.002717515683326,0.2004,True
25,0.21,0.19,0.21,0.19,0.2,0.8506436701802635,0.22768592378351982,0.13943865105331138,-0.11550312979750033,1.9712532827698952,0.2004,True
26,0.19,0.19,0.21,0.21,0.2,0.8485360793787042,0.22721980630190908,0.13843339945372782,-0.11473538431507968,1.9803812717263507,0.2004,True
27,0.21,0.19,0.19,0.21,0.2,0.8433011009565357,0.2260604966334412,0.1377932205766909,-0.1109647123363543,2.0372286997708837,0.2004,True
28,0.19,0.21,0.19,0.21,0.2,0.8355044163032475,0.22432980914538625,0.13702954864406533,-0.10959999208621274,2.046804975760633,0.2004,True
29,0.21,0.19,0.21,0.2,0.19,0.8338534837724292,0.2239627109465936,0.13451576084080127,-0.1112618480822607,2.012933586911196,0.2004,True
30,0.2,0.19,0.21,0.21,0.19,0.83281450163433,0.22373157188329018,0.13398608536394038,-0.11087644357104787,2.017845853253099,0.2004,True
31,0.21,0.19,0.2,0.21,0.19,0.8301681882953154,0.22314246004625038,0.13367068396657714,-0.10897561231317154,2.0476366712672265,0.2004,True
32,0.19,0.2,0.21,0.21,0.19,0.828931770465412,0.22286701890670324,0.1336005911208289,-0.11019296017495961,2.022515944329335,0.2004,True
33,0.21,0.2,0.19,0.21,0.19,0.823643563180231,0.22168754329987972,0.13296786388811205,-0.10637702395699589,2.0839795573666304,0.2004,True
34,0.19,0.21,0.2,0.21,0.19,0.8224189491642566,0.22141408171099397,0.13287791225159723,-0.10759934038499253,2.057764303375561,0.2004,True
35,0.21,0.21,0.19,0.2,0.19,0.8208085364531981,0.22105428304977015,0.133096580235689,-0.10607089351048937,2.0840239554304314,0.2004,True
36,0.2,0.21,0.19,0.21,0.19,0.8197770558711333,0.22082371801148426,0.13256054462214154,-0.10568419980399679,2.089467663293346,0.2004,True
