point,brazilian_stocks,fiis,international_equity,fixed_income,crypto,total_return,annualized_return,annualized_volatility,max_drawdown,calmar,hhi,feasible
1,0.25,0.21,0.24,0.23,0.07,0.6515108366608393,0.18198121969617764,0.08925680309989241,-0.05772293336318324,3.152667563707853,0.222,True
2,0.25,0.2,0.24,0.24,0.07,0.6541749006424302,0.18261628745987046,0.08907759809453107,-0.05805654757091738,3.1454899593676413,0.2226,True
3,0.25,0.2,0.25,0.23,0.07,0.6580658454406711,0.18354259868289913,0.09017239787682019,-0.060441765145675785,3.036684951879345,0.2228,True
4,0.24,0.2,0.26,0.23,0.07,0.6602565527904427,0.18406349940952027,0.09007619928452837,-0.062243783927038665,2.9571386538015916,0.223,True
5,0.26,0.2,0.24,0.23,0.07,0.6558636888501164,0.1830185128996018,0.0903384665068219,-0.05892667401594076,3.1058687081183622,0.223,True
6,0.25,0.19,0.25,0.24,0.07,0.6607369368109002,0.18417766260772295,0.08999713424534651,-0.06077007599597051,3.0307295093712776,0.2236,True
7,0.25,0.19,0.24,0.25,0.07,0.656841469506156,0.18325126981690976,0.08890186811057853,-0.058389110865458504,3.1384493975111463,0.2236,True
8,0.23,0.2,0.27,0.23,0.07,0.6624358250507048,0.18458122663904808,0.09005024175750778,-0.06438637681701864,2.8667745533129527,0.22360000000000002,True
9,0.24,0.19,0.26,0.24,0.07,0.662930956157878,0.18469879128035438,0.08990240611076598,-0.06256882687675935,2.9519299066314946,0.2238,True
10,0.26,0.19,0.24,0.24,0.07,0.6585314604901822,0.1836533498081081,0.0901618138951436,-0.05896651614021997,3.11453621189673,0.2238,True
11,0.25,0.19,0.26,0.23,0.07,0.6646310594104909,0.18510228867718648,0.09111113067473155,-0.06314387405628408,2.9314369991330156,0.224,True
12,0.26,0.19,0.25,0.23,0.07,0.662431842725967,0.18458028097550794,0.09124398876641446,-0.06134620072141328,3.0088298672924827,0.224,True
13,0.26,0.19,0.23,0.25,0.07,0.6546297343908223,0.18272464396178756,0.08909912117651174,-0.05801533236290135,3.149592297753226,0.224,True
14,0.24,0.19,0.27,0.23,0.07,0.6668188238065849,0.18562112202243486,0.0910474279093587,-0.06493676131654003,2.8584906031517057,0.22440000000000002,True
15,0.27,0.19,0.24,0.23,0.07,0.6602211596017076,0.18405508735188847,0.09144555933754908,-0.06051992970904119,3.04123101657192,0.22440000000000002,True
16,0.25,0.18,0.25,0.25,0.07,0.6634105362574063,0.18481264121925522,0.0898253101742062,-0.0610973558194714,3.0248877179780735,0.2248,True
17,0.24,0.22,0.24,0.24,0.06,0.6285672723732965,0.17648338054400647,0.08444772174206742,-0.055229932145780425,3.195429972250832,0.2248,True
18,0.22,0.24,0.24,0.24,0.06,0.6199583498067647,0.1744071504294309,0.08233054272648711,-0.05312528507973091,3.2829405087931116,0.2248,True
19,0.24,0.2,0.28,0.21,0.07,0.6680219116921948,0.18590624359885877,0.09238265460155268,-0.0670014360411808,2.7746605831641578,0.225,True
20,0.25,0.18,0.26,0.24,0.07,0.6673091809407863,0.18573734904488726,0.09093971622699343,-0.06346694033643463,2.9265212417725537,0.225,True
