point,brazilian_stocks,fiis,international_equity,fixed_income,crypto,total_return,annualized_return,annualized_volatility,max_drawdown,calmar,hhi,feasible
1,0.2,0.2,0.2,0.2,0.2,0.8602262794583562,0.22980077466468396,0.1401370386550294,-0.10681566274814569,2.151377136577035,0.20000000000000004,True
2,0.2,0.19,0.2,0.2,0.21,0.8797626117190995,0.23408998507462897,0.14488406726656894,-0.11137406503768166,2.101835692137378,0.20020000000000002,True
3,0.2,0.2,0.2,0.19,0.21,0.8768861844421685,0.2334603360034304,0.1450140863579374,-0.11107962311224928,2.1017386399259905,0.20020000000000002,True
4,0.19,0.2,0.2,0.2,0.21,0.8749627937368079,0.23303894732574526,0.14437791443631473,-0.11098258589800403,2.0997793972823295,0.20020000000000002,True
5,0.2,0.2,0.19,0.2,0.21,0.873197405803386,0.23265192115335465,0.14421851187326004,-0.1088094255475357,2.138159630773124,0.20020000000000002,True
6,0.2,0.19,0.21,0.2,0.2,0.8667941517005475,0.23124609088589176,0.1408293461003991,-0.10939813149611066,2.1138029299349874,0.20020000000000002,True
7,0.21,0.19,0.2,0.2,0.2,0.864994557026145,0.23085041241134574,0.14068640518716855,-0.10721470714785841,2.153159940016279,0.20020000000000002,True
8,0.2,0.19,0.2,0.21,0.2,0.8630871193266276,0.23043074439272648,0.14000618323894262,-0.10711844049359232,2.151177176692659,0.20020000000000002,True
9,0.21,0.2,0.2,0.19,0.2,0.8621323764688595,0.23022057749782987,0.1408187497350167,-0.10691197934019747,2.153365590260567,0.20020000000000002,True
10,0.21,0.2,0.19,0.2,0.2,0.858423110320657,0.2294033768116852,0.14001292133342677,-0.10462059312667349,2.1927172266546613,0.20020000000000002,True
11,0.19,0.2,0.2,0.21,0.2,0.8583201000686962,0.22938066676906144,0.139479809424366,-0.10671940837689253,2.1493809819388785,0.20020000000000002,True
12,0.2,0.2,0.19,0.21,0.2,0.856521650528757,0.2289840382376347,0.13932878074918367,-0.10452486750272849,2.190713499174322,0.20020000000000002,True
13,0.2,0.21,0.19,0.2,0.2,0.8536676293625105,0.22835408866010698,0.1394614756500694,-0.10421715661920394,2.1911371991704147,0.20020000000000002,True
14,0.2,0.2,0.21,0.2,0.19,0.8471230795077762,0.2269071069946751,0.13609178915817985,-0.104803605098724,2.1650696727553482,0.20020000000000002,True
15,0.21,0.2,0.2,0.2,0.19,0.845293542777275,0.22650199032953378,0.13595917341559255,-0.10259463056814944,2.207737277040807,0.20020000000000002,True
16,0.2,0.2,0.2,0.21,0.19,0.8434048002224401,0.22608348260287903,0.13525425508792394,-0.10249912369962877,2.20571137042509,0.20020000000000002,True
17,0.2,0.21,0.2,0.2,0.19,0.8405623024419187,0.22545310247102712,0.13538850877168243,-0.10218686349143691,2.206282635242246,0.20020000000000002,True
18,0.2,0.19,0.21,0.19,0.21,0.8834537319200089,0.23489702979751792,0.1456941350248526,-0.11363333369899142,2.0671489795392914,0.2004,True
19,0.21,0.19,0.2,0.19,0.21,0.8816872885644416,0.2345109376113852,0.14554265510923753,-0.11147111109593,2.103782184512087,0.2004,True
20,0.19,0.19,0.21,0.2,0.21,0.8815243758508304,0.2344753175491079,0.14506154180320452,-0.11353577670055948,2.065210846863854,0.2004,True
21,0.21,0.19,0.19,0.2,0.21,0.8779896821088318,0.2337019673295071,0.1447497068822433,-0.10920425598809991,2.1400444993185412,0.2004,True
22,0.19,0.19,0.2,0.21,0.21,0.8778378688010859,0.2336687306007399,0.1442493880201911,-0.11127708119489632,2.099881917207018,0.2004,True
23,0.2,0.19,0.19,0.21,0.21,0.8760696239415371,0.23328147391846277,0.1440889649056569,-0.10910778738753202,2.138082711638971,0.2004,True
24,0.21,0.2,0.19,0.19,0.21,0.8751161144861686,0.23307254838011837,0.1448807268984234,-0.10890594558819722,2.140126942760578,0.2004,True
25,0.19,0.2,0.19,0.21,0.21,0.8712786283371363,0.23223099146999537,0.14358028977428655,-0.10871296757572069,2.1361848236572327,0.2004,True
26,0.2,0.21,0.19,0.19,0.21,0.8703277821406648,0.2320222939945158,0.14435028069501746,-0.1085101506195485,2.138254280081297,0.2004,True
27,0.21,0.19,0.21,0.19,0.2,0.8687062265307073,0.23166622191124242,0.1415070999589608,-0.10949498287429882,2.115770200879407,0.2004,True
28,0.19,0.21,0.19,0.2,0.21,0.8684103539553703,0.2316012300004564,0.143710570795614,-0.10841364147237931,2.1362738752711463,0.2004,True
29,0.19,0.19,0.21,0.21,0.2,0.8648819972020052,0.23082565532556032,0.14017598394808964,-0.10930134249118595,2.11182818128857,0.2004,True
30,0.21,0.19,0.19,0.21,0.2,0.8612810568589984,0.23003311649075142,0.13988102570108987,-0.10492731161188362,2.192309256350935,0.2004,True
