point,brazilian_stocks,fiis,international_equity,fixed_income,crypto,total_return,annualized_return,annualized_volatility,max_drawdown,calmar,hhi,feasible
1,0.2,0.2,0.2,0.2,0.2,0.9160140659705023,0.24197091582178132,0.1412425934312694,-0.1018162779082823,2.376544505385991,0.20000000000000004,True
2,0.2,0.19,0.2,0.2,0.21,0.9359584505665661,0.24626442142885674,0.14595251269397183,-0.10638380119577484,2.3148676646331134,0.20020000000000002,True
3,0.2,0.2,0.2,0.19,0.21,0.9330271919394444,0.24563525242664452,0.14608724592839056,-0.10608364856778296,2.315486465095457,0.20020000000000002,True
4,0.2,0.2,0.19,0.2,0.21,0.9292572576129885,0.2448251331611666,0.14529851755591652,-0.10382005388761129,2.3581680416598325,0.20020000000000002,True
5,0.21,0.19,0.2,0.2,0.2,0.9236920671838134,0.24362730087391715,0.14186386882455848,-0.10197067382575387,2.3891898693365925,0.20020000000000002,True
6,0.21,0.2,0.2,0.19,0.2,0.9207724741462915,0.24299797360836806,0.14200127207353097,-0.10166196186317766,2.3902546159340137,0.20020000000000002,True
7,0.2,0.19,0.2,0.21,0.2,0.9189295609153938,0.2426003995672834,0.14110682032974642,-0.10212475354625739,2.3755298411310006,0.20020000000000002,True
8,0.21,0.2,0.19,0.2,0.2,0.9169776946186494,0.24217904324378603,0.14120328703257812,-0.09937768554431448,2.436955961665998,0.20020000000000002,True
9,0.2,0.2,0.19,0.21,0.2,0.912228068647776,0.24115252827874722,0.1404416863452226,-0.09953225119373355,2.422858172969064,0.20020000000000002,True
10,0.2,0.21,0.19,0.2,0.2,0.9093194620338512,0.24052306488873376,0.14057930389721324,-0.0992188578205575,2.4241668385634143,0.20020000000000002,True
11,0.21,0.2,0.2,0.2,0.19,0.9035604805567341,0.2392748515887222,0.13717863172443823,-0.09734134159679586,2.4581010253571263,0.20020000000000002,True
12,0.2,0.2,0.2,0.21,0.19,0.8988375009912888,0.23824930295086477,0.13639456213503345,-0.09749662187450325,2.4436672611850803,0.20020000000000002,True
13,0.2,0.21,0.2,0.2,0.19,0.8959405484581489,0.23761941636760375,0.13653390046870165,-0.0971786670372452,2.445180857199168,0.20020000000000002,True
14,0.21,0.21,0.2,0.19,0.19,0.9006594516743798,0.2386451229308879,0.13731960937617077,-0.09702314673529366,2.4596720572460784,0.20039999999999997,True
15,0.21,0.19,0.2,0.19,0.21,0.9407561857112594,0.24729284411787655,0.1466858595033668,-0.10623067090581595,2.3278855532892777,0.2004,True
16,0.21,0.19,0.19,0.2,0.21,0.936973241359476,0.2464820893739561,0.14590017577022,-0.10397072447013023,2.370687427928503,0.2004,True
17,0.21,0.2,0.19,0.19,0.21,0.934042124026784,0.245853170664875,0.1460360942656095,-0.1036664436454734,2.371579095600722,0.2004,True
18,0.2,0.19,0.19,0.21,0.21,0.9321842615227987,0.24545420703767395,0.14516421056964215,-0.10412410054271515,2.357323672025196,0.2004,True
19,0.21,0.19,0.21,0.19,0.2,0.9274892714521883,0.2444448479266812,0.14267654789630127,-0.1042439368705802,2.3449310843868236,0.2004,True
20,0.2,0.21,0.19,0.19,0.21,0.9263328722290227,0.24419598624684147,0.14543500599984355,-0.10351508262341835,2.359037736898803,0.2004,True
21,0.19,0.2,0.19,0.21,0.21,0.9244783549777791,0.24379667876816535,0.1445863122664217,-0.10397366280257336,2.3447926349491977,0.2004,True
22,0.21,0.19,0.19,0.21,0.2,0.9198930057797792,0.24280827650740333,0.1410662831694898,-0.0996903600778345,2.43562443066539,0.2004,True
23,0.21,0.21,0.19,0.19,0.2,0.9140649963252607,0.24154973644417832,0.14134252779895917,-0.09906405435261689,2.4383187022043935,0.2004,True
24,0.21,0.19,0.21,0.2,0.19,0.9102770640519597,0.24073037398936492,0.13786565484948177,-0.09995241523192722,2.4084497951428174,0.2004,True
25,0.21,0.2,0.21,0.19,0.19,0.9073691257603624,0.2401006265140948,0.1380047147621467,-0.09963920383427038,2.409700371687569,0.2004,True
26,0.21,0.19,0.2,0.21,0.19,0.9064641170965857,0.23990450587753642,0.13703995192392948,-0.09765856145488616,2.456563995040634,0.2004,True
27,0.21,0.2,0.19,0.21,0.19,0.8997500202242843,0.23844757999001875,0.13636805073915084,-0.09503629767718158,2.5090158793851094,0.2004,True
28,0.21,0.21,0.19,0.2,0.19,0.8968532935163847,0.23781794441552528,0.1365086653988368,-0.09471405688836332,2.5109044235728843,0.2004,True
29,0.2,0.21,0.19,0.21,0.19,0.8921431994019631,0.2367927832589738,0.13571969064669043,-0.09486983070612731,2.495975606749767,0.2004,True
30,0.2,0.19,0.2,0.19,0.22,0.9528201476343248,0.24987135679268357,0.15079173949298877,-0.1105916842860949,2.2594045692104614,0.2006,True
31,0.2,0.19,0.19,0.2,0.22,0.9490624578342777,0.24906934183663765,0.15001492188099053,-0.1083520244839159,2.298705012877819,0.2006,True
32,0.2,0.2,0.19,0.19,0.22,0.9461198405683429,0.24844057018177623,0.1501483626783494,-0.10805618981380183,2.2991794418244735,0.2006,True
33,0.21,0.18,0.2,0.2,0.21,0.9436941858944239,0.24792178509838436,0.14655167681570885,-0.10653014901728819,2.3272452670478336,0.2006,True
34,0.2,0.18,0.2,0.21,0.21,0.938892330913679,0.2468935174681981,0.14581994721290567,-0.10668304659743022,2.314271342473503,0.2006,True
35,0.21,0.18,0.21,0.2,0.2,0.9304157620052849,0.2450741958319378,0.14254095172297312,-0.10454778391425512,2.3441357306333286,0.2006,True
36,0.22,0.19,0.2,0.19,0.2,0.9284605042409451,0.24465378415564687,0.14264621049858614,-0.10181659276999522,2.4028871670094323,0.2006,True
37,0.21,0.18,0.2,0.21,0.2,0.9266142762832359,0.24425655467899388,0.14172868809074154,-0.10227844702267208,2.3881527515259346,0.2006,True
38,0.2,0.2,0.18,0.21,0.21,0.9254854364317309,0.24401355146591963,0.14452478778972364,-0.10154945961268036,2.402903495465277,0.2006,True
39,0.22,0.19,0.19,0.2,0.2,0.9246526456220734,0.24383421727520194,0.14185165321986254,-0.09953603017789392,2.449708078968126,0.2006,True
40,0.22,0.2,0.19,0.19,0.2,0.9217332390277917,0.24320513980011293,0.14199025760758088,-0.09922311855130461,2.451093488604277,0.2006,True
41,0.2,0.19,0.19,0.22,0.2,0.9151392864777927,0.2417819178646179,0.1403063201721215,-0.09984468863829044,2.4215801677796462,0.2006,True
42,0.21,0.2,0.18,0.21,0.2,0.9131810638896685,0.24135863100181654,0.14042064854949218,-0.09759137041162069,2.4731554642978635,0.2006,True
43,0.22,0.19,0.2,0.2,0.19,0.9111970584359901,0.24092947624748362,0.13784823692003337,-0.09750351910989541,2.4709823650152978,0.2006,True
44,0.21,0.21,0.18,0.2,0.2,0.910272647895396,0.24072941810464377,0.14055950586995888,-0.09737248912695329,2.472252894662918,0.2006,True
45,0.22,0.2,0.2,0.19,0.19,0.9082893417932434,0.24029997906968537,0.13798853218099602,-0.0971860599631208,2.4725766139801535,0.2006,True
46,0.2,0.21,0.18,0.21,0.2,0.9055358948785464,0.23970329023610537,0.13979341101307702,-0.09714412647820558,2.4675016280050976,0.2006,True
47,0.22,0.2,0.19,0.2,0.19,0.9044700573490587,0.23947216237636448,0.13718132815546175,-0.0950066077093763,2.520584285136314,0.2006,True
48,0.2,0.19,0.2,0.22,0.19,0.901737059530282,0.23887911489274627,0.13625753730035708,-0.09781360244807258,2.4421870671777244,0.2006,True
49,0.2,0.2,0.19,0.22,0.19,0.8950358545221682,0.23742257659812016,0.13558072276356378,-0.09519183068831816,2.4941486562591804,0.2006,True
50,0.21,0.2,0.21,0.2,0.18,0.8900123606237078,0.2363284430200001,0.13319783548285272,-0.09528631662772513,2.4801928690696857,0.2006,True
51,0.2,0.22,0.19,0.2,0.19,0.8892531470934606,0.23616291520077914,0.13586098761292414,-0.0945468379557044,2.497840438740241,0.2006,True
52,0.21,0.2,0.2,0.21,0.18,0.8861884089805361,0.23549427326986438,0.1323579807032213,-0.09296745698300268,2.53308287558,0.2006,True
53,0.21,0.21,0.2,0.2,0.18,0.8833035020097684,0.234864203385452,0.13250054806008627,-0.09264053448689435,2.5352207290932425,0.2006,True
54,0.2,0.21,0.2,0.21,0.18,0.8786202271379324,0.233839994386283,0.1316876026403432,-0.09279703417228735,2.5199080603388113,0.2006,True
55,0.21,0.2,0.2,0.18,0.21,0.9378208088997306,0.2466638304379012,0.14682219690813242,-0.10593028485857969,2.3285487315285263,0.20060000000000003,True
56,0.21,0.2,0.18,0.2,0.21,0.9302615484678738,0.24504104777213875,0.14526493457381787,-0.10175213245966996,2.4082153547913325,0.20060000000000003,True
57,0.21,0.19,0.19,0.19,0.22,0.9538864783798195,0.250098759499372,0.1507284419363648,-0.10819958921849226,2.3114575693474806,0.20079999999999998,True
58,0.21,0.18,0.21,0.19,0.21,0.9474794926820465,0.2487311762254818,0.14735163526982661,-0.10877929068888992,2.2865673663643933,0.20079999999999998,True
59,0.22,0.19,0.19,0.19,0.21,0.9417681887520779,0.2475095563667844,0.14666098135907277,-0.1038173470743845,2.3840866997828916,0.20079999999999998,True
60,0.21,0.18,0.19,0.21,0.21,0.9399069799643232,0.2471109354436618,0.1457664226861715,-0.10427408417132089,2.369821201571638,0.20079999999999998,True
61,0.21,0.19,0.18,0.21,0.21,0.933188403799516,0.24566987166528698,0.14512943065697112,-0.10196270530961682,2.4094091160026934,0.20079999999999998,True
