point,brazilian_stocks,fiis,international_equity,fixed_income,crypto,total_return,annualized_return,annualized_volatility,max_drawdown,calmar,hhi,feasible
1,0.23,0.21,0.23,0.21,0.12,0.7967142959243383,0.21564562671729703,0.10893553286585546,-0.07229457762064939,2.982874149273714,0.2084,True
2,0.23,0.21,0.21,0.23,0.12,0.7888774862410737,0.2138760087776157,0.10703154060887093,-0.06771681220918957,3.158388615768175,0.2084,True
3,0.23,0.23,0.21,0.21,0.12,0.7832913835552939,0.21261146178911727,0.10736436113458744,-0.06710883565347303,3.168159001997439,0.2084,True
4,0.23,0.2,0.23,0.22,0.12,0.7995201122657629,0.21627795254422422,0.10877347062425462,-0.07259358525476423,2.979298401989729,0.2086,True
5,0.23,0.2,0.22,0.23,0.12,0.7955980218607728,0.2153938773164361,0.10781253539944252,-0.07031195534358536,3.0634033183104576,0.2086,True
6,0.22,0.2,0.23,0.23,0.12,0.7950130360217382,0.21526190582535887,0.10771456891401483,-0.07272007527829905,2.9601441555382553,0.2086,True
7,0.24,0.2,0.23,0.21,0.12,0.804032775169405,0.21729356022746082,0.10985969116127707,-0.07309603034241885,2.972713555162266,0.209,True
8,0.23,0.2,0.24,0.21,0.12,0.8034406460356207,0.21716039386766006,0.10975180951135878,-0.07498765944072905,2.895948419877082,0.209,True
9,0.24,0.21,0.23,0.2,0.12,0.8012230025300839,0.21666139968695064,0.11002323085847346,-0.07279799930847508,2.9761999195728874,0.209,True
10,0.24,0.2,0.21,0.23,0.12,0.796168927859296,0.21552264479015304,0.10797154493649316,-0.06863271956397932,3.140231746015006,0.209,True
11,0.21,0.2,0.24,0.23,0.12,0.7944140074934631,0.2151267366151235,0.10767804355661562,-0.07531023621409172,2.856540457575539,0.209,True
12,0.23,0.2,0.21,0.24,0.12,0.7916743782327873,0.21450816274653528,0.10686946869944833,-0.06802366447427777,3.153434387934932,0.209,True
13,0.24,0.21,0.2,0.23,0.12,0.789438303988226,0.21400281768625207,0.10721822612809809,-0.06708599522319614,3.1899775351660415,0.209,True
14,0.24,0.23,0.2,0.21,0.12,0.7838532478485452,0.21273877247288686,0.10755400063991785,-0.06667279698509698,3.1907881788795995,0.209,True
15,0.23,0.24,0.21,0.2,0.12,0.7805021706718849,0.21197906846238168,0.10753510936557385,-0.0669021099879823,3.1684960085782006,0.209,True
16,0.23,0.24,0.2,0.21,0.12,0.7765948284687607,0.21109205190386393,0.10661058243967374,-0.06554929838856616,3.2203556268831854,0.209,True
17,0.24,0.19,0.23,0.22,0.12,0.8068451155514464,0.21792564145003457,0.1096989654467846,-0.07339315825973813,2.9692909614108234,0.2094,True
18,0.23,0.19,0.24,0.22,0.12,0.8062534889591546,0.21779272625974078,0.10959256281526863,-0.07535247758161323,2.890319379662765,0.2094,True
