TICKER,preco_inicial,preco_final,retorno_total_sem_div_pct,retorno_total_com_div_pct,retorno_anual_sem_div_pct,retorno_anual_com_div_pct,efeito_dividendos_total_pct,efeito_dividendos_anual_pct,dividendos_totais_pagos,dividend_yield_periodo_pct,volatilidade_anual_pct,n_dias_negociacao,contrib_dividendos
UNIP3,3.31,58.87,1677.64,5442.01,33.35,49.41,3764.37,16.06,46.95,1417.57,38.01,2507,69.17241974932055
VULC3,1.85,19.91,973.35,1730.26,26.79,33.74,756.91,6.95,9.84,530.46,55.93,2507,43.745448660894894
POMO3,1.53,5.55,262.67,573.54,13.75,21.01,310.87,7.26,2.4,156.86,39.32,2507,54.20197370715207
LAVV3,8.86,15.74,77.65,203.87,5.91,11.76,126.22,5.84,4.69,52.97,36.76,1326,61.91200274684848
TAEE4,12.0,14.15,17.92,176.33,1.66,10.7,158.41,9.04,9.39,78.28,23.47,2157,89.83723699880905
PTBL3,2.1,3.21,52.86,109.57,4.33,7.68,56.71,3.34,2.21,105.41,52.34,2507,51.756867755772575
MDIA3,23.62,23.86,1.0,27.51,0.1,2.46,26.51,2.36,6.76,28.61,36.57,2507,96.36495819701926
RECV3,15.27,11.01,-27.92,-4.04,-3.22,-0.41,23.88,2.81,5.42,35.46,43.42,1165,0.0
TUPY3,19.75,11.63,-41.11,-12.53,-5.16,-1.33,28.58,3.83,7.77,39.33,35.51,2507,0.0
FIQE3,8.16,4.89,-40.04,-16.99,-4.99,-1.84,23.06,3.14,1.33,16.36,42.0,1106,0.0
CEAB3,18.0,12.41,-31.06,-23.71,-3.65,-2.67,7.35,0.98,1.16,6.43,65.83,1531,0.0
COGN3,9.56,3.13,-67.27,-61.52,-10.57,-9.11,5.76,1.46,1.34,14.06,52.25,2507,0.0
MTRE3,20.24,3.65,-81.97,-70.65,-15.74,-11.54,11.32,4.21,2.46,12.14,54.16,1467,0.0
