TICKER,preco_inicial,preco_final,retorno_total_sem_div_pct,retorno_total_com_div_pct,retorno_anual_sem_div_pct,retorno_anual_com_div_pct,efeito_dividendos_total_pct,efeito_dividendos_anual_pct,dividendos_totais_pagos,dividend_yield_periodo_pct,volatilidade_anual_pct,n_dias_negociacao,contrib_dividendos
PETR3,20.13,34.28,70.29,459.02,11.23,41.09,388.73,29.85,40.02,198.83,35.78,1265,84.68694174545772
DIRR3,4.48,17.44,289.16,443.0,31.23,40.27,153.84,9.04,2.82,62.92,40.17,1265,34.72686230248307
CMIG4,5.68,11.57,103.56,286.76,15.28,31.07,183.2,15.79,5.96,104.9,27.87,1265,63.88617659366717
LAVV3,7.85,16.18,106.11,222.92,15.56,26.42,116.81,10.86,3.29,41.88,36.75,1265,52.39996411268617
FESA4,4.65,7.38,58.71,132.89,9.68,18.42,74.18,8.74,3.7,79.62,38.02,1265,55.82060350665965
MRFG3,14.79,18.25,23.43,100.55,4.3,14.93,77.12,10.63,7.91,53.48,45.45,1265,76.69816011934361
SHUL4,3.22,4.88,51.32,94.89,8.64,14.28,43.57,5.64,1.35,41.86,31.28,1265,45.91632416482243
SYNE3,14.0,4.9,-65.0,72.12,-18.94,11.47,137.12,30.41,15.18,108.42,55.58,1265,100.0
ABEV3,13.75,13.12,-4.58,24.26,-0.93,4.44,28.84,5.37,3.77,27.39,24.76,1265,100.0
BRST3,3.06,3.06,0.0,1.45,0.0,0.29,1.45,0.29,0.19,6.09,38.87,232,100.0
SIMH3,6.88,4.89,-28.87,-21.16,-6.59,-4.64,7.71,1.94,0.93,13.59,51.86,1265,0.0
TASA4,7.39,4.66,-36.95,-23.12,-8.81,-5.12,13.83,3.69,3.21,43.37,43.87,1265,0.0
BRAV3,21.0,14.62,-30.38,-30.38,-6.99,-6.99,0.0,0.0,0.0,0.0,49.0,1244,-0.0
MOAR3,208.99,70.5,-66.27,-45.99,-19.53,-11.59,20.27,7.94,154.56,73.95,34.36,1265,0.0
TRAD3,88.2,6.35,-92.8,-92.8,-40.92,-40.92,0.0,0.0,0.0,0.0,85.46,1072,-0.0
