TICKER,preco_inicial,preco_final,retorno_total_sem_div_pct,retorno_total_com_div_pct,retorno_anual_sem_div_pct,retorno_anual_com_div_pct,efeito_dividendos_total_pct,efeito_dividendos_anual_pct,dividendos_totais_pagos,dividend_yield_periodo_pct,volatilidade_anual_pct,n_dias_negociacao,contrib_dividendos
DIRR3,1.25,16.56,1226.75,2350.31,29.5,37.7,1123.57,8.19,4.96,397.05,42.24,2509,47.80518314605307
TGMA3,4.44,37.06,734.68,1346.13,23.64,30.62,611.44,6.99,14.22,320.19,41.64,2509,45.42206176223693
ISAE4,11.45,27.94,144.07,1155.33,9.33,28.79,1011.26,19.46,30.99,270.73,28.03,2498,87.5299697921806
BRSR6,6.3,14.85,135.71,402.66,8.95,17.52,266.94,8.57,9.73,154.39,37.19,2509,66.29414394278051
MILS3,3.86,13.44,248.19,320.55,13.29,15.45,72.36,2.16,1.85,47.84,53.19,2509,22.573701450631724
AGRO3,11.23,20.14,79.34,257.28,6.02,13.58,177.94,7.56,16.62,148.03,27.23,2509,69.16200248756219
LAVV3,8.86,15.79,78.22,204.84,5.95,11.79,126.62,5.84,4.69,52.97,36.83,1317,61.8140988088264
BBSE3,28.5,35.24,23.65,179.13,2.15,10.81,155.48,8.66,25.5,89.48,27.32,2509,86.7972980516943
TAEE4,12.0,13.84,15.33,170.28,1.44,10.45,154.94,9.02,9.39,78.28,23.47,2148,90.9913084331689
RECV3,15.27,10.41,-31.85,-9.27,-3.76,-0.97,22.57,2.79,5.42,35.46,43.53,1156,0.0
