TICKER,preco_inicial,preco_final,retorno_total_sem_div_pct,retorno_total_com_div_pct,retorno_anual_sem_div_pct,retorno_anual_com_div_pct,efeito_dividendos_total_pct,efeito_dividendos_anual_pct,dividendos_totais_pagos,dividend_yield_periodo_pct,volatilidade_anual_pct,n_dias_negociacao,contrib_dividendos
UNIP3,5.13,58.11,1032.78,3285.2,27.47,42.22,2252.42,14.75,46.76,911.49,36.98,2510,68.56264458784854
JHSF3,1.1,11.41,937.27,1564.97,26.35,32.48,627.69,6.12,2.59,235.87,48.37,2510,40.10875607839128
PSSA3,13.02,55.45,325.72,641.51,15.59,22.18,315.79,6.6,15.25,117.12,27.9,2510,49.226044800548706
POMO3,1.45,4.89,236.19,532.96,12.89,20.26,296.77,7.37,2.49,170.87,38.21,2510,55.683353347343136
MBRF3,5.7,16.03,181.35,357.15,10.9,16.41,175.79,5.52,7.91,138.78,47.43,2510,49.22021559568809
TAEE3,10.33,13.55,31.13,233.3,2.75,12.79,202.17,10.05,10.43,100.91,27.94,2510,86.65666523789112
CXSE3,10.01,22.42,123.98,232.91,8.4,12.78,108.93,4.38,4.93,49.23,27.22,1305,46.76913829376154
LAVV3,8.86,10.33,16.59,111.59,1.55,7.78,95.0,6.24,5.72,64.52,36.99,1463,85.13307644054126
BMOB3,22.16,23.56,6.32,35.81,0.61,3.11,29.5,2.49,4.43,19.99,38.07,1357,82.37922368053616
PFRM3,8.13,6.65,-18.21,13.85,-1.99,1.31,32.06,3.3,2.05,25.2,43.62,2510,100.0
FIQE3,8.16,5.65,-30.73,-4.08,-3.6,-0.42,26.64,3.19,1.33,16.36,41.34,1243,0.0
AZZA3,25.62,17.81,-30.48,-4.5,-3.57,-0.46,25.98,3.11,14.2,55.41,41.88,2510,0.0
SIMH3,14.7,7.31,-50.27,-43.9,-6.75,-5.62,6.37,1.13,2.0,13.63,52.56,1453,0.0
