TICKER,preco_inicial,preco_final,retorno_total_sem_div_pct,retorno_total_com_div_pct,retorno_anual_sem_div_pct,retorno_anual_com_div_pct,efeito_dividendos_total_pct,efeito_dividendos_anual_pct,dividendos_totais_pagos,dividend_yield_periodo_pct,volatilidade_anual_pct,n_dias_negociacao,contrib_dividendos
VULC3,7.65,19.91,160.37,343.99,21.09,34.73,183.61,13.64,9.84,128.68,35.48,1263,53.37655164394314
POMO4,2.26,5.88,160.46,293.65,21.1,31.53,133.19,10.43,2.13,94.13,37.87,1263,45.35671718031671
UNIP6,34.94,58.19,66.53,215.4,10.74,25.83,148.86,15.09,45.18,129.29,34.55,1263,69.10863509749305
CXSE3,10.01,16.54,65.23,135.99,10.57,18.73,70.75,8.17,4.25,42.42,27.67,1168,52.02588425619531
ITSA4,8.59,11.63,35.31,102.99,6.24,15.21,67.68,8.98,3.76,43.72,22.35,1263,65.71511797261871
ITSA3,9.0,12.11,34.62,100.02,6.13,14.87,65.41,8.75,3.74,41.59,20.88,1263,65.39692061587682
BBAS3,18.08,21.68,19.94,79.58,3.7,12.42,59.64,8.72,8.54,47.26,27.42,1263,74.94345312892688
ISAE4,27.8,26.9,-3.24,47.53,-0.66,8.09,50.77,8.74,10.49,37.72,20.3,1261,100.0
JHSF3,8.19,7.84,-4.27,35.86,-0.87,6.32,40.13,7.19,1.77,21.58,38.59,1263,100.0
ODPV3,12.45,11.2,-10.07,21.38,-2.1,3.95,31.45,6.05,3.38,27.14,30.99,1263,100.0
