TICKER,preco_inicial,preco_final,retorno_total_sem_div_pct,retorno_total_com_div_pct,retorno_anual_sem_div_pct,retorno_anual_com_div_pct,efeito_dividendos_total_pct,efeito_dividendos_anual_pct,dividendos_totais_pagos,dividend_yield_periodo_pct,volatilidade_anual_pct,n_dias_negociacao
PRIO3,0.19,38.55,20625.81,20659.1,70.47,70.5,33.29,0.03,0.07,39.06,64.48,2509
MGLU3,0.38,9.5,2417.11,2557.59,38.07,38.82,140.48,0.75,1.68,446.13,67.67,2509
BRAP4,2.91,21.41,636.03,2423.33,22.09,38.1,1787.3,16.01,27.07,930.49,40.37,2509
BPAC11,4.55,53.51,1076.04,1465.34,27.95,31.66,389.3,3.71,4.61,101.24,43.39,2196
PETR4,8.08,30.74,280.45,1284.24,14.3,30.05,1003.79,15.76,40.28,498.56,44.23,2509
ELET3,6.17,63.12,923.4,1274.35,26.18,29.96,350.94,3.78,11.69,189.47,50.31,2509
GOAU4,1.88,11.92,534.04,1053.34,20.29,27.7,519.29,7.42,6.56,348.94,45.69,2509
PETR3,9.85,32.31,228.02,1017.0,12.61,27.29,788.98,14.68,41.02,416.41,44.25,2509
WEGE3,5.65,49.94,783.29,957.93,24.34,26.6,174.63,2.26,4.37,77.32,33.82,2509
ELET6,10.92,66.81,511.81,902.88,19.86,25.93,391.07,6.07,18.57,170.02,43.48,2509
VALE3,14.25,69.29,386.25,883.48,17.13,25.68,497.23,8.55,48.56,340.8,40.39,2509
CPLE6,3.07,14.26,363.87,805.79,16.58,24.65,441.92,8.07,4.09,132.91,34.95,2482
SBSP3,20.29,133.76,559.24,740.18,20.75,23.72,180.94,2.96,12.78,62.97,35.53,2509
SLCE3,3.71,16.24,337.89,675.26,15.91,22.73,337.37,6.81,7.69,207.37,34.28,2509
CMIG4,3.61,10.99,204.26,669.52,11.77,22.64,465.26,10.87,7.29,201.91,39.66,2509
GGBR4,4.56,20.65,352.5,613.52,16.3,21.71,261.01,5.42,8.91,195.28,43.14,2509
EQTL3,7.38,38.98,428.52,562.86,18.12,20.82,134.34,2.71,5.5,74.63,26.94,2509
CYRE3,8.27,31.47,280.53,544.18,14.3,20.48,263.65,6.18,12.02,145.39,44.77,2509
RENT3,8.67,45.3,422.33,541.48,17.98,20.43,119.15,2.45,7.81,90.06,42.07,2509
TAEE11,19.13,41.31,115.94,508.79,8.0,19.8,392.85,11.79,31.71,165.78,21.58,2509
ENGI11,12.24,47.69,289.76,472.88,14.57,19.07,183.12,4.5,14.21,116.15,28.95,2509
ITSA4,4.96,11.6,133.73,398.51,8.86,17.43,264.78,8.57,6.7,135.08,28.04,2509
ENEV3,4.25,20.23,376.0,376.0,16.89,16.89,0.0,0.0,0.0,0.0,41.55,2509
CPFE3,16.26,50.97,213.43,375.41,12.1,16.87,161.99,4.77,12.81,78.77,26.05,2509
