TICKER,preco_inicial,preco_final,retorno_total_sem_div_pct,retorno_total_com_div_pct,retorno_anual_sem_div_pct,retorno_anual_com_div_pct,efeito_dividendos_total_pct,efeito_dividendos_anual_pct,dividendos_totais_pagos,dividend_yield_periodo_pct,volatilidade_anual_pct,n_dias_negociacao
BBFI11,2367.5,629.0,-73.43,8709.68,-23.29,144.9,8783.11,168.19,1889.99,79.83,4691.58,1268
XPML11,106.07,103.62,-2.31,1001.8,-0.47,61.59,1004.1,62.06,45.35,42.76,33825.55,1268
MXRF11,10.07,9.44,-6.24,59.98,-1.28,9.85,66.22,11.13,5.31,52.75,9.14,1268
HGRU11,120.5,116.28,-3.5,45.5,-0.71,7.79,49.0,8.5,51.35,42.61,12.14,1268
APTO11,10.5,8.04,-23.43,32.62,-5.2,5.81,56.05,11.01,4.99,47.52,18.71,1101
RBRF11,8.26,6.65,-19.48,23.46,-4.24,4.3,42.94,8.55,3.02,36.53,16.72,1268
VCRR11,80.0,53.5,-33.13,6.32,-7.73,1.23,39.45,8.97,31.83,39.79,23.14,1118
HFOF11,9.57,6.1,-36.29,1.72,-8.62,0.34,38.0,8.96,3.19,33.36,12.87,1268
PVBI11,103.51,65.5,-36.72,-23.04,-8.75,-5.1,13.68,3.64,16.15,15.6,18.83,632
BRCR11,82.99,39.68,-52.19,-24.49,-13.72,-5.46,27.69,8.26,23.3,28.08,16.28,1268
RBOP11,880.0,225.94,-74.32,-55.7,-23.81,-15.03,18.63,8.78,230.34,26.17,40.93,1268
