run_id,seed,tickers,fitness,hhi,score_median,score_mean,score_std,sectors,generations_run,converged_early
0,42,"['BPAC11', 'BPAN4', 'BRFS3', 'BRKM5', 'CRFB3', 'DEXP3', 'JALL3', 'PINE4', 'RAIZ4', 'SOMA3', 'TUPY3', 'UNIP6', 'WEGE3', 'ZAMP3']",4.283957013333524,0.18367346938775508,0.0169111905880808,0.14677602858889371,0.33901444443641426,"{'Consumo não Cíclico': 3, 'Materiais Básicos': 3, 'Financeiro e Outros': 3, 'Bens Industriais': 2, 'Consumo Cíclico': 2, 'Petróleo, Gás e Biocombustíveis': 1}",66,True
1,43,"['ALLD3', 'AZZA3', 'BBDC3', 'BHIA3', 'BPAC11', 'FIQE3', 'GUAR3', 'LEVE3', 'LOGN3', 'RDOR3', 'RECV3', 'ROMI3', 'SOJA3', 'TAEE3']",4.4009009576418245,0.19387755102040816,0.22673385440474833,0.1486730224262089,0.3139259173072251,"{'Consumo Cíclico': 5, 'Financeiro e Outros': 2, 'Bens Industriais': 2, 'Comunicações': 1, 'Petróleo, Gás e Biocombustíveis': 1, 'Utilidade Pública': 1, 'Saúde': 1, 'Consumo não Cíclico': 1}",51,True
2,44,"['ALUP11', 'ARML3', 'CEAB3', 'DEXP3', 'FRAS3', 'KEPL3', 'KLBN11', 'MILS3', 'MOTV3', 'POMO3', 'SANB3', 'SAPR11', 'TAEE4', 'USIM3']",4.255802036591181,0.2857142857142857,0.1800353298490467,0.19644989648372538,0.22188135504783058,"{'Bens Industriais': 6, 'Utilidade Pública': 3, 'Materiais Básicos': 3, 'Consumo Cíclico': 1, 'Financeiro e Outros': 1}",80,True
3,45,"['ALUP11', 'BEEF3', 'BMEB4', 'CXSE3', 'DEXP3', 'GMAT3', 'KLBN4', 'LAVV3', 'NATU3', 'PGMN3', 'RAPT4', 'RECV3', 'SUZB3', 'TGMA3']",4.714500480734885,0.1530612244897959,0.09965386544960775,0.16160679286255755,0.3079680277678395,"{'Consumo não Cíclico': 3, 'Materiais Básicos': 3, 'Financeiro e Outros': 2, 'Bens Industriais': 2, 'Consumo Cíclico': 1, 'Petróleo, Gás e Biocombustíveis': 1, 'Saúde': 1, 'Utilidade Pública': 1}",149,True
4,46,"['BBDC4', 'BEEF3', 'BRFS3', 'BRST3', 'CEAB3', 'GMAT3', 'ITSA4', 'JALL3', 'LOGG3', 'NTCO3', 'PETR3', 'PFRM3', 'SCAR3', 'TAEE4']",4.459288064964394,0.23469387755102045,0.2510457774545246,0.24726725671478658,0.24571420420360493,"{'Consumo não Cíclico': 5, 'Financeiro e Outros': 4, 'Consumo Cíclico': 1, 'Saúde': 1, 'Utilidade Pública': 1, 'Comunicações': 1, 'Petróleo, Gás e Biocombustíveis': 1}",52,True
5,47,"['ANIM3', 'CPLE3', 'CPLE5', 'DIRR3', 'JSLG3', 'LAVV3', 'MOAR3', 'ONCO3', 'PETR3', 'PETR4', 'SANB3', 'SAPR4', 'USIM3', 'VVEO3']",4.172906240940829,0.16326530612244897,-0.09842429938454686,-0.021208643101258164,0.30917302794230034,"{'Consumo Cíclico': 3, 'Utilidade Pública': 3, 'Financeiro e Outros': 2, 'Petróleo, Gás e Biocombustíveis': 2, 'Saúde': 2, 'Bens Industriais': 1, 'Materiais Básicos': 1}",89,True
6,48,"['B3SA3', 'BIOM3', 'BMOB3', 'CSMG3', 'CXSE3', 'DIRR3', 'EMBJ3', 'FIQE3', 'LAVV3', 'OPCT3', 'PGMN3', 'RECV3', 'SEER3', 'SMTO3']",4.372282837554937,0.13265306122448978,0.1796838628142328,0.18850098084168856,0.3443203493693771,"{'Consumo Cíclico': 3, 'Financeiro e Outros': 2, 'Saúde': 2, 'Bens Industriais': 2, 'Comunicações': 1, 'Tecnologia da Informação': 1, 'Petróleo, Gás e Biocombustíveis': 1, 'Consumo não Cíclico': 1, 'Utilidade Pública': 1}",88,True
7,49,"['AMAR3', 'CLSC4', 'COGN3', 'EUCA4', 'EVEN3', 'FESA4', 'FIQE3', 'INTB3', 'ISAE4', 'MOVI3', 'ODPV3', 'TASA4', 'TIMS3', 'USIM5']",4.207032005285328,0.18367346938775508,0.13492761861765287,0.10888926591807672,0.2626457674204804,"{'Consumo Cíclico': 4, 'Materiais Básicos': 3, 'Comunicações': 2, 'Utilidade Pública': 2, 'Saúde': 1, 'Tecnologia da Informação': 1, 'Bens Industriais': 1}",53,True
8,50,"['ALOS3', 'BRSR6', 'CAML3', 'CBAV3', 'CYRE3', 'DESK3', 'FIQE3', 'GGBR3', 'ITUB3', 'KLBN3', 'POMO4', 'RAIZ4', 'TUPY3', 'WEGE3']",4.192805380134781,0.17346938775510204,-0.015393641834949685,0.06196987792106295,0.24980710591402253,"{'Bens Industriais': 3, 'Financeiro e Outros': 3, 'Materiais Básicos': 3, 'Comunicações': 2, 'Consumo Cíclico': 1, 'Consumo não Cíclico': 1, 'Petróleo, Gás e Biocombustíveis': 1}",64,True
9,51,"['BRAV3', 'BRBI11', 'GRND3', 'ITUB3', 'LAVV3', 'MDIA3', 'MOVI3', 'OPCT3', 'RADL3', 'RDOR3', 'SOJA3', 'TRIS3', 'TTEN3', 'VAMO3']",4.844334833872936,0.19387755102040813,0.1741734834987142,0.13910034517376088,0.2722616386805646,"{'Consumo Cíclico': 4, 'Consumo não Cíclico': 3, 'Saúde': 2, 'Financeiro e Outros': 2, 'Bens Industriais': 2, 'Petróleo, Gás e Biocombustíveis': 1}",55,True
10,52,"['ABEV3', 'BBAS3', 'BIOM3', 'BMOB3', 'ENAT3', 'FESA4', 'GGBR4', 'ITSA4', 'MULT3', 'NTCO3', 'PCAR3', 'RAIZ4', 'SYNE3', 'TAEE3']",4.470301386284287,0.18367346938775508,0.13076124962985453,0.18663310379641126,0.1975571231581011,"{'Financeiro e Outros': 4, 'Consumo não Cíclico': 3, 'Materiais Básicos': 2, 'Petróleo, Gás e Biocombustíveis': 2, 'Tecnologia da Informação': 1, 'Utilidade Pública': 1, 'Saúde': 1}",114,True
