run_id,seed,tickers,fitness,hhi,score_median,score_mean,score_std,sectors,generations_run,converged_early
0,42,"['GGBR4', 'IGTI11', 'ISAE4', 'ITSA3', 'KLBN11', 'LREN3', 'MGLU3', 'POMO4', 'STBP3', 'TTEN3']",4.2594343767588985,0.18000000000000005,0.0866940544754857,0.21478330544110227,0.37914832656135605,"{'Financeiro e Outros': 2, 'Bens Industriais': 2, 'Materiais Básicos': 2, 'Consumo Cíclico': 2, 'Utilidade Pública': 1, 'Consumo não Cíclico': 1}",103,True
1,43,"['ABEV3', 'BBDC4', 'BRAV3', 'DIRR3', 'ECOR3', 'ISAE4', 'ITUB4', 'POMO3', 'SAPR4', 'VIVA3']",4.082900855005491,0.18000000000000005,0.3969828926270782,0.36514623179730166,0.3142060603310978,"{'Utilidade Pública': 2, 'Financeiro e Outros': 2, 'Bens Industriais': 2, 'Consumo Cíclico': 2, 'Consumo não Cíclico': 1, 'Petróleo, Gás e Biocombustíveis': 1}",102,True
2,44,"['AESB3', 'BBDC4', 'CYRE3', 'EMBJ3', 'ENGI11', 'GGBR4', 'GMAT3', 'ISAE4', 'ODPV3', 'TAEE4']",3.844221223781351,0.22000000000000008,0.2546999284394086,0.3131888160764333,0.3620050786996113,"{'Utilidade Pública': 4, 'Financeiro e Outros': 1, 'Consumo não Cíclico': 1, 'Consumo Cíclico': 1, 'Saúde': 1, 'Materiais Básicos': 1, 'Bens Industriais': 1}",60,True
3,45,"['AESB3', 'ASAI3', 'BPAC11', 'CRFB3', 'CYRE3', 'EGIE3', 'PRIO3', 'RENT3', 'SAPR4', 'TAEE11']",4.225257599685735,0.26000000000000006,0.04282739780168894,0.04587152869513632,0.2902653769995171,"{'Utilidade Pública': 4, 'Consumo Cíclico': 2, 'Consumo não Cíclico': 2, 'Financeiro e Outros': 1, 'Petróleo, Gás e Biocombustíveis': 1}",59,True
4,46,"['ALPA4', 'B3SA3', 'BBDC4', 'BEEF3', 'BRAV3', 'ITSA4', 'NTCO3', 'POMO3', 'SLCE3', 'UNIP6']",4.101757307405089,0.22000000000000003,0.37698348301861884,0.3247515475431983,0.3444833736927576,"{'Financeiro e Outros': 3, 'Consumo não Cíclico': 3, 'Materiais Básicos': 1, 'Bens Industriais': 1, 'Consumo Cíclico': 1, 'Petróleo, Gás e Biocombustíveis': 1}",71,True
5,47,"['BRFS3', 'CSAN3', 'DIRR3', 'GGBR4', 'POMO3', 'SAPR4', 'SMFT3', 'SUZB3', 'TAEE4', 'VULC3']",4.437749256285448,0.20000000000000004,0.4648984556882779,0.3433107941739839,0.3473723731566072,"{'Consumo Cíclico': 3, 'Utilidade Pública': 2, 'Materiais Básicos': 2, 'Bens Industriais': 1, 'Consumo não Cíclico': 1, 'Petróleo, Gás e Biocombustíveis': 1}",56,True
6,48,"['ASAI3', 'BEEF3', 'BRFS3', 'ITSA4', 'ITUB3', 'JBSS3', 'JHSF3', 'PETR3', 'RDOR3', 'TAEE4']",4.377925892485681,0.24000000000000007,0.10367658523313515,0.21514196603540797,0.26743545770399,"{'Consumo não Cíclico': 4, 'Financeiro e Outros': 2, 'Utilidade Pública': 1, 'Consumo Cíclico': 1, 'Saúde': 1, 'Petróleo, Gás e Biocombustíveis': 1}",101,True
7,49,"['ALOS3', 'BBAS3', 'BBDC4', 'EGIE3', 'GGBR4', 'NATU3', 'PSSA3', 'SUZB3', 'VALE3', 'VULC3']",3.9146168156252172,0.28,0.1072064235476259,0.23274061802040216,0.355922074376818,"{'Financeiro e Outros': 4, 'Materiais Básicos': 3, 'Consumo Cíclico': 1, 'Utilidade Pública': 1, 'Consumo não Cíclico': 1}",106,True
8,50,"['ABCB4', 'BRSR6', 'CSMG3', 'GMAT3', 'MBRF3', 'STBP3', 'UNIP6', 'VALE3', 'VBBR3', 'WEGE3']",4.71770127206897,0.18000000000000005,0.06025850861563453,0.11986016788316364,0.2948892648980111,"{'Materiais Básicos': 2, 'Bens Industriais': 2, 'Consumo não Cíclico': 2, 'Financeiro e Outros': 2, 'Utilidade Pública': 1, 'Petróleo, Gás e Biocombustíveis': 1}",79,True
9,51,"['ABEV3', 'BRFS3', 'BRKM5', 'FLRY3', 'ITSA4', 'POMO4', 'RENT3', 'TIMS3', 'TTEN3', 'VBBR3']",3.8624677795974596,0.16000000000000003,0.24410913506980508,0.22555670415536294,0.2936121585272414,"{'Consumo não Cíclico': 3, 'Financeiro e Outros': 1, 'Bens Industriais': 1, 'Saúde': 1, 'Comunicações': 1, 'Petróleo, Gás e Biocombustíveis': 1, 'Consumo Cíclico': 1, 'Materiais Básicos': 1}",67,True
