TICKER,PRECO,DY,P/L,P/VP,P/ATIVOS,MARGEM BRUTA,MARGEM EBIT,MARG. LIQUIDA,P/EBIT,EV/EBIT,DIVIDA LIQUIDA / EBIT,DIV. LIQ. / PATRI.,PSR,P/CAP. GIRO,P. AT CIR. LIQ.,LIQ. CORRENTE,ROE,ROA,ROIC,PATRIMONIO / ATIVOS,PASSIVOS / ATIVOS,GIRO ATIVOS,CAGR RECEITAS 5 ANOS,CAGR LUCROS 5 ANOS,LIQUIDEZ MEDIA DIARIA,VPA,LPA,PEG RATIO,VALOR DE MERCADO,SETOR
AHEB3,23.11,,2.39,0.77,0.33,19.91,11.04,12.25,2.66,1.69,-1.03,-0.3,0.29,1.33,-0.58,2.46,32.19,13.95,27.08,0.43,0.57,1.14,44.62,,13306.67,30.0,9.66,-0.06,201786972.47,Consumo Cíclico
AHEB5,58.0,,6.01,1.93,0.84,19.91,11.04,12.25,6.67,1.69,-1.03,-0.3,0.74,3.33,-1.45,2.46,32.19,13.95,27.08,0.43,0.57,1.14,44.62,,0.0,30.0,9.66,-0.14,201786972.47,Consumo Cíclico
AHEB6,55.0,,5.7,1.83,0.79,19.91,11.04,12.25,6.32,1.69,-1.03,-0.3,0.7,3.15,-1.38,2.46,32.19,13.95,27.08,0.43,0.57,1.14,44.62,,5500.0,30.0,9.66,-0.13,201786972.47,Consumo Cíclico
ALLD3,8.03,9.19,2.16,0.45,0.2,11.57,9.29,6.55,1.52,1.2,-0.32,-0.09,0.14,0.61,-0.79,1.81,20.88,9.36,17.18,0.45,0.55,1.43,8.27,28.55,3648273.76,17.82,3.72,0.02,762295327.75,Consumo Cíclico
ALPA3,10.29,5.72,18.81,1.63,1.13,47.89,8.78,8.43,18.06,18.78,-0.99,-0.09,1.59,3.85,-2.26,2.4,8.69,5.99,7.82,0.69,0.31,0.71,2.05,6.4,136053.05,6.3,0.55,-0.15,7695200238.4,Consumo Cíclico
ALPA4,12.23,5.29,22.35,1.94,1.34,47.89,8.78,8.43,21.46,18.78,-0.99,-0.09,1.88,4.57,-2.69,2.4,8.69,5.99,7.82,0.69,0.31,0.71,2.05,6.4,22873796.1,6.3,0.55,-0.18,7695200238.4,Consumo Cíclico
AMAR3,1.02,,32.55,1.77,0.25,52.44,16.87,1.08,2.08,5.27,3.19,2.72,0.35,-1.98,-0.35,0.7,5.45,0.76,21.48,0.14,0.86,0.7,-13.55,,264735.57,0.58,0.03,-0.31,523725163.86,Consumo Cíclico
AMER3,5.42,,-1.34,0.23,0.07,28.74,-2.45,-5.85,-3.18,-7.09,-3.91,0.28,0.08,0.37,-0.13,1.63,-17.16,-5.03,-7.44,0.29,0.71,0.86,16.22,,15909606.86,23.66,-4.06,0.01,1085327889.16,Consumo Cíclico
ANIM3,3.44,1.56,8.81,0.59,0.14,62.16,24.85,3.99,1.42,5.33,3.91,1.63,0.35,1.14,-0.18,1.92,6.7,1.56,11.61,0.23,0.71,0.39,26.33,,26392481.95,5.83,0.39,-0.02,1389308689.2,Consumo Cíclico
AVLL3,1.02,,-1.67,-1.05,0.15,35.8,19.3,-18.25,1.58,5.89,4.31,,0.31,-3.76,-0.24,0.91,-62.83,-8.86,21.49,-0.14,1.11,0.49,32.82,,32555.71,-0.97,-0.61,0.05,199236662.22,Consumo Cíclico
