TICKER,SETOR,PRECO,DY,P/L,P/VP,P/ATIVOS,MARGEM BRUTA,MARGEM EBIT,MARG. LIQUIDA,P/EBIT,EV/EBIT,DIVIDA LIQUIDA / EBIT,DIV. LIQ. / PATRI.,PSR,P/CAP. GIRO,P. AT CIR. LIQ.,LIQ. CORRENTE,ROE,ROA,ROIC,PATRIMONIO / ATIVOS,PASSIVOS / ATIVOS,GIRO ATIVOS,CAGR RECEITAS 5 ANOS,CAGR LUCROS 5 ANOS,LIQUIDEZ MEDIA DIARIA,VPA,LPA,PEG RATIO,VALOR DE MERCADO
ABEV,Consumo não Cíclico,13.37,6.91,14.6,2.23,1.43,51.46,24.69,15.74,9.31,8.55,-0.76,-0.18,2.3,50.09,-2.03,1.11,15.27,9.8,17.4,0.64,0.35,0.62,11.2,4.14,303809204.24,6.0,0.92,-29.52,210733110167.72
AFLT,Utilidade Pública,7.24,5.93,14.91,1.78,1.32,53.37,48.17,37.61,11.64,12.03,0.39,0.06,5.61,7.48,-1.7,4.76,11.91,8.86,11.93,0.74,0.26,0.24,17.36,3.94,1347.54,4.08,0.49,0.76,456733228.0
AGRO,Consumo não Cíclico,20.4,7.63,6.77,0.97,0.53,39.38,29.46,22.84,5.25,8.4,3.15,0.58,1.55,4.53,-0.77,1.58,14.27,7.79,9.29,0.55,0.45,0.34,13.78,11.82,3132496.86,21.13,3.02,0.22,2094742257.6
AHEB,Consumo Cíclico,49.6,,3.6799999999999997,1.7466666666666668,0.7666666666666666,17.28,12.6,16.64,4.859999999999999,2.9500000000000006,-0.59,-0.21,0.6133333333333333,2.4133333333333336,-1.4100000000000001,3.2999999999999994,47.45000000000001,20.82,23.17,0.44,0.56,1.25,44.62,,6380.0,28.399999999999995,13.479999999999999,0.44,308482931.6
ALLD,Consumo Cíclico,6.91,18.77,5.91,0.41,0.19,12.0,3.42,2.08,3.6,4.36,0.75,0.09,0.12,0.58,-0.65,1.86,6.9,3.22,8.54,0.47,0.53,1.54,8.27,1.88,182737.0,16.95,1.17,-0.2,653045049.13
ALOS,Financeiro e Outros,21.6,4.62,13.6,0.87,0.44,74.1,59.06,31.4,7.23,5.33,-1.9,-0.23,4.27,4.56,-0.52,2.87,6.42,3.24,11.12,0.51,0.47,0.1,29.82,108.22,70577406.24,24.74,1.59,0.19,11727437234.4
ALPA,Consumo Cíclico,8.01,1.27,27.98,1.35,0.855,44.69,3.36,4.58,38.135000000000005,36.71,-1.44,-0.05,1.28,3.25,-1.6800000000000002,2.17,4.83,3.06,1.6,0.63,0.36,0.67,2.05,-6.53,3985202.5,5.93,0.29,-0.25,5473389228.66
ALUP,Utilidade Pública,16.49,2.9233333333333333,8.703333333333333,1.1566666666666665,0.31666666666666665,71.15,71.29,26.72,3.2600000000000002,6.19,2.97,1.05,2.3266666666666667,2.8699999999999997,-0.39666666666666667,2.15,13.26,3.6199999999999997,11.75,0.27,0.61,0.14,-2.7099999999999995,4.88,11559227.173333334,14.353333333333333,1.9033333333333333,0.15,9707511233.15
ANIM,Consumo Cíclico,3.65,14.38,12.67,0.62,0.15,61.77,22.82,3.02,1.68,6.21,4.53,1.68,0.38,1.23,-0.19,2.06,4.91,1.17,10.16,0.24,0.71,0.39,26.33,,17617474.48,5.87,0.29,-0.08,1474121138.25
ARML,Bens Industriais,3.92,3.65,10.43,1.08,0.3,38.06,26.49,7.16,2.82,6.45,3.63,1.38,0.75,1.66,-0.43,2.42,10.31,2.85,11.46,0.28,0.71,0.4,95.79,70.03,8093442.9,3.65,0.38,-0.33,1358256860.24
ASAI,Consumo não Cíclico,9.66,1.11,15.81,2.43,0.29,16.61,5.28,1.1,3.29,6.29,3.0,2.21,0.17,16.13,-0.45,1.05,15.34,1.85,17.32,0.12,0.88,1.68,21.32,-4.63,91025739.57,3.98,0.61,0.86,13062688487.1
AZUL,Bens Industriais,0.63,,0.16,-0.07,0.07,30.81,20.11,58.76,0.47,8.27,8.13,,0.09,-0.17,-0.1,0.35,-41.81,46.55,64.17,-1.11,2.11,0.79,11.28,,11403993.24,-9.41,3.93,0.0,582388351.41
AZZA,Consumo Cíclico,35.67,1.61,19.06,0.94,0.48,53.73,5.52,3.86,13.33,17.2,3.87,0.27,0.74,2.96,-0.89,1.55,4.95,2.52,2.39,0.51,0.49,0.65,37.92,18.97,74734585.29,37.8,1.87,-3.41,7365491629.71
B,Financeiro e Outros,12.98,2.28,14.44,3.64,1.48,89.93,59.29,43.97,10.71,10.77,0.06,0.02,6.35,8.0,-2.27,2.13,25.18,10.22,9.9,0.41,0.59,0.23,12.34,11.76,353514104.29,3.57,0.9,0.78,68359170000.0
BALM,Saúde,18.615000000000002,5.709999999999999,5.88,1.0,0.6499999999999999,61.72,20.12,14.96,4.37,2.87,-1.5,-0.34,0.88,1.27,-2.41,3.3,16.99,11.02,12.65,0.65,0.36,0.74,5.42,37.76,14366.69,18.63,3.17,0.03,182427000.0
BAUH,Consumo não Cíclico,41.245,1.5,8.055,1.65,1.135,25.04,7.79,10.44,10.79,,-2.24,-0.34,0.84,4.805,-2.43,1.79,20.51,14.08,12.52,0.69,0.31,1.35,6.53,-0.09,93726.33,24.98,5.12,0.215,
BLAU,Saúde,12.2,2.77,8.16,0.99,0.64,38.95,22.09,15.16,5.6,5.78,0.17,0.03,1.24,1.92,-1.23,3.23,12.18,7.81,8.87,0.64,0.36,0.52,12.41,6.01,3555935.52,12.27,1.49,0.65,2188606055.8
BMKS,Consumo Cíclico,399.0,8.3,12.05,0.88,0.76,30.53,13.56,96.22,85.47,8.31,-77.16,-0.79,11.59,1.05,-3.28,20.54,7.29,6.35,-0.81,0.87,0.13,0.07,-0.59,41.18,17345.33,454.3,33.13,-0.81,181445250.0
BMOB,Tecnologia da Informação,21.6,6.2,14.36,1.59,1.14,23.47,8.07,8.4,14.95,10.74,-4.21,-0.45,1.21,2.75,-3.38,2.65,11.07,7.91,6.21,0.71,0.28,0.94,57.5,28.72,5775430.76,13.59,1.5,0.35,1849141267.2
BOAS,Financeiro e Outros,7.95,,15.22,1.83,1.7,56.53,19.25,32.39,25.6,18.69,-6.92,-0.5,4.93,3.34,-3.8,12.37,12.04,11.16,0.99,0.93,0.07,0.34,8.81,74.34,,4.34,0.52,1.98,4212250617.75
BRAV,"Petróleo, Gás e Biocombustíveis",18.64,,55.78,0.78,0.2,27.19,27.69,1.62,3.26,8.27,5.01,1.19,0.9,4.18,-0.24,1.4,1.39,0.36,9.09,0.26,0.74,0.22,206.24,,119376491.81,24.02,0.33,-48.26,8652454291.68
BRFS,Consumo não Cíclico,20.16,3.5,8.85,2.11,0.54,26.24,11.77,6.03,4.54,5.47,0.93,0.43,0.53,3.43,-1.08,1.46,23.89,6.09,14.44,0.26,0.72,1.01,12.91,66.71,194852772.38,9.54,2.28,-0.01,33918660639.36
BRML,Financeiro e Outros,8.26,,10.59,0.57,0.34,88.85,65.38,40.46,6.55,8.65,2.09,0.18,4.28,7.6,-0.37,2.06,5.42,3.21,5.92,0.59,0.4,0.08,4.55,-12.5,,14.39,0.78,-0.14,6770891280.44
BRST,Comunicações,2.63,1.56,9.94,0.74,0.28,42.4,14.96,8.46,5.62,10.65,5.03,0.66,0.84,2.84,-0.4,1.54,7.44,2.86,5.71,0.38,0.62,0.34,41.71,35.66,441874.05,3.56,0.26,-0.84,1151959822.31
CALI,Consumo Cíclico,37.5,1.08,15.62,1.5499999999999998,0.43999999999999995,24.5,27.21,17.48,10.035,8.97,2.28,0.35,2.73,1.01,-1.045,4.15,9.93,2.83,6.61,0.29,0.58,0.16,79.12,,0.0,24.18,2.4,-0.01,174720000.0
CAMB,Consumo Cíclico,7.9,8.81,4.46,1.125,0.88,48.85,20.11,17.59,3.905,4.19,-0.53,-0.15,0.7849999999999999,2.625,-1.7449999999999999,3.09,25.25,19.72,19.63,0.78,0.22,1.12,14.78,29.95,217679.52,7.01,1.77,1.225,403727014.0
CAML,Consumo não Cíclico,5.02,5.14,6.15,0.51,0.16,15.02,4.99,2.31,2.85,7.68,4.83,0.86,0.14,0.72,-0.36,1.64,8.27,2.57,6.14,0.31,0.69,1.11,17.84,3.6,5293295.57,9.88,0.82,-0.14,1757000000.0
CASN,Utilidade Pública,7.42,0.635,25.71,3.57,1.5550000000000002,52.75,31.31,16.11,13.23,16.36,3.14,0.85,4.14,-1242.05,-1.8650000000000002,0.99,13.89,6.05,11.13,0.44,0.56,0.38,11.65,22.64,0.0,2.08,0.29,0.060000000000000005,8529097212.5
CATA,Consumo Cíclico,51.805,25.55,0.32,0.04,0.02,29.3,10.48,7.3,0.225,2.62,2.17,0.36,0.025,0.065,-0.05,1.87,11.69,5.7,2.23,0.49,0.51,0.78,12.29,26.21,,1374.59,160.66,0.01,14940354.78
CBAV,Materiais Básicos,4.5,,16.21,0.68,0.22,13.69,11.48,2.05,2.89,6.04,3.15,0.74,0.33,1.61,-0.32,1.77,4.22,1.35,10.16,0.32,0.66,0.66,9.2,,12529956.05,6.57,0.28,-0.14,2929827136.5
CBEE,Utilidade Pública,12.0,,6.59,0.54,0.23,16.66,10.79,7.69,4.7,9.2,4.5,0.51,0.51,-1.74,-0.29,0.62,8.14,3.47,2.7,0.43,0.57,0.45,8.16,19.89,2199.0,22.35,1.82,-0.01,4560474576.0
CEAB,Consumo Cíclico,16.54,4.11,13.22,1.56,0.55,54.88,10.61,4.95,6.16,6.07,-0.09,-0.02,0.65,5.07,-1.04,1.3,11.82,4.16,15.9,0.35,0.65,0.84,7.64,230.92,45910366.33,10.58,1.25,0.14,5098373424.72
CEBR,Utilidade Pública,20.036666666666665,10.173333333333334,8.01,1.2966666666666666,0.9466666666666667,53.68,59.70000000000001,46.169999999999995,6.196666666666666,3.35,-2.92,-0.61,3.6966666666666668,1.8466666666666667,-2.2066666666666666,9.39,16.18,11.79,12.96,0.73,0.10000000000000002,0.26,-33.77,8.66,108677.53333333333,15.47,2.5,2.4433333333333334,1462748571.45
CEDO,Consumo Cíclico,20.865000000000002,,2.09,0.67,0.21500000000000002,28.99,15.04,9.64,1.34,3.85,2.47,1.23,0.2,3.1500000000000004,-0.375,1.19,31.82,10.28,20.05,0.32,0.68,1.07,8.89,,15264.265000000001,31.37,9.98,0.085,214851302.08
CEEB,Utilidade Pública,45.196666666666665,2.6666666666666665,6.746666666666667,1.5066666666666666,0.37666666666666665,30.25,24.16,10.51,2.9333333333333336,6.7,3.6300000000000003,1.87,0.71,-9.903333333333334,-0.45999999999999996,0.83,22.350000000000005,5.62,16.04,0.25,0.75,0.53,10.09,11.71,10904.990000000002,29.98,6.7,-2.3033333333333332,12377646030.36
CEGR,Utilidade Pública,96.72,,46.03,15.0,5.24,28.09,18.21,10.81,27.32,28.0,0.68,0.38,4.97,-152.55,-7.25,0.89,32.59,11.39,24.48,0.35,0.65,1.05,2.19,7.91,0.0,6.45,2.1,-6.8,25112161439.04
CEPE,Utilidade Pública,69.46,,42.833333333333336,3.03,0.37333333333333335,21.24,13.97,1.5,4.586666666666667,14.44,6.78,4.48,0.6433333333333333,178.70666666666668,-0.48333333333333334,1.01,7.07,0.87,11.199999999999998,0.12,0.88,0.58,6.27,-7.77,,22.929999999999996,1.62,0.06666666666666667,8662392210.18
CGRA,Consumo Cíclico,28.16,11.315000000000001,5.6,0.615,0.44,52.2,10.2,14.07,7.725,4.95,-2.74,-0.22,0.79,1.6099999999999999,-0.79,2.52,10.93,7.79,5.27,0.71,0.29,0.55,8.68,-4.37,90999.69,46.02,5.03,0.39,577523450.88
CIEL,Financeiro e Outros,5.83,,11.9,1.64,0.15,41.48,19.61,12.89,7.82,10.78,2.96,0.62,1.53,2.43,-1.48,1.07,13.8,1.22,5.06,0.09,0.89,0.09,-1.94,-2.97,0.0,3.55,0.49,-0.31,15839031805.63
CLSC,Utilidade Pública,99.715,7.0649999999999995,5.225,0.995,0.29000000000000004,17.23,11.83,6.67,2.95,5.62,2.65,0.9,0.35,4.115,-0.42000000000000004,1.28,19.06,5.48,13.06,0.29,0.71,0.82,5.86,21.03,123017.76,100.17,19.09,0.18,3874168202.39
CMIG,Utilidade Pública,12.684999999999999,15.459999999999999,5.1850000000000005,1.3,0.5700000000000001,19.63,23.79,17.25,3.76,4.63,1.09,0.38,0.895,41.81,-0.75,1.06,25.09,10.96,17.72,0.44,0.56,0.64,9.42,17.5,45413928.335,9.75,2.45,0.195,34162659783.46
